QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
4,5:21.0,B. Bogdanović enters the game for C. Joseph,,90,88
4,5:21.0,M. Turner enters the game for D. Sabonis,,90,88
4,5:21.0,,D. Green enters the game for C. Miles,90,88
4,4:54.0,D. Collison makes 2-pt layup from 3 ft,,92,88
4,4:40.0,,K. Leonard makes 2-pt layup from 2 ft,92,90
4,4:20.0,V. Oladipo misses 3-pt jump shot from 28 ft,,92,90
4,4:14.0,,Defensive rebound by P. Siakam,92,90
4,4:11.0,,P. Siakam makes 2-pt layup from 1 ft,92,92
4,3:48.0,Personal foul by L. Brown (drawn by M. Turner),,92,92
4,3:35.0,D. Collison makes 2-pt jump shot from 20 ft (assist by M. Turner),,94,92
4,3:06.0,,K. Leonard makes 2-pt jump shot from 13 ft,94,94
4,2:38.0,T. Young misses 3-pt jump shot from 23 ft,,94,94
4,2:35.0,Offensive rebound by D. Collison,,94,94
4,2:21.0,Turnover by D. Collison (bad pass; steal by P. Siakam),,94,94
4,2:13.0,,P. Siakam misses 2-pt layup from 2 ft (block by M. Turner),94,94
4,2:09.0,Defensive rebound by D. Collison,,94,94
4,2:02.0,Turnover by M. Turner (bad pass; steal by F. VanVleet),,94,94
4,1:51.0,,L. Brown misses 2-pt dunk from 1 ft (block by M. Turner),94,94
4,1:46.0,Defensive rebound by M. Turner,,94,94
4,1:37.0,V. Oladipo makes 2-pt jump shot from 20 ft,,96,94
4,1:36.0,,Toronto full timeout,96,94
4,1:36.0,,O. Anunoby enters the game for L. Brown,96,94
4,1:24.0,,K. Leonard misses 2-pt jump shot from 9 ft,96,94
4,1:23.0,Defensive rebound by Team,,96,94
4,1:04.0,V. Oladipo misses 2-pt jump shot from 20 ft,,96,94
4,1:02.0,,Defensive rebound by K. Leonard,96,94
4,0:56.0,,O. Anunoby misses 2-pt layup from 2 ft,96,94
4,0:54.0,Defensive rebound by M. Turner,,96,94
4,0:48.0,Turnover by (8 sec),,96,94
4,0:48.0,,C. Miles enters the game for O. Anunoby,96,94
4,0:31.0,,D. Green misses 3-pt jump shot from 26 ft,96,94
4,0:27.0,,Offensive rebound by D. Green,96,94
4,0:26.0,,F. VanVleet makes 3-pt jump shot from 27 ft (assist by D. Green),96,97
4,0:25.0,Indiana full timeout,,96,97
4,0:25.0,D. McDermott enters the game for T. Young,,96,97
4,0:25.0,,O. Anunoby enters the game for C. Miles,96,97
4,0:16.0,Personal foul by D. Green (drawn by V. Oladipo),,96,97
4,0:02.0,Turnover by V. Oladipo (lost ball; steal by D. Green),,96,97
4,0:02.0,,Personal foul by D. McDermott (drawn by P. Siakam),96,97
4,0:02.0,,C. Miles enters the game for O. Anunoby,96,97
4,0:02.0,,Toronto full timeout,96,97
4,0:02.0,C. Joseph enters the game for D. McDermott,,96,97
4,0:02.0,,Personal foul by C. Joseph (drawn by D. Green),96,97
4,0:02.0,,D. Green makes free throw 1 of 2,96,98
4,0:02.0,D. Sabonis enters the game for D. Collison,,96,98
4,0:02.0,,O. Anunoby enters the game for C. Miles,96,98
4,0:02.0,,D. Green makes free throw 2 of 2,96,99
4,0:02.0,Indiana full timeout,,96,99
4,0:02.0,D. Collison enters the game for C. Joseph,,96,99
4,0:02.0,T. Evans enters the game for D. Sabonis,,96,99
4,0:01.0,B. Bogdanović misses 3-pt jump shot from 28 ft,,96,99
4,0:01.0,,Defensive rebound by F. VanVleet,96,99
