QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DETROIT_ACTION,NEW ORLEANS_SCORE,DETROIT_SCORE
4,4:03.0,,A. Drummond misses free throw 1 of 2,105,98
4,4:03.0,,Offensive rebound by Team,105,98
4,4:03.0,J. Randle enters the game for D. Miller,,105,98
4,4:03.0,,A. Drummond misses free throw 2 of 2,105,98
4,4:01.0,Defensive rebound by J. Holiday,,105,98
4,3:57.0,Shooting foul by A. Drummond (drawn by J. Randle),,105,98
4,3:57.0,J. Randle makes free throw 1 of 2,,106,98
4,3:57.0,J. Randle makes free throw 2 of 2,,107,98
4,3:32.0,,B. Griffin misses 2-pt jump shot from 7 ft,107,98
4,3:31.0,Defensive rebound by J. Holiday,,107,98
4,3:18.0,A. Davis misses 2-pt jump shot from 17 ft,,107,98
4,3:15.0,,Defensive rebound by B. Griffin,107,98
4,3:09.0,,A. Drummond makes 2-pt layup from 3 ft (assist by R. Jackson),107,100
4,3:09.0,New Orleans full timeout,,107,100
4,2:51.0,A. Davis misses 3-pt jump shot from 27 ft,,107,100
4,2:46.0,Offensive rebound by A. Davis,,107,100
4,2:46.0,A. Davis makes 2-pt layup from 1 ft,,109,100
4,2:25.0,,L. Kennard makes 2-pt jump shot from 9 ft (assist by L. Galloway),109,102
4,2:10.0,Turnover by T. Frazier (traveling),,109,102
4,2:00.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),109,104
4,1:44.0,Turnover by J. Holiday (bad pass; steal by A. Drummond),,109,104
4,1:32.0,,A. Drummond misses 2-pt layup from 5 ft,109,104
4,1:30.0,Defensive rebound by N. Mirotić,,109,104
4,1:15.0,N. Mirotić makes 2-pt jump shot from 18 ft (assist by J. Randle),,111,104
4,1:15.0,,Detroit full timeout,111,104
4,1:00.0,,Shooting foul by J. Randle (drawn by B. Griffin),111,104
4,1:00.0,,B. Griffin makes free throw 1 of 2,111,105
4,1:00.0,,B. Griffin makes free throw 2 of 2,111,106
4,0:44.0,J. Holiday makes 2-pt jump shot from 14 ft,,113,106
4,0:41.0,,B. Griffin misses 3-pt jump shot from 25 ft,113,106
4,0:37.0,Defensive rebound by N. Mirotić,,113,106
4,0:31.0,Personal take foul by L. Galloway (drawn by J. Holiday),,113,106
4,0:31.0,J. Holiday makes free throw 1 of 2,,114,106
4,0:31.0,J. Holiday makes free throw 2 of 2,,115,106
4,0:25.0,,L. Galloway misses 3-pt jump shot from 27 ft,115,106
4,0:23.0,Defensive rebound by A. Davis,,115,106
4,0:23.0,Personal take foul by L. Kennard (drawn by A. Davis),,115,106
4,0:23.0,A. Davis makes free throw 1 of 2,,116,106
4,0:23.0,A. Davis misses free throw 2 of 2,,116,106
4,0:21.0,,Defensive rebound by A. Drummond,116,106
4,0:12.0,,B. Griffin makes 2-pt layup from 1 ft,116,108
