QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA CLIPPERS_ACTION,BROOKLYN_SCORE,LA CLIPPERS_SCORE
4,10:42.0,T. Graham makes 2-pt jump shot from 11 ft (assist by C. LeVert),,89,91
4,10:34.0,,L. Williams makes 2-pt jump shot from 12 ft,89,93
4,10:25.0,S. Dinwiddie makes 2-pt layup from 1 ft,,91,93
4,10:01.0,,J. Green makes 2-pt layup from 1 ft (assist by M. Harrell),91,95
4,9:43.0,Turnover by C. LeVert (bad pass; steal by G. Temple),,91,95
4,9:40.0,,Shooting foul by S. Dinwiddie (drawn by S. Gilgeous-Alexander),91,95
4,9:40.0,,S. Gilgeous-Alexander misses free throw 1 of 2,91,95
4,9:40.0,,Offensive rebound by Team,91,95
4,9:40.0,J. Harris enters the game for T. Graham,,91,95
4,9:40.0,,S. Gilgeous-Alexander makes free throw 2 of 2,91,96
4,9:25.0,Turnover by S. Dinwiddie (lost ball; steal by G. Temple),,91,96
4,9:15.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,91,96
4,9:13.0,Defensive rebound by D. Russell,,91,96
4,9:06.0,S. Dinwiddie misses 2-pt layup from 4 ft (block by M. Harrell),,91,96
4,9:06.0,,Defensive rebound by M. Harrell,91,96
4,9:06.0,,Personal foul by E. Davis (drawn by M. Harrell),91,96
4,8:57.0,,J. Green misses 3-pt jump shot from 26 ft,91,96
4,8:53.0,,Offensive rebound by L. Williams,91,96
4,8:45.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by J. Green),91,99
4,8:44.0,Brooklyn full timeout,,91,99
4,8:44.0,J. Allen enters the game for E. Davis,,91,99
4,8:44.0,D. Carroll enters the game for C. LeVert,,91,99
4,8:28.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,91,99
4,8:24.0,Offensive rebound by D. Carroll,,91,99
4,8:20.0,Turnover by J. Harris (lost ball; steal by M. Harrell),,91,99
4,8:16.0,,G. Temple makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),91,101
4,8:16.0,,Shooting foul by D. Russell (drawn by G. Temple),91,101
4,8:16.0,,G. Temple misses free throw 1 of 1,91,101
4,8:13.0,Defensive rebound by D. Carroll,,91,101
4,8:03.0,J. Harris misses 3-pt jump shot from 26 ft,,91,101
4,7:59.0,,Defensive rebound by S. Gilgeous-Alexander,91,101
4,7:44.0,,M. Harrell makes 2-pt hook shot from 5 ft,91,103
4,7:33.0,Personal foul by S. Gilgeous-Alexander (drawn by S. Dinwiddie),,91,103
4,7:20.0,J. Allen misses 2-pt dunk from 3 ft,,91,103
4,7:16.0,,Defensive rebound by J. Green,91,103
4,7:07.0,,M. Harrell makes 2-pt layup from 2 ft,91,105
4,6:57.0,Shooting foul by M. Harrell (drawn by S. Dinwiddie),,91,105
4,6:57.0,S. Dinwiddie makes free throw 1 of 2,,92,105
4,6:57.0,S. Dinwiddie makes free throw 2 of 2,,93,105
4,6:42.0,,L. Williams misses 3-pt jump shot from 27 ft,93,105
4,6:40.0,Defensive rebound by D. Russell,,93,105
4,6:37.0,D. Russell makes 3-pt jump shot from 25 ft,,96,105
4,6:15.0,,M. Harrell misses 2-pt hook shot from 7 ft,96,105
4,6:14.0,Defensive rebound by J. Allen,,96,105
4,6:03.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,96,105
4,6:00.0,,Defensive rebound by L. Williams,96,105
4,5:52.0,,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,96,105
4,5:48.0,Defensive rebound by J. Allen,,96,105
4,5:44.0,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by D. Russell),,99,105
4,5:42.0,,LA Clippers full timeout,99,105
4,5:42.0,,P. Beverley enters the game for J. Green,99,105
4,5:42.0,,D. Gallinari enters the game for G. Temple,99,105
4,5:30.0,,Turnover by S. Gilgeous-Alexander (bad pass),99,105
4,5:23.0,J. Allen makes 2-pt dunk from 2 ft (assist by D. Russell),,101,105
4,5:01.0,,D. Gallinari misses 2-pt jump shot from 20 ft,101,105
4,4:58.0,Defensive rebound by D. Russell,,101,105
4,4:54.0,S. Dinwiddie misses 3-pt jump shot from 28 ft,,101,105
4,4:52.0,,Defensive rebound by Team,101,105
4,4:34.0,,Turnover by M. Harrell (bad pass; steal by J. Harris),101,105
4,4:28.0,D. Russell misses 3-pt jump shot from 27 ft,,101,105
4,4:24.0,,Defensive rebound by M. Harrell,101,105
4,4:07.0,,L. Williams makes 2-pt jump shot from 11 ft,101,107
4,3:55.0,J. Allen misses 2-pt hook shot from 7 ft,,101,107
4,3:53.0,Offensive rebound by Team,,101,107
4,3:53.0,Turnover by J. Allen (traveling),,101,107
4,3:43.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 14 ft (assist by D. Gallinari),101,109
4,3:28.0,D. Russell misses 3-pt jump shot from 27 ft,,101,109
4,3:26.0,,Defensive rebound by M. Harrell,101,109
4,3:11.0,,M. Harrell makes 2-pt dunk from 3 ft (assist by S. Gilgeous-Alexander),101,111
4,3:03.0,Personal foul by S. Gilgeous-Alexander (drawn by S. Dinwiddie),,101,111
4,3:03.0,,LA Clippers full timeout,101,111
4,2:54.0,J. Harris misses 2-pt jump shot from 12 ft,,101,111
4,2:51.0,,Defensive rebound by D. Gallinari,101,111
4,2:44.0,,L. Williams misses 2-pt jump shot from 13 ft,101,111
4,2:40.0,Defensive rebound by J. Allen,,101,111
4,2:35.0,J. Harris makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie),,104,111
4,2:08.0,,M. Harrell misses 2-pt jump shot from 8 ft,104,111
4,2:06.0,Defensive rebound by D. Russell,,104,111
4,2:02.0,D. Carroll misses 3-pt jump shot from 26 ft,,104,111
4,1:57.0,Offensive rebound by D. Carroll,,104,111
4,1:57.0,Brooklyn full timeout,,104,111
4,1:54.0,J. Allen misses 2-pt layup from 2 ft,,104,111
4,1:52.0,,Defensive rebound by P. Beverley,104,111
4,1:39.0,,L. Williams makes 2-pt jump shot from 9 ft,104,113
4,1:31.0,D. Carroll misses 3-pt jump shot from 27 ft,,104,113
4,1:28.0,Offensive rebound by J. Allen,,104,113
4,1:26.0,Shooting foul by M. Harrell (drawn by J. Allen),,104,113
4,1:26.0,J. Allen makes free throw 1 of 2,,105,113
4,1:26.0,J. Allen makes free throw 2 of 2,,106,113
4,1:07.0,,L. Williams misses 3-pt jump shot from 27 ft (block by J. Allen),106,113
4,1:03.0,,Offensive rebound by L. Williams,106,113
4,1:02.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by L. Williams),106,116
4,0:58.0,Personal foul by S. Gilgeous-Alexander (drawn by S. Dinwiddie),,106,116
4,0:58.0,S. Dinwiddie makes free throw 1 of 2,,107,116
4,0:58.0,S. Dinwiddie makes free throw 2 of 2,,108,116
4,0:52.0,,Personal take foul by D. Carroll (drawn by M. Harrell),108,116
4,0:52.0,,M. Harrell misses free throw 1 of 2,108,116
4,0:52.0,,Offensive rebound by Team,108,116
4,0:52.0,,M. Harrell misses free throw 2 of 2,108,116
4,0:50.0,Defensive rebound by Team,,108,116
4,0:50.0,,S. Thornwell enters the game for L. Williams,108,116
4,0:44.0,D. Russell makes 3-pt jump shot from 29 ft,,111,116
4,0:44.0,,LA Clippers full timeout,111,116
4,0:44.0,C. LeVert enters the game for J. Allen,,111,116
4,0:44.0,,L. Williams enters the game for S. Thornwell,111,116
4,0:44.0,,Turnover by (5 sec),111,116
4,0:44.0,,S. Thornwell enters the game for L. Williams,111,116
4,0:34.0,D. Carroll makes 2-pt layup from 1 ft,,113,116
4,0:34.0,Shooting foul by M. Harrell (drawn by D. Carroll),,113,116
4,0:34.0,J. Allen enters the game for C. LeVert,,113,116
4,0:34.0,,L. Williams enters the game for S. Thornwell,113,116
4,0:34.0,D. Carroll makes free throw 1 of 1,,114,116
4,0:12.0,,P. Beverley misses 3-pt jump shot from 24 ft,114,116
4,0:10.0,Defensive rebound by J. Allen,,114,116
4,0:05.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),,116,116
4,0:05.0,,LA Clippers full timeout,116,116
4,0:05.0,,L. Shamet enters the game for S. Gilgeous-Alexander,116,116
4,0:01.0,,L. Williams makes 3-pt jump shot from 28 ft (assist by D. Gallinari),116,119
