QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
4,0:26.0,,J. Calderón enters the game for B. Brown,111,119
4,0:26.0,,W. Ellington enters the game for A. Drummond,111,119
4,0:26.0,,L. Kennard enters the game for L. Galloway,111,119
4,0:24.0,,Personal take foul by J. Green (drawn by R. Jackson),111,119
4,0:24.0,,R. Jackson makes free throw 1 of 2,111,120
4,0:24.0,,B. Brown enters the game for J. Calderón,111,120
4,0:24.0,,A. Drummond enters the game for W. Ellington,111,120
4,0:24.0,,L. Galloway enters the game for L. Kennard,111,120
4,0:24.0,,R. Jackson makes free throw 2 of 2,111,121
4,0:24.0,Washington full timeout,,111,121
4,0:24.0,Away from play foul by B. Griffin (drawn by J. Green),,111,121
4,0:24.0,B. Beal makes free throw 1 of 1,,112,121
4,0:23.0,J. Green misses 3-pt jump shot from 27 ft,,112,121
4,0:18.0,Offensive rebound by J. Green,,112,121
4,0:16.0,B. Portis misses 3-pt jump shot from 26 ft,,112,121
4,0:12.0,,Defensive rebound by B. Griffin,112,121
