QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
4,7:56.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,101,97
4,7:34.0,,Shooting foul by S. Dinwiddie (drawn by A. Davis),101,97
4,7:34.0,,A. Davis misses free throw 1 of 2,101,97
4,7:34.0,,Offensive rebound by Team,101,97
4,7:34.0,,A. Davis makes free throw 2 of 2,101,98
4,7:21.0,A. Crabbe misses 3-pt jump shot from 25 ft,,101,98
4,7:16.0,,Defensive rebound by E. Payton,101,98
4,7:05.0,,E. Payton misses 2-pt jump shot from 7 ft,101,98
4,7:03.0,Defensive rebound by A. Crabbe,,101,98
4,6:59.0,Personal foul by S. Hill (drawn by J. Dudley),,101,98
4,6:59.0,J. Allen enters the game for A. Crabbe,,101,98
4,6:59.0,C. LeVert enters the game for E. Davis,,101,98
4,6:59.0,D. Russell enters the game for S. Dinwiddie,,101,98
4,6:59.0,,J. Holiday enters the game for E. Payton,101,98
4,6:42.0,J. Dudley misses 3-pt jump shot from 25 ft,,101,98
4,6:35.0,Offensive rebound by C. LeVert,,101,98
4,6:26.0,C. LeVert misses 3-pt jump shot from 26 ft,,101,98
4,6:22.0,Offensive rebound by J. Allen,,101,98
4,6:09.0,C. LeVert misses 2-pt jump shot from 9 ft,,101,98
4,6:05.0,,Defensive rebound by A. Davis,101,98
4,6:03.0,,Personal foul by C. LeVert (drawn by J. Randle),101,98
4,5:57.0,,Turnover by J. Randle (lost ball; steal by J. Allen),101,98
4,5:49.0,J. Dudley misses 2-pt layup from 6 ft (block by S. Hill),,101,98
4,5:46.0,,Defensive rebound by S. Hill,101,98
4,5:41.0,,E. Moore makes 3-pt jump shot from 26 ft (assist by J. Holiday),101,101
4,5:18.0,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Dudley),,104,101
4,4:58.0,,J. Holiday misses 3-pt jump shot from 25 ft,104,101
4,4:55.0,Defensive rebound by J. Harris,,104,101
4,4:44.0,Personal foul by E. Moore (drawn by D. Russell),,104,101
4,4:44.0,S. Dinwiddie enters the game for J. Harris,,104,101
4,4:42.0,C. LeVert makes 2-pt dunk at rim (assist by J. Allen),,106,101
4,4:42.0,Shooting foul by S. Hill (drawn by C. LeVert),,106,101
4,4:42.0,C. LeVert makes free throw 1 of 1,,107,101
4,4:31.0,,E. Moore misses 3-pt jump shot from 25 ft,107,101
4,4:27.0,,Offensive rebound by A. Davis,107,101
4,4:22.0,,A. Davis misses 2-pt layup from 7 ft,107,101
4,4:19.0,,Offensive rebound by E. Moore,107,101
4,4:19.0,,Shooting foul by J. Dudley (drawn by E. Moore),107,101
4,4:19.0,,E. Moore misses free throw 1 of 2,107,101
4,4:19.0,,Offensive rebound by Team,107,101
4,4:19.0,,E. Moore makes free throw 2 of 2,107,102
4,4:08.0,Personal foul by E. Moore (drawn by J. Allen),,107,102
4,4:08.0,J. Allen misses free throw 1 of 2,,107,102
4,4:08.0,Offensive rebound by Team,,107,102
4,4:08.0,J. Allen makes free throw 2 of 2,,108,102
4,4:05.0,,New Orleans full timeout,108,102
4,4:05.0,,E. Payton enters the game for S. Hill,108,102
4,3:47.0,,J. Randle makes 2-pt jump shot from 6 ft,108,104
4,3:31.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by J. Allen),,111,104
4,3:13.0,,J. Randle makes 2-pt layup from 1 ft (assist by E. Payton),111,106
4,3:13.0,Brooklyn full timeout,,111,106
4,3:13.0,,New Orleans full timeout,111,106
4,3:01.0,Turnover by D. Russell (bad pass; steal by J. Randle),,111,106
4,2:58.0,,J. Holiday misses 2-pt layup from 2 ft (block by J. Dudley),111,106
4,2:58.0,Defensive rebound by D. Russell,,111,106
4,2:58.0,Brooklyn full timeout,,111,106
4,2:40.0,C. LeVert makes 2-pt hook shot from 4 ft,,113,106
4,2:26.0,,E. Payton makes 2-pt jump shot from 6 ft,113,108
4,2:04.0,C. LeVert makes 2-pt jump shot from 8 ft,,115,108
4,1:57.0,,New Orleans full timeout,115,108
4,1:57.0,,S. Hill enters the game for E. Payton,115,108
4,1:57.0,,N. Mirotić enters the game for J. Randle,115,108
4,1:49.0,,J. Holiday makes 2-pt jump shot from 15 ft,115,110
4,1:28.0,D. Russell misses 3-pt jump shot from 25 ft,,115,110
4,1:25.0,,Defensive rebound by A. Davis,115,110
4,1:17.0,,A. Davis misses 2-pt layup from 4 ft,115,110
4,1:15.0,Defensive rebound by C. LeVert,,115,110
4,0:56.0,Turnover by J. Allen (offensive foul),,115,110
4,0:56.0,Offensive foul by J. Allen (drawn by N. Mirotić),,115,110
4,0:49.0,,A. Davis misses 3-pt jump shot from 25 ft,115,110
4,0:48.0,,Offensive rebound by Team,115,110
4,0:48.0,Loose ball foul by J. Dudley (drawn by N. Mirotić),,115,110
4,0:48.0,,N. Mirotić makes free throw 1 of 2,115,111
4,0:48.0,,N. Mirotić makes free throw 2 of 2,115,112
4,0:26.0,C. LeVert misses 3-pt jump shot from 25 ft,,115,112
4,0:23.0,,Defensive rebound by A. Davis,115,112
4,0:23.0,,New Orleans full timeout,115,112
4,0:23.0,J. Harris enters the game for D. Russell,,115,112
4,0:21.0,,Personal take foul by J. Dudley (drawn by J. Holiday),115,112
4,0:21.0,,J. Holiday makes free throw 1 of 2,115,113
4,0:21.0,D. Russell enters the game for J. Harris,,115,113
4,0:21.0,,J. Holiday makes free throw 2 of 2,115,114
4,0:07.0,Turnover by D. Russell (bad pass),,115,114
4,0:03.0,,J. Holiday makes 2-pt jump shot from 17 ft,115,116
4,0:02.0,Brooklyn full timeout,,115,116
4,0:02.0,,W. Johnson enters the game for N. Mirotić,115,116
4,0:02.0,Technical foul by E. Davis,,115,116
4,0:02.0,,J. Holiday makes technical free throw,115,117
4,0:02.0,J. Harris enters the game for J. Allen,,115,117
4,0:00.0,Turnover by J. Harris (bad pass; steal by A. Davis),,115,117
