QUARTER,TIME_REMAINING,MINNESOTA_ACTION,INDIANA_ACTION,MINNESOTA_SCORE,INDIANA_SCORE
4,5:37.0,,Shooting foul by J. Okogie (drawn by T. Young),107,106
4,5:37.0,,T. Young misses free throw 1 of 2,107,106
4,5:37.0,,Offensive rebound by Team,107,106
4,5:37.0,D. Rose enters the game for J. Teague,,107,106
4,5:37.0,,T. Young makes free throw 2 of 2,107,107
4,5:25.0,K. Towns misses 2-pt layup from 6 ft (block by C. Joseph),,107,107
4,5:23.0,Offensive rebound by J. Okogie,,107,107
4,5:17.0,K. Towns misses 2-pt jump shot from 7 ft,,107,107
4,5:14.0,,Defensive rebound by B. Bogdanović,107,107
4,4:57.0,,B. Bogdanović misses 2-pt jump shot from 9 ft (block by A. Wiggins),107,107
4,4:53.0,Defensive rebound by K. Towns,,107,107
4,4:44.0,D. Rose misses 2-pt jump shot from 18 ft,,107,107
4,4:42.0,,Defensive rebound by W. Matthews,107,107
4,4:36.0,,W. Matthews misses 2-pt jump shot from 14 ft (block by J. Okogie),107,107
4,4:35.0,,Offensive rebound by Team,107,107
4,4:32.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,107,107
4,4:30.0,Defensive rebound by J. Okogie,,107,107
4,4:22.0,Minnesota full timeout,,107,107
4,4:22.0,,D. Collison enters the game for C. Joseph,107,107
4,4:11.0,K. Towns misses 3-pt jump shot from 27 ft,,107,107
4,4:09.0,,Defensive rebound by B. Bogdanović,107,107
4,3:57.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),107,109
4,3:31.0,Shooting foul by T. Young (drawn by A. Wiggins),,107,109
4,3:31.0,A. Wiggins misses free throw 1 of 2,,107,109
4,3:31.0,Offensive rebound by Team,,107,109
4,3:31.0,J. Teague enters the game for J. Okogie,,107,109
4,3:31.0,A. Wiggins misses free throw 2 of 2,,107,109
4,3:31.0,,Defensive rebound by T. Young,107,109
4,3:31.0,,Indiana full timeout,107,109
4,3:31.0,Minnesota full timeout,,107,109
4,3:21.0,,D. Collison misses 2-pt jump shot from 20 ft,107,109
4,3:19.0,,Offensive rebound by D. Collison,107,109
4,3:17.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Collison),107,112
4,2:47.0,J. Teague misses 2-pt jump shot from 10 ft,,107,112
4,2:44.0,Offensive rebound by K. Towns,,107,112
4,2:43.0,K. Towns misses 3-pt jump shot from 24 ft,,107,112
4,2:41.0,,Defensive rebound by B. Bogdanović,107,112
4,2:19.0,Violation by Team (kicked ball),,107,112
4,2:10.0,,D. Collison misses 2-pt jump shot from 10 ft (block by J. Teague),107,112
4,2:06.0,Defensive rebound by K. Towns,,107,112
4,1:50.0,Shooting foul by T. Young (drawn by J. Teague),,107,112
4,1:50.0,T. Gibson enters the game for A. Tolliver,,107,112
4,1:50.0,,C. Joseph enters the game for T. Young,107,112
4,1:50.0,J. Teague makes free throw 1 of 2,,108,112
4,1:50.0,J. Teague misses free throw 2 of 2,,108,112
4,1:49.0,,Defensive rebound by M. Turner,108,112
4,1:30.0,,B. Bogdanović makes 2-pt layup from 1 ft,108,114
4,1:16.0,A. Wiggins misses 3-pt jump shot from 27 ft,,108,114
4,1:13.0,Offensive rebound by J. Teague,,108,114
4,1:12.0,D. Rose misses 3-pt jump shot from 26 ft,,108,114
4,1:11.0,Offensive rebound by Team,,108,114
4,1:11.0,,Loose ball foul by M. Turner (drawn by T. Gibson),108,114
4,1:11.0,T. Gibson makes free throw 1 of 2,,109,114
4,1:11.0,T. Gibson makes free throw 2 of 2,,110,114
4,0:58.0,,B. Bogdanović makes 2-pt layup from 8 ft (assist by D. Collison),110,116
4,0:58.0,Violation by Team (def goaltending),,110,116
4,0:58.0,,Shooting foul by J. Teague (drawn by B. Bogdanović),110,116
4,0:58.0,A. Tolliver enters the game for T. Gibson,,110,116
4,0:58.0,,B. Bogdanović misses free throw 1 of 1,110,116
4,0:58.0,Defensive rebound by A. Wiggins,,110,116
4,0:45.0,K. Towns misses 3-pt jump shot from 27 ft,,110,116
4,0:41.0,,Defensive rebound by D. Collison,110,116
4,0:32.0,,Shooting foul by J. Teague (drawn by D. Collison),110,116
4,0:32.0,,D. Collison makes free throw 1 of 2,110,117
4,0:32.0,,D. Collison makes free throw 2 of 2,110,118
4,0:32.0,Minnesota full timeout,,110,118
4,0:26.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by K. Towns),,113,118
4,0:22.0,,Personal take foul by K. Towns (drawn by D. Collison),113,118
4,0:22.0,,D. Collison makes free throw 1 of 2,113,119
4,0:22.0,,D. Collison makes free throw 2 of 2,113,120
4,0:22.0,Minnesota full timeout,,113,120
4,0:18.0,D. Rose misses 3-pt jump shot from 24 ft,,113,120
4,0:16.0,,Defensive rebound by B. Bogdanović,113,120
4,0:16.0,,Personal take foul by A. Tolliver (drawn by B. Bogdanović),113,120
4,0:16.0,,B. Bogdanović makes free throw 1 of 2,113,121
4,0:16.0,,B. Bogdanović makes free throw 2 of 2,113,122
4,0:04.0,J. Teague misses 2-pt layup from 2 ft (block by M. Turner),,113,122
4,0:01.0,Offensive rebound by K. Towns,,113,122
4,0:01.0,K. Towns makes 2-pt jump shot from 2 ft,,115,122
