QUARTER,TIME_REMAINING,PORTLAND_ACTION,WASHINGTON_ACTION,PORTLAND_SCORE,WASHINGTON_SCORE
4,7:03.0,,Turnover by A. Rivers (out of bounds lost ball),103,83
4,6:48.0,D. Lillard misses 3-pt jump shot from 30 ft,,103,83
4,6:44.0,,Defensive rebound by K. Oubre,103,83
4,6:39.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Oubre),103,86
4,6:20.0,M. Leonard makes 3-pt jump shot from 27 ft (assist by D. Lillard),,106,86
4,6:07.0,,K. Oubre makes 3-pt jump shot from 27 ft (assist by J. Smith),106,89
4,5:48.0,D. Lillard misses 2-pt layup from 2 ft,,106,89
4,5:45.0,,Defensive rebound by K. Oubre,106,89
4,5:43.0,,A. Rivers makes 3-pt jump shot from 27 ft (assist by K. Oubre),106,92
4,5:27.0,Shooting foul by K. Oubre (drawn by C. McCollum),,106,92
4,5:27.0,J. Nurkić enters the game for W. Baldwin,,106,92
4,5:27.0,E. Turner enters the game for M. Leonard,,106,92
4,5:27.0,C. McCollum makes free throw 1 of 2,,107,92
4,5:27.0,C. McCollum makes free throw 2 of 2,,108,92
4,5:14.0,,J. Smith misses 3-pt jump shot from 25 ft,108,92
4,5:07.0,Defensive rebound by J. Nurkić,,108,92
4,4:57.0,Shooting foul by J. Smith (drawn by A. Aminu),,108,92
4,4:57.0,A. Aminu misses free throw 1 of 2,,108,92
4,4:57.0,Offensive rebound by Team,,108,92
4,4:57.0,,T. Bryant enters the game for J. Smith,108,92
4,4:57.0,A. Aminu makes free throw 2 of 2,,109,92
4,4:40.0,,T. Satoranský makes 2-pt jump shot from 9 ft (assist by T. Bryant),109,94
4,4:19.0,E. Turner misses 2-pt jump shot from 10 ft,,109,94
4,4:19.0,,Defensive rebound by Team,109,94
4,4:19.0,Loose ball foul by A. Aminu (drawn by T. Brown),,109,94
4,4:04.0,,A. Rivers misses 3-pt jump shot from 26 ft,109,94
4,4:00.0,Defensive rebound by E. Turner,,109,94
4,3:41.0,D. Lillard misses 2-pt jump shot from 18 ft,,109,94
4,3:37.0,,Defensive rebound by T. Bryant,109,94
4,3:26.0,,T. Bryant makes 2-pt layup at rim (assist by T. Satoranský),109,96
4,3:26.0,,Shooting foul by A. Aminu (drawn by T. Bryant),109,96
4,3:26.0,,T. Bryant misses free throw 1 of 1,109,96
4,3:22.0,Defensive rebound by E. Turner,,109,96
4,3:08.0,D. Lillard misses 2-pt layup from 2 ft,,109,96
4,3:07.0,,Defensive rebound by Team,109,96
4,2:54.0,,A. Rivers misses 2-pt layup from 3 ft (block by J. Nurkić),109,96
4,2:54.0,,Offensive rebound by Team,109,96
4,2:54.0,,Washington full timeout,109,96
4,2:54.0,,Away from play foul by A. Aminu (drawn by K. Oubre),109,96
4,2:54.0,,K. Oubre misses free throw 1 of 1,109,96
4,2:54.0,,Offensive rebound by Team,109,96
4,2:50.0,,T. Satoranský makes 2-pt jump shot from 14 ft (assist by T. Bryant),109,98
4,2:42.0,Personal foul by T. Satoranský (drawn by E. Turner),,109,98
4,2:38.0,Personal foul by A. Rivers (drawn by J. Nurkić),,109,98
4,2:38.0,J. Nurkić makes free throw 1 of 2,,110,98
4,2:38.0,J. Nurkić makes free throw 2 of 2,,111,98
4,2:28.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by A. Rivers),111,100
4,2:14.0,Personal foul by T. Bryant (drawn by J. Nurkić),,111,100
4,2:14.0,J. Nurkić makes free throw 1 of 2,,112,100
4,2:14.0,J. Nurkić makes free throw 2 of 2,,113,100
4,1:56.0,,T. Satoranský makes 3-pt jump shot from 24 ft (assist by K. Oubre),113,103
4,1:32.0,D. Lillard misses 2-pt layup from 5 ft,,113,103
4,1:32.0,Offensive rebound by J. Nurkić,,113,103
4,1:32.0,J. Nurkić makes 2-pt dunk from 1 ft,,115,103
4,1:19.0,,Personal foul by A. Aminu (drawn by T. Satoranský),115,103
4,1:19.0,J. Layman enters the game for A. Aminu,,115,103
4,1:19.0,,T. Satoranský misses free throw 1 of 2,115,103
4,1:19.0,,Offensive rebound by Team,115,103
4,1:19.0,,T. Satoranský makes free throw 2 of 2,115,104
4,0:54.0,Turnover by E. Turner (lost ball; steal by K. Oubre),,115,104
4,0:51.0,,K. Oubre makes 2-pt layup from 2 ft (assist by T. Bryant),115,106
4,0:51.0,,Shooting foul by C. McCollum (drawn by K. Oubre),115,106
4,0:51.0,,K. Oubre makes free throw 1 of 1,115,107
4,0:49.0,Portland full timeout,,115,107
4,0:38.0,D. Lillard misses 2-pt dunk from 4 ft (block by T. Bryant),,115,107
4,0:33.0,,Defensive rebound by T. Bryant,115,107
4,0:31.0,,A. Rivers misses 3-pt jump shot from 23 ft,115,107
4,0:29.0,Defensive rebound by J. Nurkić,,115,107
4,0:23.0,Personal foul by T. Brown (drawn by D. Lillard),,115,107
4,0:23.0,D. Lillard makes free throw 1 of 2,,116,107
4,0:23.0,D. Lillard makes free throw 2 of 2,,117,107
4,0:18.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Satoranský),117,109
4,0:05.0,Personal foul by T. Brown (drawn by D. Lillard),,117,109
4,0:05.0,D. Lillard makes free throw 1 of 2,,118,109
4,0:05.0,D. Lillard makes free throw 2 of 2,,119,109
