QUARTER,TIME_REMAINING,CHICAGO_ACTION,MINNESOTA_ACTION,CHICAGO_SCORE,MINNESOTA_SCORE
4,5:29.0,,D. Rose misses 2-pt jump shot from 20 ft,82,96
4,5:27.0,,Offensive rebound by K. Towns,82,96
4,5:26.0,,K. Towns makes 2-pt jump shot from 7 ft,82,98
4,5:04.0,J. Holiday misses 2-pt layup from 2 ft,,82,98
4,5:04.0,Offensive rebound by Z. LaVine,,82,98
4,5:01.0,Z. LaVine makes 2-pt layup at rim,,84,98
4,4:44.0,,Shooting foul by J. Parker (drawn by K. Towns),84,98
4,4:44.0,,K. Towns makes free throw 1 of 2,84,99
4,4:44.0,,K. Towns misses free throw 2 of 2,84,99
4,4:41.0,,Offensive rebound by D. Šarić,84,99
4,4:38.0,,Shooting foul by J. Holiday (drawn by R. Covington),84,99
4,4:38.0,,R. Covington makes free throw 1 of 2,84,100
4,4:38.0,,R. Covington makes free throw 2 of 2,84,101
4,4:18.0,J. Parker misses 2-pt layup from 4 ft,,84,101
4,4:16.0,,Defensive rebound by K. Towns,84,101
4,3:58.0,,R. Covington misses 3-pt jump shot from 27 ft,84,101
4,3:55.0,,Offensive rebound by K. Towns,84,101
4,3:53.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by K. Towns),84,104
4,3:46.0,,Violation by Team (kicked ball),84,104
4,3:46.0,Turnover by (5 sec),,84,104
4,3:37.0,,Shooting foul by R. Arcidiacono (drawn by T. Jones),84,104
4,3:37.0,,T. Jones misses free throw 1 of 2,84,104
4,3:37.0,,Offensive rebound by Team,84,104
4,3:37.0,,T. Jones makes free throw 2 of 2,84,105
4,3:28.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,87,105
4,3:05.0,,R. Covington misses 3-pt jump shot from 25 ft,87,105
4,3:00.0,Defensive rebound by J. Parker,,87,105
4,2:58.0,Shooting foul by R. Covington (drawn by J. Parker),,87,105
4,2:58.0,J. Parker makes free throw 1 of 2,,88,105
4,2:58.0,J. Parker misses free throw 2 of 2,,88,105
4,2:56.0,,Defensive rebound by K. Towns,88,105
4,2:34.0,,Turnover by Team (shot clock),88,105
4,2:27.0,Shooting foul by D. Šarić (drawn by Z. LaVine),,88,105
4,2:27.0,Z. LaVine makes free throw 1 of 2,,89,105
4,2:27.0,Z. LaVine makes free throw 2 of 2,,90,105
4,2:07.0,,D. Rose makes 2-pt layup from 2 ft (assist by K. Towns),90,107
4,2:03.0,Shooting foul by T. Jones (drawn by Z. LaVine),,90,107
4,2:03.0,Z. LaVine misses free throw 1 of 2,,90,107
4,2:03.0,Offensive rebound by Team,,90,107
4,2:03.0,Z. LaVine makes free throw 2 of 2,,91,107
4,1:47.0,,Turnover by R. Covington (traveling),91,107
4,1:42.0,Offensive foul by W. Carter (drawn by R. Covington),,91,107
4,1:42.0,Turnover by W. Carter (offensive foul),,91,107
4,1:30.0,,Offensive foul by K. Towns (drawn by W. Carter),91,107
4,1:30.0,,Turnover by K. Towns (offensive foul),91,107
4,1:24.0,J. Holiday misses 3-pt jump shot from 26 ft,,91,107
4,1:22.0,,Defensive rebound by D. Šarić,91,107
4,1:06.0,,D. Šarić misses 3-pt jump shot from 26 ft,91,107
4,1:02.0,,Offensive rebound by D. Šarić,91,107
4,1:01.0,,D. Šarić misses 3-pt jump shot from 25 ft,91,107
4,1:00.0,Defensive rebound by W. Carter,,91,107
4,1:00.0,,Loose ball foul by R. Covington (drawn by W. Carter),91,107
4,1:00.0,,J. Okogie enters the game for R. Covington,91,107
4,1:00.0,W. Carter makes free throw 1 of 2,,92,107
4,1:00.0,A. Blakeney enters the game for R. Arcidiacono,,92,107
4,1:00.0,C. Felício enters the game for J. Holiday,,92,107
4,1:00.0,S. Harrison enters the game for Z. LaVine,,92,107
4,1:00.0,C. Payne enters the game for J. Parker,,92,107
4,1:00.0,W. Carter makes free throw 2 of 2,,93,107
4,0:41.0,,D. Šarić makes 2-pt dunk from 2 ft (assist by K. Towns),93,109
4,0:32.0,Personal foul by K. Towns (drawn by A. Blakeney),,93,109
4,0:32.0,,G. Dieng enters the game for K. Towns,93,109
4,0:32.0,A. Blakeney misses free throw 1 of 2,,93,109
4,0:32.0,Offensive rebound by Team,,93,109
4,0:32.0,A. Blakeney misses free throw 2 of 2,,93,109
4,0:31.0,,Defensive rebound by D. Šarić,93,109
4,0:10.0,,D. Šarić makes 2-pt layup from 3 ft (assist by D. Rose),93,111
4,0:06.0,A. Blakeney makes 3-pt jump shot from 24 ft,,96,111
