QUARTER,TIME_REMAINING,DENVER_ACTION,LA LAKERS_ACTION,DENVER_SCORE,LA LAKERS_SCORE
3,1:53.0,,J. Hart enters the game for K. Kuzma,84,83
3,1:53.0,,J. McGee enters the game for J. Williams,84,83
3,1:53.0,M. Morris makes free throw 2 of 2,,85,83
3,1:42.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. Ball),85,85
3,1:23.0,Turnover by N. Jokić (traveling),,85,85
3,1:23.0,J. Murray enters the game for G. Harris,,85,85
3,1:23.0,M. Plumlee enters the game for N. Jokić,,85,85
3,1:14.0,,J. Hart misses 3-pt jump shot from 26 ft,85,85
3,1:08.0,Defensive rebound by M. Plumlee,,85,85
3,1:00.0,T. Lyles misses 3-pt jump shot from 25 ft,,85,85
3,0:58.0,,Defensive rebound by J. Hart,85,85
3,0:53.0,,L. Ball misses 3-pt jump shot from 26 ft,85,85
3,0:49.0,Defensive rebound by M. Beasley,,85,85
3,0:44.0,M. Beasley makes 2-pt layup from 1 ft,,87,85
3,0:34.0,,Shooting foul by J. Murray (drawn by J. Hart),87,85
3,0:34.0,,J. Hart makes free throw 1 of 2,87,86
3,0:34.0,,S. Mykhailiuk enters the game for L. Ball,87,86
3,0:34.0,,J. Hart makes free throw 2 of 2,87,87
3,0:20.0,Personal foul by K. Caldwell-Pope (drawn by J. Murray),,87,87
3,0:20.0,J. Murray makes free throw 1 of 2,,88,87
3,0:20.0,J. Murray makes free throw 2 of 2,,89,87
3,0:03.0,,L. Stephenson misses 2-pt layup from 1 ft,89,87
3,0:02.0,,Offensive rebound by L. Stephenson,89,87
3,0:02.0,,L. Stephenson misses 2-pt layup at rim,89,87
3,0:02.0,Defensive rebound by J. Murray,,89,87
3,0:00.0,J. Murray misses 3-pt jump shot from 65 ft,,89,87
3,0:00.0,Offensive rebound by Team,,89,87
4,11:41.0,M. Plumlee makes 2-pt hook shot from 8 ft,,91,87
4,11:27.0,,L. Stephenson misses 3-pt jump shot from 28 ft,91,87
4,11:24.0,Defensive rebound by J. Murray,,91,87
4,11:05.0,M. Morris makes 2-pt jump shot from 7 ft,,93,87
4,10:48.0,,L. James makes 3-pt jump shot from 26 ft (assist by J. McGee),93,90
4,10:32.0,T. Lyles misses 2-pt jump shot from 10 ft,,93,90
4,10:27.0,,Defensive rebound by L. James,93,90
4,10:20.0,,J. McGee misses 2-pt hook shot from 8 ft,93,90
4,10:18.0,,Offensive rebound by L. Stephenson,93,90
4,10:10.0,,L. Stephenson misses 2-pt layup from 6 ft,93,90
4,10:07.0,Defensive rebound by T. Lyles,,93,90
4,9:50.0,J. Murray makes 2-pt dunk from 2 ft,,95,90
4,9:27.0,,L. James misses 3-pt jump shot from 28 ft,95,90
4,9:20.0,,Offensive rebound by J. McGee,95,90
4,9:18.0,,J. McGee makes 2-pt dunk from 1 ft,95,92
4,9:04.0,Offensive foul by M. Plumlee (drawn by K. Caldwell-Pope),,95,92
4,9:04.0,Turnover by M. Plumlee (offensive foul),,95,92
4,9:04.0,,J. Williams enters the game for J. McGee,95,92
4,8:44.0,,L. James misses 2-pt jump shot from 8 ft,95,92
4,8:40.0,Defensive rebound by J. Murray,,95,92
4,8:26.0,M. Beasley makes 2-pt layup from 1 ft (assist by T. Lyles),,97,92
4,8:24.0,,LA Lakers full timeout,97,92
4,8:24.0,,K. Kuzma enters the game for S. Mykhailiuk,97,92
4,8:24.0,,J. McGee enters the game for J. Williams,97,92
4,8:04.0,,J. McGee makes 2-pt hook shot from 5 ft (assist by L. James),97,94
4,7:50.0,M. Morris misses 2-pt jump shot from 10 ft (block by K. Kuzma),,97,94
4,7:50.0,Offensive rebound by Team,,97,94
4,7:50.0,G. Harris enters the game for J. Murray,,97,94
4,7:49.0,T. Lyles makes 2-pt hook shot from 3 ft (assist by M. Morris),,99,94
4,7:49.0,Shooting foul by L. James (drawn by T. Lyles),,99,94
4,7:49.0,T. Lyles misses free throw 1 of 1,,99,94
4,7:47.0,,Defensive rebound by L. James,99,94
4,7:32.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,99,94
4,7:28.0,Defensive rebound by G. Harris,,99,94
4,7:23.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by G. Harris),,101,94
4,7:05.0,,J. McGee makes 2-pt hook shot from 6 ft,101,96
4,6:55.0,Shooting foul by K. Kuzma (drawn by M. Morris),,101,96
4,6:55.0,,L. Ball enters the game for K. Caldwell-Pope,101,96
4,6:55.0,,J. Hart enters the game for L. James,101,96
4,6:55.0,M. Morris makes free throw 1 of 2,,102,96
4,6:55.0,M. Morris makes free throw 2 of 2,,103,96
4,6:38.0,,K. Kuzma misses 2-pt hook shot from 4 ft,103,96
4,6:34.0,,J. McGee makes 2-pt layup at rim,103,98
4,6:34.0,,Offensive rebound by J. McGee,103,98
4,6:19.0,M. Plumlee misses 2-pt hook shot from 11 ft,,103,98
4,6:14.0,Offensive rebound by M. Plumlee,,103,98
4,6:11.0,M. Morris makes 3-pt jump shot from 26 ft,,106,98
4,5:54.0,,Personal foul by T. Lyles (drawn by J. McGee),106,98
4,5:54.0,N. Jokić enters the game for M. Plumlee,,106,98
4,5:44.0,,L. Stephenson makes 3-pt jump shot from 25 ft (assist by J. McGee),106,101
4,5:28.0,T. Lyles misses 2-pt hook shot from 5 ft,,106,101
4,5:26.0,,Defensive rebound by L. Ball,106,101
4,5:17.0,,L. Stephenson makes 3-pt jump shot from 25 ft,106,104
4,5:15.0,Denver full timeout,,106,104
