QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
4,3:10.0,E. Gordon misses 3-pt jump shot from 28 ft,,104,112
4,3:07.0,,Defensive rebound by T. Thompson,104,112
4,2:47.0,,R. Hood makes 3-pt jump shot from 25 ft (assist by T. Thompson),104,115
4,2:23.0,J. Harden makes 2-pt jump shot from 10 ft,,106,115
4,2:00.0,,D. Nwaba misses 3-pt jump shot from 25 ft,106,115
4,1:57.0,Defensive rebound by E. Gordon,,106,115
4,1:46.0,Offensive foul by P. Tucker (drawn by D. Nwaba),,106,115
4,1:46.0,Turnover by P. Tucker (offensive foul),,106,115
4,1:23.0,,C. Sexton misses 2-pt layup from 3 ft (block by C. Capela),106,115
4,1:20.0,Defensive rebound by P. Tucker,,106,115
4,1:18.0,E. Gordon misses 3-pt jump shot from 27 ft,,106,115
4,1:16.0,,Defensive rebound by T. Thompson,106,115
4,0:58.0,,Shooting foul by J. Harden (drawn by J. Clarkson),106,115
4,0:58.0,,J. Clarkson makes free throw 1 of 2,106,116
4,0:58.0,,J. Clarkson makes free throw 2 of 2,106,117
4,0:50.0,J. Harden makes 2-pt layup from 1 ft,,108,117
4,0:26.0,,C. Sexton misses 2-pt jump shot from 21 ft,108,117
4,0:24.0,Defensive rebound by P. Tucker,,108,117
4,0:19.0,J. Harden misses 3-pt jump shot from 27 ft,,108,117
4,0:19.0,,Defensive rebound by C. Sexton,108,117
