QUARTER,TIME_REMAINING,MIAMI_ACTION,INDIANA_ACTION,MIAMI_SCORE,INDIANA_SCORE
4,1:56.0,,V. Oladipo misses 3-pt jump shot from 27 ft,84,92
4,1:53.0,Defensive rebound by H. Whiteside,,84,92
4,1:45.0,J. Richardson makes 2-pt layup from 1 ft (assist by T. Johnson),,86,92
4,1:34.0,,D. Collison misses 2-pt layup from 2 ft,86,92
4,1:33.0,Defensive rebound by H. Whiteside,,86,92
4,1:27.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by T. Johnson),,89,92
4,1:26.0,,Indiana full timeout,89,92
4,1:26.0,,T. Evans enters the game for D. Collison,89,92
4,1:26.0,,D. Sabonis enters the game for M. Turner,89,92
4,1:16.0,,V. Oladipo makes 3-pt jump shot from 27 ft,89,95
4,0:55.0,T. Johnson misses 2-pt jump shot from 19 ft,,89,95
4,0:52.0,,Defensive rebound by T. Evans,89,95
4,0:32.0,,Turnover by D. Sabonis (out of bounds lost ball),89,95
4,0:32.0,Miami full timeout,,89,95
4,0:32.0,W. Ellington enters the game for T. Johnson,,89,95
4,0:23.0,J. Richardson misses 2-pt jump shot from 7 ft,,89,95
4,0:21.0,,Defensive rebound by D. Sabonis,89,95
4,0:20.0,,Personal take foul by W. Ellington (drawn by V. Oladipo),89,95
4,0:20.0,B. Adebayo enters the game for G. Dragić,,89,95
4,0:20.0,T. Johnson enters the game for W. Ellington,,89,95
4,0:20.0,J. Winslow enters the game for H. Whiteside,,89,95
4,0:13.0,,Personal take foul by T. Johnson (drawn by T. Evans),89,95
4,0:13.0,,T. Evans makes free throw 1 of 2,89,96
4,0:13.0,W. Ellington enters the game for B. Adebayo,,89,96
4,0:13.0,K. Olynyk enters the game for J. Winslow,,89,96
4,0:13.0,,T. Evans makes free throw 2 of 2,89,97
4,0:06.0,J. Richardson makes 2-pt layup from 1 ft,,91,97
4,0:05.0,,Personal foul by T. Johnson (drawn by T. Evans),91,97
4,0:05.0,,T. Evans makes free throw 1 of 2,91,98
4,0:05.0,,T. Evans makes free throw 2 of 2,91,99
