QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MINNESOTA_ACTION,BROOKLYN_SCORE,MINNESOTA_SCORE
4,7:40.0,,Minnesota full timeout,96,100
4,7:40.0,S. Dinwiddie enters the game for J. Harris,,96,100
4,7:34.0,,J. Okogie misses 3-pt jump shot from 24 ft,96,100
4,7:29.0,,Offensive rebound by A. Tolliver,96,100
4,7:16.0,,J. Okogie makes 3-pt jump shot from 25 ft (assist by J. Teague),96,103
4,7:03.0,A. Crabbe misses 3-pt jump shot from 25 ft,,96,103
4,7:00.0,,Defensive rebound by K. Towns,96,103
4,6:52.0,,Turnover by D. Rose (lost ball; steal by E. Davis),96,103
4,6:40.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,96,103
4,6:37.0,,Defensive rebound by K. Towns,96,103
4,6:35.0,,Turnover by K. Towns (bad pass; steal by D. Russell),96,103
4,6:28.0,D. Russell misses 2-pt jump shot from 18 ft,,96,103
4,6:25.0,,Defensive rebound by K. Towns,96,103
4,6:20.0,,D. Rose misses 2-pt jump shot from 3 ft,96,103
4,6:19.0,Defensive rebound by E. Davis,,96,103
4,6:13.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,99,103
4,5:58.0,,Shooting foul by J. Dudley (drawn by J. Teague),99,103
4,5:58.0,,J. Teague makes free throw 1 of 2,99,104
4,5:58.0,R. Hollis-Jefferson enters the game for E. Davis,,99,104
4,5:58.0,,T. Gibson enters the game for J. Okogie,99,104
4,5:58.0,,A. Wiggins enters the game for A. Tolliver,99,104
4,5:58.0,,J. Teague makes free throw 2 of 2,99,105
4,5:42.0,Turnover by R. Hollis-Jefferson (lost ball; steal by A. Wiggins),,99,105
4,5:33.0,,Personal foul by S. Dinwiddie (drawn by K. Towns),99,105
4,5:33.0,Technical foul by S. Dinwiddie,,99,105
4,5:33.0,,K. Towns misses technical free throw,99,105
4,5:33.0,,Offensive rebound by Team,99,105
4,5:33.0,J. Harris enters the game for S. Dinwiddie,,99,105
4,5:33.0,,K. Towns makes free throw 1 of 2,99,106
4,5:33.0,,K. Towns makes free throw 2 of 2,99,107
4,5:16.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,99,107
4,5:14.0,,Defensive rebound by A. Wiggins,99,107
4,5:06.0,,Offensive foul by K. Towns (drawn by D. Russell),99,107
4,5:06.0,,Turnover by K. Towns (offensive foul),99,107
4,4:48.0,A. Crabbe misses 2-pt jump shot from 20 ft,,99,107
4,4:45.0,,Defensive rebound by K. Towns,99,107
4,4:32.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by D. Rose),99,110
4,4:12.0,Shooting foul by T. Gibson (drawn by R. Hollis-Jefferson),,99,110
4,4:12.0,R. Hollis-Jefferson makes free throw 1 of 2,,100,110
4,4:12.0,D. Carroll enters the game for A. Crabbe,,100,110
4,4:12.0,R. Hollis-Jefferson makes free throw 2 of 2,,101,110
4,3:48.0,,K. Towns makes 2-pt layup from 4 ft (assist by D. Rose),101,112
4,3:37.0,Turnover by D. Russell (bad pass; steal by J. Teague),,101,112
4,3:26.0,,J. Teague misses 2-pt layup from 1 ft,101,112
4,3:24.0,Defensive rebound by J. Dudley,,101,112
4,3:20.0,J. Dudley misses 3-pt jump shot from 25 ft,,101,112
4,3:16.0,Offensive rebound by D. Carroll,,101,112
4,3:16.0,Personal foul by T. Gibson (drawn by D. Carroll),,101,112
4,3:16.0,Brooklyn full timeout,,101,112
4,3:08.0,J. Dudley misses 3-pt jump shot from 25 ft,,101,112
4,3:01.0,Offensive rebound by R. Hollis-Jefferson,,101,112
4,3:01.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft,,103,112
4,2:40.0,Violation by Team (kicked ball),,103,112
4,2:26.0,,D. Rose makes 2-pt jump shot from 18 ft,103,114
4,2:05.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,103,114
4,2:03.0,Offensive rebound by J. Dudley,,103,114
4,2:02.0,D. Russell misses 3-pt jump shot from 25 ft,,103,114
4,1:57.0,,Defensive rebound by K. Towns,103,114
4,1:46.0,,A. Wiggins misses 2-pt jump shot from 16 ft,103,114
4,1:46.0,Defensive rebound by D. Carroll,,103,114
4,1:40.0,J. Dudley makes 2-pt layup from 1 ft (assist by D. Carroll),,105,114
4,1:19.0,,J. Teague makes 2-pt layup from 1 ft,105,116
4,1:06.0,D. Russell makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),,108,116
4,0:59.0,,Personal take foul by J. Harris (drawn by D. Rose),108,116
4,0:59.0,,D. Rose makes free throw 1 of 2,108,117
4,0:59.0,,D. Rose makes free throw 2 of 2,108,118
4,0:59.0,Brooklyn full timeout,,108,118
4,0:58.0,D. Russell makes 3-pt jump shot from 23 ft (assist by D. Carroll),,111,118
4,0:54.0,,Personal take foul by R. Hollis-Jefferson (drawn by T. Gibson),111,118
4,0:54.0,,T. Gibson makes free throw 1 of 2,111,119
4,0:54.0,,T. Gibson makes free throw 2 of 2,111,120
4,0:54.0,Brooklyn full timeout,,111,120
4,0:48.0,D. Carroll misses 3-pt jump shot from 26 ft,,111,120
4,0:43.0,Offensive rebound by J. Harris,,111,120
4,0:38.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,111,120
4,0:34.0,,Defensive rebound by J. Teague,111,120
4,0:12.0,,J. Teague misses 3-pt jump shot from 24 ft,111,120
4,0:09.0,Defensive rebound by D. Carroll,,111,120
4,0:02.0,D. Carroll makes 2-pt layup from 1 ft,,113,120
