QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,OKLAHOMA CITY_ACTION,PHILADELPHIA_SCORE,OKLAHOMA CITY_SCORE
4,5:37.0,J. Bolden enters the game for A. Johnson,,93,91
4,5:37.0,J. Butler enters the game for T. McConnell,,93,91
4,5:37.0,,J. Grant enters the game for S. Adams,93,91
4,5:37.0,,D. Schröder enters the game for A. Nader,93,91
4,5:37.0,B. Simmons misses free throw 2 of 2,,93,91
4,5:35.0,,Defensive rebound by M. Morris,93,91
4,5:20.0,,R. Westbrook misses 2-pt layup from 1 ft,93,91
4,5:19.0,Defensive rebound by B. Simmons,,93,91
4,5:14.0,J. Redick misses 3-pt jump shot from 23 ft,,93,91
4,5:11.0,,Defensive rebound by T. Ferguson,93,91
4,5:06.0,,R. Westbrook makes 2-pt layup from 1 ft,93,93
4,4:40.0,T. Harris makes 3-pt jump shot from 24 ft (assist by B. Simmons),,96,93
4,4:19.0,,Turnover by D. Schröder (bad pass; steal by B. Simmons),96,93
4,4:01.0,Offensive foul by J. Butler (drawn by T. Ferguson),,96,93
4,4:01.0,Turnover by J. Butler (offensive foul),,96,93
4,4:01.0,M. Scott enters the game for J. Bolden,,96,93
4,4:01.0,,S. Adams enters the game for M. Morris,96,93
4,3:52.0,,Turnover by S. Adams (off goaltending),96,93
4,3:51.0,Philadelphia full timeout,,96,93
4,3:29.0,T. Harris makes 2-pt jump shot from 7 ft,,98,93
4,3:20.0,,R. Westbrook misses 3-pt jump shot from 26 ft,98,93
4,3:18.0,Defensive rebound by J. Butler,,98,93
4,3:02.0,J. Redick misses 3-pt jump shot from 25 ft,,98,93
4,2:58.0,Offensive rebound by J. Redick,,98,93
4,2:47.0,T. Harris makes 3-pt jump shot from 25 ft,,101,93
4,2:29.0,,Shooting foul by M. Scott (drawn by S. Adams),101,93
4,2:29.0,,S. Adams misses free throw 1 of 2,101,93
4,2:29.0,,Offensive rebound by Team,101,93
4,2:29.0,,S. Adams misses free throw 2 of 2,101,93
4,2:27.0,Defensive rebound by T. Harris,,101,93
4,2:12.0,M. Scott misses 3-pt jump shot from 25 ft,,101,93
4,2:09.0,,Defensive rebound by J. Grant,101,93
4,2:05.0,,D. Schröder misses 3-pt jump shot from 28 ft,101,93
4,2:01.0,Defensive rebound by J. Redick,,101,93
4,1:52.0,J. Butler makes 2-pt dunk from 1 ft (assist by B. Simmons),,103,93
4,1:52.0,,Oklahoma City full timeout,103,93
4,1:48.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),103,96
4,1:29.0,J. Butler misses 2-pt jump shot from 11 ft,,103,96
4,1:27.0,,Defensive rebound by R. Westbrook,103,96
4,1:27.0,,Personal foul by B. Simmons (drawn by R. Westbrook),103,96
4,1:27.0,,R. Westbrook makes free throw 1 of 2,103,97
4,1:27.0,,M. Morris enters the game for S. Adams,103,97
4,1:27.0,,R. Westbrook makes free throw 2 of 2,103,98
4,1:10.0,Turnover by J. Butler (bad pass; steal by D. Schröder),,103,98
4,1:03.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),103,100
4,1:03.0,Philadelphia full timeout,,103,100
4,0:53.0,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Butler),,106,100
4,0:45.0,,M. Morris makes 2-pt layup from 1 ft (assist by R. Westbrook),106,102
4,0:32.0,Turnover by B. Simmons (bad pass; steal by R. Westbrook),,106,102
4,0:32.0,,Oklahoma City full timeout,106,102
4,0:32.0,J. Ennis enters the game for J. Redick,,106,102
4,0:28.0,,Shooting foul by T. Harris (drawn by R. Westbrook),106,102
4,0:28.0,,R. Westbrook makes free throw 1 of 2,106,103
4,0:28.0,J. Redick enters the game for J. Ennis,,106,103
4,0:28.0,,R. Westbrook makes free throw 2 of 2,106,104
4,0:06.0,J. Butler misses 2-pt jump shot from 14 ft,,106,104
4,0:03.0,Offensive rebound by B. Simmons,,106,104
4,0:02.0,Personal take foul by R. Westbrook (drawn by M. Scott),,106,104
4,0:02.0,Philadelphia full timeout,,106,104
4,0:01.0,Personal foul by D. Schröder (drawn by J. Redick),,106,104
4,0:01.0,J. Redick makes free throw 1 of 2,,107,104
4,0:01.0,,S. Adams enters the game for M. Morris,107,104
4,0:01.0,J. Redick makes free throw 2 of 2,,108,104
