QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,OKLAHOMA CITY_ACTION,CHARLOTTE_SCORE,OKLAHOMA CITY_SCORE
4,3:49.0,K. Walker makes 3-pt jump shot from 25 ft (assist by C. Zeller),,95,97
4,3:31.0,,R. Westbrook makes 2-pt jump shot from 2 ft (assist by P. George),95,99
4,3:31.0,,Shooting foul by C. Zeller (drawn by R. Westbrook),95,99
4,3:31.0,Charlotte full timeout,,95,99
4,3:31.0,,R. Westbrook makes free throw 1 of 1,95,100
4,3:21.0,D. Graham misses 3-pt jump shot from 24 ft,,95,100
4,3:18.0,Offensive rebound by M. Williams,,95,100
4,3:18.0,Turnover by J. Lamb (step out of bounds),,95,100
4,3:12.0,,D. Schröder misses 3-pt jump shot from 26 ft,95,100
4,3:08.0,Defensive rebound by J. Lamb,,95,100
4,2:55.0,J. Lamb makes 2-pt layup from 2 ft (assist by C. Zeller),,97,100
4,2:32.0,,P. George makes 2-pt jump shot from 10 ft,97,102
4,2:17.0,K. Walker misses 2-pt layup from 1 ft,,97,102
4,2:15.0,,Defensive rebound by J. Grant,97,102
4,2:07.0,,R. Westbrook misses 2-pt jump shot from 14 ft,97,102
4,2:03.0,Defensive rebound by M. Williams,,97,102
4,1:54.0,J. Lamb misses 2-pt layup from 3 ft,,97,102
4,1:52.0,,Defensive rebound by S. Adams,97,102
4,1:49.0,,Shooting foul by K. Walker (drawn by R. Westbrook),97,102
4,1:49.0,,R. Westbrook misses free throw 1 of 2,97,102
4,1:49.0,,Offensive rebound by Team,97,102
4,1:49.0,,R. Westbrook makes free throw 2 of 2,97,103
4,1:34.0,K. Walker makes 2-pt layup from 1 ft,,99,103
4,1:22.0,,R. Westbrook misses 3-pt jump shot from 26 ft,99,103
4,1:19.0,,Offensive rebound by S. Adams,99,103
4,1:13.0,,Turnover by R. Westbrook (lost ball; steal by K. Walker),99,103
4,1:11.0,D. Graham makes 2-pt layup from 1 ft (assist by J. Lamb),,101,103
4,0:56.0,,D. Schröder makes 2-pt jump shot from 18 ft,101,105
4,0:37.0,M. Williams makes 3-pt jump shot from 26 ft (assist by C. Zeller),,104,105
4,0:20.0,,R. Westbrook misses 2-pt layup from 5 ft (block by K. Walker),104,105
4,0:20.0,Defensive rebound by Team,,104,105
4,0:20.0,Charlotte full timeout,,104,105
4,0:14.0,M. Williams misses 3-pt jump shot from 22 ft,,104,105
4,0:11.0,,Defensive rebound by R. Westbrook,104,105
4,0:11.0,,Personal take foul by C. Zeller (drawn by R. Westbrook),104,105
4,0:11.0,,R. Westbrook makes free throw 1 of 2,104,106
4,0:11.0,F. Kaminsky enters the game for J. Lamb,,104,106
4,0:11.0,,R. Westbrook makes free throw 2 of 2,104,107
4,0:11.0,Charlotte full timeout,,104,107
4,0:11.0,J. Lamb enters the game for F. Kaminsky,,104,107
4,0:09.0,Personal foul by R. Westbrook (drawn by K. Walker),,104,107
4,0:03.0,K. Walker misses 3-pt jump shot from 25 ft,,104,107
4,0:02.0,,Defensive rebound by R. Westbrook,104,107
4,0:02.0,,Personal take foul by D. Graham (drawn by R. Westbrook),104,107
4,0:02.0,,R. Westbrook makes free throw 1 of 2,104,108
4,0:02.0,,R. Westbrook makes free throw 2 of 2,104,109
