QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DALLAS_ACTION,LA LAKERS_SCORE,DALLAS_SCORE
4,6:42.0,Offensive foul by T. Chandler (drawn by D. Jordan),,96,85
4,6:42.0,Turnover by T. Chandler (offensive foul),,96,85
4,6:27.0,,L. Dončić misses 2-pt jump shot from 7 ft,96,85
4,6:25.0,,Offensive rebound by D. Jordan,96,85
4,6:25.0,,D. Jordan misses 2-pt layup at rim,96,85
4,6:25.0,Defensive rebound by T. Chandler,,96,85
4,6:09.0,Turnover by L. Ball (lost ball; steal by D. Smith),,96,85
4,6:03.0,,H. Barnes misses 3-pt jump shot from 25 ft,96,85
4,6:02.0,,Offensive rebound by L. Dončić,96,85
4,5:58.0,,L. Dončić misses 2-pt layup at rim,96,85
4,5:56.0,,Offensive rebound by L. Dončić,96,85
4,5:56.0,,L. Dončić makes 2-pt layup at rim,96,87
4,5:34.0,Shooting foul by L. Dončić (drawn by B. Ingram),,96,87
4,5:34.0,B. Ingram makes free throw 1 of 2,,97,87
4,5:34.0,J. McGee enters the game for T. Chandler,,97,87
4,5:34.0,B. Ingram misses free throw 2 of 2,,97,87
4,5:31.0,,Defensive rebound by D. Jordan,97,87
4,5:14.0,,Shooting foul by L. Ball (drawn by D. Jordan),97,87
4,5:14.0,,D. Jordan makes free throw 1 of 2,97,88
4,5:14.0,,D. Jordan makes free throw 2 of 2,97,89
4,5:02.0,Offensive foul by J. McGee (drawn by W. Matthews),,97,89
4,5:02.0,Turnover by J. McGee (offensive foul),,97,89
4,4:46.0,,L. Dončić misses 2-pt jump shot from 12 ft,97,89
4,4:40.0,Defensive rebound by J. McGee,,97,89
4,4:23.0,L. Ball makes 3-pt jump shot from 27 ft (assist by K. Kuzma),,100,89
4,4:22.0,,Dallas full timeout,100,89
4,4:06.0,,H. Barnes makes 2-pt jump shot from 3 ft,100,91
4,3:44.0,Turnover by B. Ingram (lost ball; steal by D. Smith),,100,91
4,3:32.0,,Shooting foul by L. Ball (drawn by D. Smith),100,91
4,3:32.0,,D. Smith misses free throw 1 of 2,100,91
4,3:32.0,,Offensive rebound by Team,100,91
4,3:32.0,,D. Smith makes free throw 2 of 2,100,92
4,3:17.0,K. Kuzma misses 3-pt jump shot from 28 ft,,100,92
4,3:15.0,,Defensive rebound by Team,100,92
4,3:05.0,,Shooting foul by K. Kuzma (drawn by L. Dončić),100,92
4,3:05.0,,L. Dončić misses free throw 1 of 2,100,92
4,3:05.0,,Offensive rebound by Team,100,92
4,3:05.0,,L. Dončić makes free throw 2 of 2,100,93
4,2:48.0,J. McGee makes 2-pt dunk from 1 ft (assist by B. Ingram),,102,93
4,2:34.0,,H. Barnes misses 2-pt layup from 3 ft,102,93
4,2:32.0,,Offensive rebound by D. Jordan,102,93
4,2:31.0,,D. Jordan makes 2-pt layup from 2 ft,102,95
4,2:11.0,B. Ingram misses 2-pt jump shot from 17 ft,,102,95
4,2:09.0,,Defensive rebound by D. Jordan,102,95
4,2:00.0,,L. Dončić misses 2-pt hook shot from 2 ft,102,95
4,1:57.0,Defensive rebound by J. McGee,,102,95
4,1:40.0,J. McGee makes 2-pt dunk from 1 ft (assist by B. Ingram),,104,95
4,1:40.0,,Dallas full timeout,104,95
4,1:28.0,,W. Matthews misses 3-pt jump shot from 29 ft,104,95
4,1:26.0,Defensive rebound by Team,,104,95
4,1:26.0,,Loose ball foul by L. Dončić (drawn by L. Ball),104,95
4,1:26.0,L. Ball misses free throw 1 of 2,,104,95
4,1:26.0,Offensive rebound by Team,,104,95
4,1:26.0,L. Ball misses free throw 2 of 2,,104,95
4,1:26.0,,Defensive rebound by Team,104,95
4,1:26.0,Loose ball foul by J. McGee (drawn by D. Jordan),,104,95
4,1:26.0,,D. Jordan makes free throw 1 of 2,104,96
4,1:26.0,K. Caldwell-Pope enters the game for L. Ball,,104,96
4,1:26.0,,D. Jordan makes free throw 2 of 2,104,97
4,1:03.0,B. Ingram makes 2-pt layup from 2 ft,,106,97
4,1:03.0,,Dallas full timeout,106,97
4,1:03.0,L. Ball enters the game for J. McGee,,106,97
4,0:58.0,,W. Matthews misses 3-pt jump shot from 27 ft,106,97
4,0:56.0,,Offensive rebound by Team,106,97
4,0:52.0,,L. Dončić misses 3-pt jump shot from 27 ft,106,97
4,0:48.0,Defensive rebound by B. Ingram,,106,97
4,0:44.0,Personal take foul by H. Barnes (drawn by K. Kuzma),,106,97
4,0:44.0,K. Kuzma makes free throw 1 of 2,,107,97
4,0:44.0,K. Kuzma misses free throw 2 of 2,,107,97
4,0:43.0,,Defensive rebound by D. Jordan,107,97
4,0:36.0,,W. Matthews misses 3-pt jump shot from 23 ft,107,97
4,0:31.0,Defensive rebound by J. Hart,,107,97
4,0:08.0,Turnover by Team (shot clock),,107,97
