QUARTER,TIME_REMAINING,NEW YORK_ACTION,MINNESOTA_ACTION,NEW YORK_SCORE,MINNESOTA_SCORE
4,1:42.0,Offensive rebound by D. Smith,,90,103
4,1:42.0,Shooting foul by T. Jones (drawn by D. Smith),,90,103
4,1:42.0,D. Smith misses free throw 1 of 2,,90,103
4,1:42.0,Offensive rebound by Team,,90,103
4,1:42.0,,G. Dieng enters the game for T. Gibson,90,103
4,1:42.0,,J. Terrell enters the game for C. Reynolds,90,103
4,1:42.0,,C. Williams enters the game for D. Šarić,90,103
4,1:42.0,D. Smith makes free throw 2 of 2,,91,103
4,1:19.0,,K. Bates-Diop misses 3-pt jump shot from 26 ft,91,103
4,1:18.0,Defensive rebound by Team,,91,103
4,1:18.0,New York full timeout,,91,103
4,1:15.0,Turnover by D. Smith (bad pass; steal by G. Dieng),,91,103
4,1:05.0,,Turnover by G. Dieng (bad pass),91,103
4,0:59.0,Personal foul by T. Jones (drawn by A. Trier),,91,103
4,0:59.0,A. Trier misses free throw 1 of 2,,91,103
4,0:59.0,Offensive rebound by Team,,91,103
4,0:59.0,A. Trier makes free throw 2 of 2,,92,103
4,0:35.0,,K. Bates-Diop misses 2-pt jump shot from 14 ft,92,103
4,0:32.0,Defensive rebound by D. Dotson,,92,103
4,0:17.0,D. Smith misses 2-pt jump shot from 11 ft,,92,103
4,0:15.0,,Defensive rebound by J. Terrell,92,103
