QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
4,4:06.0,,Shooting foul by T. Bryant (drawn by J. Bolden),103,117
4,4:06.0,,J. Bolden misses free throw 1 of 2,103,117
4,4:06.0,,Offensive rebound by Team,103,117
4,4:06.0,,J. Bolden misses free throw 2 of 2,103,117
4,4:04.0,Defensive rebound by T. Bryant,,103,117
4,3:56.0,S. Dekker misses 3-pt jump shot from 26 ft,,103,117
4,3:52.0,,Defensive rebound by A. Johnson,103,117
4,3:40.0,,H. Highsmith makes 3-pt jump shot from 27 ft (assist by S. Milton),103,120
4,3:28.0,D. Robinson makes 2-pt jump shot from 20 ft,,105,120
4,3:13.0,,Turnover by F. Korkmaz (bad pass; steal by T. Bryant),105,120
4,3:09.0,,Violation by Team (kicked ball),105,120
4,3:04.0,Personal foul by S. Milton (drawn by T. Bryant),,105,120
4,3:04.0,T. Bryant makes free throw 1 of 2,,106,120
4,3:04.0,T. Bryant makes free throw 2 of 2,,107,120
4,2:47.0,,H. Highsmith misses 3-pt jump shot from 24 ft,107,120
4,2:44.0,,Offensive rebound by J. Bolden,107,120
4,2:43.0,,F. Korkmaz makes 3-pt jump shot from 27 ft (assist by J. Bolden),107,123
4,2:33.0,Turnover by C. Randle (bad pass; steal by A. Johnson),,107,123
4,2:29.0,,J. Bolden makes 2-pt dunk from 1 ft (assist by H. Highsmith),107,125
4,2:19.0,C. Randle misses 3-pt jump shot from 26 ft,,107,125
4,2:16.0,,Defensive rebound by F. Korkmaz,107,125
4,2:03.0,,F. Korkmaz makes 2-pt jump shot from 12 ft (assist by A. Johnson),107,127
4,1:56.0,Shooting foul by S. Milton (drawn by S. Dekker),,107,127
4,1:56.0,S. Dekker makes free throw 1 of 2,,108,127
4,1:56.0,S. Dekker makes free throw 2 of 2,,109,127
4,1:36.0,,A. Johnson misses 2-pt hook shot from 10 ft,109,127
4,1:36.0,Defensive rebound by Team,,109,127
4,1:18.0,Shooting foul by F. Korkmaz (drawn by T. Brown),,109,127
4,1:18.0,T. Brown makes free throw 1 of 2,,110,127
4,1:18.0,T. Brown makes free throw 2 of 2,,111,127
4,1:08.0,,S. Milton misses 2-pt jump shot from 7 ft,111,127
4,1:05.0,,Offensive rebound by S. Milton,111,127
4,1:05.0,,S. Milton misses 2-pt layup from 3 ft,111,127
4,1:05.0,,Offensive rebound by A. Johnson,111,127
4,1:04.0,,A. Johnson makes 2-pt layup from 2 ft,111,129
4,0:55.0,T. Bryant makes 2-pt layup from 5 ft (assist by S. Dekker),,113,129
4,0:37.0,,A. Johnson makes 3-pt jump shot from 27 ft (assist by S. Milton),113,132
4,0:27.0,C. Randle makes 2-pt layup from 2 ft,,115,132
4,0:03.0,,Turnover by Team (shot clock),115,132
