QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW ORLEANS_ACTION,WASHINGTON_SCORE,NEW ORLEANS_SCORE
4,7:14.0,Offensive rebound by B. Beal,,91,109
4,7:12.0,J. Green misses 3-pt jump shot from 27 ft,,91,109
4,7:07.0,,Defensive rebound by A. Davis,91,109
4,7:05.0,,New Orleans full timeout,91,109
4,7:05.0,K. Oubre enters the game for B. Beal,,91,109
4,7:05.0,O. Porter enters the game for J. Green,,91,109
4,7:05.0,,J. Holiday enters the game for E. Moore,91,109
4,6:55.0,,Personal foul by O. Porter (drawn by A. Davis),91,109
4,6:48.0,,N. Mirotić misses 3-pt jump shot from 24 ft,91,109
4,6:44.0,Defensive rebound by Team,,91,109
4,6:24.0,O. Porter misses 2-pt jump shot from 13 ft,,91,109
4,6:20.0,,Defensive rebound by N. Mirotić,91,109
4,6:10.0,,Turnover by T. Frazier (lost ball; steal by A. Rivers),91,109
4,6:03.0,A. Rivers misses 2-pt layup from 1 ft,,91,109
4,5:56.0,Offensive rebound by M. Morris,,91,109
4,5:56.0,M. Morris makes 2-pt layup from 1 ft,,93,109
4,5:46.0,,J. Holiday misses 3-pt jump shot from 25 ft,93,109
4,5:39.0,Defensive rebound by M. Morris,,93,109
4,5:36.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by T. Satoranský),,96,109
4,5:17.0,,Shooting foul by M. Morris (drawn by A. Davis),96,109
4,5:17.0,,A. Davis misses free throw 1 of 2,96,109
4,5:17.0,,Offensive rebound by Team,96,109
4,5:17.0,,J. Randle enters the game for N. Mirotić,96,109
4,5:17.0,,A. Davis makes free throw 2 of 2,96,110
4,5:08.0,K. Oubre misses 3-pt jump shot from 26 ft,,96,110
4,5:04.0,,Defensive rebound by T. Frazier,96,110
4,4:56.0,,Shooting foul by K. Oubre (drawn by J. Randle),96,110
4,4:56.0,,J. Randle makes free throw 1 of 2,96,111
4,4:56.0,,J. Randle makes free throw 2 of 2,96,112
4,4:42.0,Turnover by A. Rivers (out of bounds lost ball),,96,112
4,4:27.0,,J. Holiday makes 2-pt layup from 1 ft,96,114
4,4:12.0,M. Morris makes 3-pt jump shot from 26 ft (assist by O. Porter),,99,114
4,3:58.0,,J. Holiday misses 2-pt jump shot from 6 ft,99,114
4,3:57.0,,Offensive rebound by S. Hill,99,114
4,3:56.0,,S. Hill makes 2-pt layup at rim,99,116
4,3:39.0,O. Porter misses 2-pt jump shot from 23 ft,,99,116
4,3:37.0,,Defensive rebound by A. Davis,99,116
4,3:34.0,,New Orleans full timeout,99,116
4,3:34.0,T. Brown enters the game for M. Morris,,99,116
4,3:34.0,T. Bryant enters the game for K. Oubre,,99,116
4,3:34.0,D. Robinson enters the game for O. Porter,,99,116
4,3:14.0,,Turnover by J. Randle (lost ball; steal by D. Robinson),99,116
4,3:10.0,Turnover by T. Satoranský (bad pass),,99,116
4,2:55.0,,J. Holiday misses 2-pt jump shot from 21 ft,99,116
4,2:49.0,,Offensive rebound by S. Hill,99,116
4,2:42.0,,J. Holiday makes 2-pt jump shot from 11 ft,99,118
4,2:31.0,T. Brown misses 2-pt layup from 3 ft,,99,118
4,2:27.0,,Defensive rebound by J. Randle,99,118
4,2:13.0,,J. Randle makes 2-pt layup from 2 ft (assist by A. Davis),99,120
4,2:01.0,T. Satoranský makes 2-pt jump shot from 23 ft (assist by D. Robinson),,101,120
4,1:39.0,,J. Holiday makes 3-pt jump shot from 22 ft (assist by A. Davis),101,123
4,1:38.0,Personal take foul by T. Frazier (drawn by T. Satoranský),,101,123
4,1:38.0,,I. Clark enters the game for A. Davis,101,123
4,1:38.0,,C. Diallo enters the game for S. Hill,101,123
4,1:38.0,,J. Okafor enters the game for J. Holiday,101,123
4,1:38.0,,K. Williams enters the game for J. Randle,101,123
4,1:21.0,A. Rivers misses 3-pt jump shot from 26 ft,,101,123
4,1:16.0,,Defensive rebound by J. Okafor,101,123
4,0:58.0,,C. Diallo makes 2-pt jump shot from 13 ft (assist by T. Frazier),101,125
4,0:37.0,D. Robinson makes 2-pt layup from 4 ft,,103,125
4,0:37.0,Shooting foul by J. Okafor (drawn by D. Robinson),,103,125
4,0:37.0,D. Robinson misses free throw 1 of 1,,103,125
4,0:37.0,,Defensive rebound by C. Diallo,103,125
4,0:16.0,,K. Williams misses 2-pt jump shot from 16 ft,103,125
4,0:12.0,Defensive rebound by T. Bryant,,103,125
4,0:05.0,Shooting foul by C. Diallo (drawn by T. Brown),,103,125
4,0:05.0,T. Brown misses free throw 1 of 2,,103,125
4,0:05.0,Offensive rebound by Team,,103,125
4,0:05.0,T. Brown makes free throw 2 of 2,,104,125
