QUARTER,TIME_REMAINING,INDIANA_ACTION,MINNESOTA_ACTION,INDIANA_SCORE,MINNESOTA_SCORE
4,5:32.0,M. Turner misses 2-pt jump shot from 17 ft,,79,92
4,5:30.0,,Defensive rebound by T. Jones,79,92
4,5:26.0,,Personal foul by M. Turner (drawn by K. Towns),79,92
4,5:08.0,,T. Jones misses 3-pt jump shot from 23 ft,79,92
4,5:05.0,Defensive rebound by C. Joseph,,79,92
4,5:05.0,,T. Gibson enters the game for T. Jones,79,92
4,5:05.0,,J. Teague enters the game for A. Tolliver,79,92
4,4:49.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,81,92
4,4:28.0,,J. Okogie makes 3-pt jump shot from 25 ft,81,95
4,4:14.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,84,95
4,4:05.0,,Personal foul by T. Young (drawn by K. Towns),84,95
4,4:05.0,,K. Towns makes free throw 1 of 2,84,96
4,4:05.0,,D. Rose enters the game for J. Okogie,84,96
4,4:05.0,,K. Towns makes free throw 2 of 2,84,97
4,3:51.0,T. Young makes 2-pt layup from 1 ft,,86,97
4,3:31.0,,Turnover by J. Butler (3 sec),86,97
4,3:18.0,C. Joseph misses 2-pt jump shot from 16 ft,,86,97
4,3:11.0,Offensive rebound by M. Turner,,86,97
4,3:11.0,M. Turner misses 2-pt dunk at rim,,86,97
4,3:08.0,,Defensive rebound by T. Gibson,86,97
4,2:57.0,,Offensive foul by J. Teague (drawn by T. Young),86,97
4,2:57.0,,Turnover by J. Teague (offensive foul),86,97
4,2:48.0,M. Turner makes 2-pt layup from 1 ft (assist by V. Oladipo),,88,97
4,2:31.0,,J. Butler misses 2-pt jump shot from 6 ft,88,97
4,2:29.0,,Offensive rebound by T. Gibson,88,97
4,2:18.0,,D. Rose makes 2-pt jump shot from 19 ft,88,99
4,2:03.0,V. Oladipo makes 3-pt jump shot from 25 ft,,91,99
4,1:43.0,,T. Gibson makes 2-pt layup from 2 ft (assist by D. Rose),91,101
4,1:30.0,Turnover by V. Oladipo (lost ball; steal by J. Butler),,91,101
4,1:29.0,,J. Butler misses 2-pt layup from 1 ft (block by V. Oladipo),91,101
4,1:29.0,Defensive rebound by Team,,91,101
4,1:20.0,Shooting foul by K. Towns (drawn by V. Oladipo),,91,101
4,1:20.0,V. Oladipo misses free throw 1 of 2,,91,101
4,1:20.0,Offensive rebound by Team,,91,101
4,1:20.0,V. Oladipo misses free throw 2 of 2,,91,101
4,1:20.0,,Defensive rebound by K. Towns,91,101
4,1:00.0,,J. Teague misses 3-pt jump shot from 25 ft,91,101
4,0:57.0,Defensive rebound by T. Young,,91,101
4,0:50.0,V. Oladipo misses 3-pt jump shot from 25 ft,,91,101
4,0:47.0,,Defensive rebound by K. Towns,91,101
4,0:28.0,,D. Rose misses 2-pt jump shot from 17 ft,91,101
4,0:25.0,Defensive rebound by B. Bogdanović,,91,101
4,0:23.0,B. Bogdanović misses 2-pt layup from 2 ft (block by J. Butler),,91,101
4,0:22.0,,Defensive rebound by Team,91,101
