QUARTER,TIME_REMAINING,INDIANA_ACTION,LA LAKERS_ACTION,INDIANA_SCORE,LA LAKERS_SCORE
4,6:01.0,D. McDermott makes 3-pt jump shot from 22 ft (assist by C. Joseph),,86,89
4,5:40.0,,L. Ball misses 3-pt jump shot from 24 ft,86,89
4,5:37.0,Defensive rebound by D. Sabonis,,86,89
4,5:28.0,Offensive foul by D. Sabonis (drawn by L. James),,86,89
4,5:28.0,Turnover by D. Sabonis (offensive foul),,86,89
4,5:28.0,T. Evans enters the game for D. McDermott,,86,89
4,5:28.0,,K. Caldwell-Pope enters the game for J. Hart,86,89
4,5:14.0,,L. James misses 2-pt layup from 5 ft (block by D. Sabonis),86,89
4,5:11.0,Defensive rebound by C. Joseph,,86,89
4,5:02.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,86,89
4,5:02.0,Offensive rebound by T. Young,,86,89
4,4:56.0,D. Sabonis makes 2-pt jump shot from 15 ft (assist by T. Young),,88,89
4,4:36.0,,L. James makes 3-pt jump shot from 26 ft (assist by T. Chandler),88,92
4,4:35.0,Indiana full timeout,,88,92
4,4:35.0,M. Turner enters the game for T. Young,,88,92
4,4:21.0,C. Joseph misses 2-pt jump shot from 18 ft,,88,92
4,4:18.0,,Defensive rebound by L. James,88,92
4,4:11.0,,L. James makes 2-pt layup from 2 ft,88,94
4,4:11.0,,Shooting foul by M. Turner (drawn by L. James),88,94
4,4:11.0,,L. James makes free throw 1 of 1,88,95
4,3:54.0,C. Joseph misses 3-pt jump shot from 23 ft,,88,95
4,3:51.0,,Defensive rebound by K. Caldwell-Pope,88,95
4,3:43.0,,L. Ball misses 3-pt jump shot from 23 ft,88,95
4,3:39.0,Defensive rebound by D. Sabonis,,88,95
4,3:31.0,T. Evans misses 2-pt layup from 3 ft,,88,95
4,3:28.0,,Defensive rebound by T. Chandler,88,95
4,3:24.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by L. James),88,98
4,3:22.0,Indiana full timeout,,88,98
4,3:22.0,D. Collison enters the game for T. Evans,,88,98
4,3:22.0,T. Young enters the game for D. Sabonis,,88,98
4,3:22.0,,J. Hart enters the game for K. Caldwell-Pope,88,98
4,3:05.0,T. Young misses 2-pt hook shot from 6 ft,,88,98
4,3:04.0,,Defensive rebound by K. Kuzma,88,98
4,2:52.0,,Shooting foul by T. Young (drawn by L. James),88,98
4,2:52.0,,L. James misses free throw 1 of 2,88,98
4,2:52.0,,Offensive rebound by Team,88,98
4,2:52.0,,L. James makes free throw 2 of 2,88,99
4,2:42.0,C. Joseph makes 2-pt jump shot from 7 ft,,90,99
4,2:21.0,,L. James makes 2-pt jump shot from 22 ft,90,101
4,2:00.0,Offensive foul by B. Bogdanović (drawn by K. Kuzma),,90,101
4,2:00.0,Turnover by B. Bogdanović (offensive foul),,90,101
4,1:38.0,,L. James makes 2-pt jump shot from 18 ft,90,103
4,1:24.0,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),,92,103
4,1:04.0,,L. James misses 2-pt layup from 4 ft (block by M. Turner),92,103
4,1:01.0,Defensive rebound by C. Joseph,,92,103
4,0:52.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,92,103
4,0:51.0,Offensive rebound by Team,,92,103
4,0:51.0,Indiana full timeout,,92,103
4,0:51.0,D. McDermott enters the game for T. Young,,92,103
4,0:42.0,Shooting foul by L. Ball (drawn by D. Collison),,92,103
4,0:42.0,D. Collison makes free throw 1 of 2,,93,103
4,0:42.0,D. Collison makes free throw 2 of 2,,94,103
4,0:22.0,,Shooting foul by C. Joseph (drawn by L. James),94,103
4,0:22.0,,L. James misses free throw 1 of 2,94,103
4,0:22.0,,Offensive rebound by Team,94,103
4,0:22.0,,L. James makes free throw 2 of 2,94,104
4,0:22.0,Indiana full timeout,,94,104
4,0:22.0,T. Evans enters the game for C. Joseph,,94,104
4,0:22.0,,K. Caldwell-Pope enters the game for T. Chandler,94,104
4,0:13.0,D. Collison makes 2-pt layup from 1 ft,,96,104
