QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
2,0:06.0,,Offensive rebound by J. Nurkić,58,74
2,0:06.0,,J. Nurkić misses 2-pt layup from 1 ft,58,74
2,0:05.0,,Offensive rebound by J. Nurkić,58,74
2,0:04.0,,J. Nurkić misses 2-pt hook shot from 2 ft,58,74
2,0:02.0,Defensive rebound by J. Randle,,58,74
2,0:00.0,J. Holiday misses 3-pt jump shot from 42 ft,,58,74
2,0:00.0,Offensive rebound by Team,,58,74
3,11:42.0,,A. Aminu misses 3-pt jump shot from 23 ft,58,74
3,11:38.0,,Offensive rebound by D. Lillard,58,74
3,11:36.0,,D. Lillard makes 3-pt jump shot from 27 ft,58,77
3,11:23.0,A. Davis misses 2-pt dunk from 1 ft (block by J. Nurkić),,58,77
3,11:20.0,,Defensive rebound by A. Aminu,58,77
3,11:13.0,,C. McCollum makes 2-pt layup from 1 ft (assist by D. Lillard),58,79
3,11:02.0,J. Holiday makes 2-pt jump shot from 20 ft,,60,79
3,10:43.0,,Shooting foul by A. Davis (drawn by C. McCollum),60,79
3,10:43.0,,C. McCollum makes free throw 1 of 2,60,80
3,10:43.0,,C. McCollum makes free throw 2 of 2,60,81
3,10:31.0,E. Moore makes 3-pt jump shot from 24 ft (assist by J. Randle),,63,81
3,10:09.0,,C. McCollum misses 3-pt jump shot from 27 ft,63,81
3,10:08.0,Defensive rebound by A. Davis,,63,81
3,10:00.0,Personal foul by M. Harkless (drawn by A. Davis),,63,81
3,9:54.0,J. Randle misses 2-pt dunk from 1 ft (block by M. Harkless),,63,81
3,9:52.0,,Defensive rebound by A. Aminu,63,81
3,9:47.0,,D. Lillard misses 3-pt jump shot from 27 ft,63,81
3,9:44.0,Defensive rebound by J. Randle,,63,81
3,9:32.0,A. Davis makes 2-pt hook shot from 5 ft (assist by J. Holiday),,65,81
3,9:20.0,,D. Lillard makes 2-pt layup from 1 ft,65,83
3,9:09.0,J. Holiday makes 2-pt jump shot from 9 ft (assist by A. Davis),,67,83
3,8:54.0,,M. Harkless makes 2-pt dunk from 2 ft (assist by D. Lillard),67,85
3,8:41.0,J. Holiday makes 2-pt jump shot from 13 ft,,69,85
3,8:24.0,,J. Nurkić makes 2-pt layup from 1 ft,69,87
3,8:02.0,Personal foul by A. Aminu (drawn by J. Randle),,69,87
3,7:57.0,J. Holiday misses 2-pt jump shot from 23 ft,,69,87
3,7:55.0,,Defensive rebound by J. Nurkić,69,87
3,7:48.0,,D. Lillard misses 2-pt jump shot from 15 ft,69,87
3,7:45.0,,Offensive rebound by J. Nurkić,69,87
3,7:45.0,,J. Nurkić makes 2-pt layup at rim,69,89
3,7:37.0,Personal foul by A. Aminu (drawn by A. Davis),,69,89
3,7:37.0,,Technical foul by A. Gentry,69,89
3,7:37.0,,D. Lillard makes technical free throw,69,90
3,7:30.0,Shooting foul by M. Harkless (drawn by A. Davis),,69,90
3,7:30.0,A. Davis makes free throw 1 of 2,,70,90
3,7:30.0,A. Davis makes free throw 2 of 2,,71,90
3,7:14.0,,J. Nurkić misses 2-pt jump shot from 11 ft,71,90
3,7:11.0,Defensive rebound by J. Randle,,71,90
3,7:03.0,Turnover by E. Payton (traveling),,71,90
3,6:51.0,,A. Aminu misses 3-pt jump shot from 23 ft,71,90
3,6:48.0,Defensive rebound by A. Davis,,71,90
3,6:44.0,J. Randle makes 2-pt layup from 1 ft (assist by J. Holiday),,73,90
3,6:44.0,Shooting foul by J. Nurkić (drawn by J. Randle),,73,90
3,6:44.0,,Portland full timeout,73,90
3,6:44.0,N. Mirotić enters the game for E. Payton,,73,90
3,6:44.0,,Z. Collins enters the game for A. Aminu,73,90
3,6:44.0,J. Randle makes free throw 1 of 1,,74,90
3,6:29.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by Z. Collins),74,92
3,6:12.0,J. Holiday makes 2-pt layup from 2 ft,,76,92
