QUARTER,TIME_REMAINING,ATLANTA_ACTION,PORTLAND_ACTION,ATLANTA_SCORE,PORTLAND_SCORE
4,5:23.0,,Turnover by M. Harkless (out of bounds lost ball),100,104
4,5:12.0,J. Lin misses 2-pt jump shot from 4 ft,,100,104
4,5:10.0,Offensive rebound by T. Prince,,100,104
4,5:08.0,T. Prince misses 2-pt jump shot from 9 ft,,100,104
4,5:08.0,,Defensive rebound by J. Nurkić,100,104
4,4:54.0,,C. McCollum makes 2-pt jump shot from 4 ft,100,106
4,4:37.0,T. Prince misses 2-pt jump shot from 8 ft,,100,106
4,4:36.0,,Defensive rebound by A. Aminu,100,106
4,4:22.0,,C. McCollum misses 2-pt jump shot from 7 ft,100,106
4,4:20.0,,Offensive rebound by C. McCollum,100,106
4,4:17.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by C. McCollum),100,109
4,4:16.0,Atlanta full timeout,,100,109
4,4:16.0,J. Collins enters the game for V. Carter,,100,109
4,4:16.0,T. Young enters the game for J. Lin,,100,109
4,3:59.0,T. Young misses 2-pt jump shot from 7 ft,,100,109
4,3:57.0,,Defensive rebound by M. Harkless,100,109
4,3:51.0,,S. Curry misses 3-pt jump shot from 25 ft,100,109
4,3:49.0,,Offensive rebound by C. McCollum,100,109
4,3:46.0,,J. Nurkić misses 2-pt layup from 2 ft,100,109
4,3:44.0,,Offensive rebound by J. Nurkić,100,109
4,3:43.0,,J. Nurkić misses 2-pt layup from 2 ft,100,109
4,3:39.0,Defensive rebound by T. Young,,100,109
4,3:24.0,D. Dedmon misses 3-pt jump shot from 24 ft,,100,109
4,3:23.0,,Defensive rebound by J. Nurkić,100,109
4,3:10.0,,Personal foul by T. Young (drawn by S. Curry),100,109
4,3:10.0,,S. Curry makes free throw 1 of 2,100,110
4,3:10.0,,S. Curry makes free throw 2 of 2,100,111
4,3:04.0,Personal foul by M. Harkless (drawn by T. Young),,100,111
4,2:54.0,J. Collins misses 3-pt jump shot from 25 ft,,100,111
4,2:49.0,Offensive rebound by T. Prince,,100,111
4,2:47.0,T. Prince misses 3-pt jump shot from 25 ft,,100,111
4,2:45.0,,Defensive rebound by S. Curry,100,111
4,2:25.0,,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Aminu),100,114
4,2:11.0,Shooting foul by J. Nurkić (drawn by T. Young),,100,114
4,2:11.0,T. Young makes free throw 1 of 2,,101,114
4,2:11.0,T. Young makes free throw 2 of 2,,102,114
4,2:02.0,,Personal foul by D. Bembry (drawn by C. McCollum),102,114
4,2:02.0,,C. McCollum makes free throw 1 of 2,102,115
4,2:02.0,,C. McCollum makes free throw 2 of 2,102,116
4,1:55.0,J. Collins misses 2-pt dunk from 2 ft (block by J. Nurkić),,102,116
4,1:53.0,,Defensive rebound by Team,102,116
4,1:37.0,,C. McCollum misses 2-pt jump shot from 3 ft,102,116
4,1:37.0,,Offensive rebound by J. Nurkić,102,116
4,1:36.0,,J. Nurkić makes 2-pt dunk from 3 ft,102,118
4,1:27.0,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),,104,118
4,1:27.0,Violation by Team (delay of game),,104,118
4,1:08.0,,A. Aminu misses 3-pt jump shot from 24 ft,104,118
4,1:05.0,Defensive rebound by Team,,104,118
4,1:01.0,T. Young makes 3-pt jump shot from 26 ft,,107,118
4,0:38.0,,M. Harkless makes 2-pt layup from 2 ft (assist by C. McCollum),107,120
4,0:31.0,D. Dedmon makes 2-pt layup from 1 ft (assist by T. Young),,109,120
4,0:25.0,,Turnover by C. McCollum (bad pass; steal by D. Dedmon),109,120
4,0:23.0,Shooting foul by C. McCollum (drawn by D. Dedmon),,109,120
4,0:23.0,D. Dedmon makes free throw 1 of 2,,110,120
4,0:23.0,,W. Baldwin enters the game for C. McCollum,110,120
4,0:23.0,D. Dedmon makes free throw 2 of 2,,111,120
