QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW ORLEANS_ACTION,MIAMI_SCORE,NEW ORLEANS_SCORE
4,4:00.0,Offensive rebound by B. Adebayo,,92,84
4,3:59.0,D. Jones makes 2-pt layup from 3 ft (assist by B. Adebayo),,94,84
4,3:43.0,,A. Harrison misses 3-pt jump shot from 26 ft,94,84
4,3:39.0,,Offensive rebound by A. Harrison,94,84
4,3:38.0,,E. Moore makes 3-pt jump shot from 24 ft (assist by A. Harrison),94,87
4,3:15.0,J. Richardson makes 2-pt jump shot from 21 ft (assist by B. Adebayo),,96,87
4,3:00.0,,A. Harrison misses 3-pt jump shot from 25 ft,96,87
4,2:57.0,Defensive rebound by D. Jones,,96,87
4,2:46.0,Offensive foul by B. Adebayo (drawn by A. Harrison),,96,87
4,2:46.0,Turnover by B. Adebayo (offensive foul),,96,87
4,2:46.0,Miami full timeout,,96,87
4,2:32.0,,A. Davis makes 3-pt jump shot from 26 ft (assist by D. Miller),96,90
4,2:06.0,Shooting foul by A. Davis (drawn by T. Johnson),,96,90
4,2:06.0,T. Johnson makes free throw 1 of 2,,97,90
4,2:06.0,T. Johnson makes free throw 2 of 2,,98,90
4,1:49.0,,J. Holiday makes 2-pt layup from 1 ft,98,92
4,1:27.0,T. Johnson misses 2-pt jump shot from 9 ft,,98,92
4,1:25.0,Offensive rebound by B. Adebayo,,98,92
4,1:25.0,D. Wade enters the game for T. Johnson,,98,92
4,1:13.0,K. Olynyk misses 3-pt jump shot from 25 ft,,98,92
4,1:09.0,,Defensive rebound by A. Davis,98,92
4,1:04.0,,J. Holiday misses 2-pt layup from 1 ft,98,92
4,1:02.0,Defensive rebound by J. Richardson,,98,92
4,0:50.0,D. Wade makes 2-pt jump shot from 6 ft,,100,92
4,0:50.0,,New Orleans full timeout,100,92
4,0:37.0,,A. Harrison misses 3-pt jump shot from 25 ft,100,92
4,0:34.0,Defensive rebound by B. Adebayo,,100,92
4,0:26.0,Turnover by D. Wade (bad pass; steal by J. Holiday),,100,92
4,0:22.0,,J. Holiday misses 3-pt jump shot from 23 ft,100,92
4,0:22.0,,Offensive rebound by Team,100,92
4,0:22.0,Loose ball foul by B. Adebayo (drawn by A. Harrison),,100,92
4,0:22.0,,A. Harrison misses free throw 1 of 2,100,92
4,0:22.0,,Offensive rebound by Team,100,92
4,0:22.0,,A. Harrison makes free throw 2 of 2,100,93
4,0:17.0,Personal take foul by J. Holiday (drawn by D. Jones),,100,93
4,0:17.0,D. Jones misses free throw 1 of 2,,100,93
4,0:17.0,Offensive rebound by Team,,100,93
4,0:17.0,D. Jones misses free throw 2 of 2,,100,93
4,0:16.0,,Defensive rebound by A. Davis,100,93
4,0:09.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Davis),100,96
4,0:08.0,Miami full timeout,,100,96
4,0:08.0,T. Johnson enters the game for D. Jones,,100,96
4,0:07.0,Personal take foul by J. Holiday (drawn by J. Richardson),,100,96
4,0:07.0,D. Jones enters the game for K. Olynyk,,100,96
4,0:07.0,,F. Jackson enters the game for J. Holiday,100,96
4,0:07.0,J. Richardson makes free throw 1 of 2,,101,96
4,0:07.0,J. Richardson makes free throw 2 of 2,,102,96
4,0:07.0,,New Orleans full timeout,102,96
4,0:07.0,K. Olynyk enters the game for T. Johnson,,102,96
4,0:05.0,,A. Davis misses 3-pt jump shot from 25 ft,102,96
4,0:01.0,Defensive rebound by K. Olynyk,,102,96
