QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DENVER_ACTION,CHARLOTTE_SCORE,DENVER_SCORE
4,6:01.0,,P. Millsap misses 3-pt jump shot from 24 ft,95,107
4,5:59.0,Defensive rebound by M. Williams,,95,107
4,5:48.0,K. Walker makes 2-pt layup from 2 ft,,97,107
4,5:47.0,,Denver full timeout,97,107
4,5:47.0,N. Batum enters the game for M. Kidd-Gilchrist,,97,107
4,5:47.0,B. Biyombo enters the game for M. Monk,,97,107
4,5:47.0,D. Graham enters the game for T. Parker,,97,107
4,5:47.0,,T. Craig enters the game for G. Harris,97,107
4,5:47.0,,N. Jokić enters the game for T. Lyles,97,107
4,5:47.0,,J. Murray enters the game for M. Morris,97,107
4,5:35.0,,P. Millsap misses 2-pt jump shot from 13 ft,97,107
4,5:32.0,,Offensive rebound by N. Jokić,97,107
4,5:30.0,,N. Jokić makes 2-pt layup from 2 ft,97,109
4,5:12.0,K. Walker misses 2-pt jump shot from 18 ft,,97,109
4,5:10.0,,Defensive rebound by J. Murray,97,109
4,5:03.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),97,112
4,4:36.0,D. Graham makes 3-pt jump shot from 25 ft,,100,112
4,4:16.0,,M. Beasley makes 2-pt jump shot from 14 ft (assist by J. Murray),100,114
4,3:59.0,M. Williams makes 3-pt jump shot from 27 ft (assist by K. Walker),,103,114
4,3:57.0,,Denver full timeout,103,114
4,3:43.0,,Turnover by N. Jokić (lost ball; steal by B. Biyombo),103,114
4,3:36.0,D. Graham misses 2-pt layup from 5 ft (block by M. Beasley),,103,114
4,3:33.0,,Defensive rebound by M. Beasley,103,114
4,3:19.0,,N. Jokić makes 2-pt layup from 1 ft,103,116
4,2:57.0,D. Graham misses 2-pt jump shot from 10 ft,,103,116
4,2:52.0,Offensive rebound by B. Biyombo,,103,116
4,2:52.0,B. Biyombo misses 2-pt layup from 1 ft,,103,116
4,2:52.0,,Defensive rebound by J. Murray,103,116
4,2:50.0,,J. Murray misses 3-pt jump shot from 26 ft,103,116
4,2:46.0,,Offensive rebound by T. Craig,103,116
4,2:35.0,,N. Jokić misses 3-pt jump shot from 25 ft,103,116
4,2:30.0,Defensive rebound by B. Biyombo,,103,116
4,2:23.0,M. Williams misses 3-pt jump shot from 23 ft,,103,116
4,2:21.0,Offensive rebound by N. Batum,,103,116
4,2:20.0,Shooting foul by T. Craig (drawn by K. Walker),,103,116
4,2:20.0,K. Walker makes free throw 1 of 3,,104,116
4,2:20.0,K. Walker makes free throw 2 of 3,,105,116
4,2:20.0,K. Walker makes free throw 3 of 3,,106,116
4,2:00.0,,N. Jokić makes 2-pt jump shot from 5 ft,106,118
4,1:52.0,Turnover by K. Walker (lost ball; steal by P. Millsap),,106,118
4,1:50.0,,T. Craig makes 2-pt dunk from 1 ft (assist by P. Millsap),106,120
4,1:38.0,N. Batum makes 2-pt jump shot from 9 ft,,108,120
4,1:28.0,,Personal foul by K. Walker (drawn by N. Jokić),108,120
4,1:28.0,M. Kidd-Gilchrist enters the game for M. Williams,,108,120
4,1:28.0,,G. Harris enters the game for M. Beasley,108,120
4,1:14.0,,P. Millsap misses 2-pt jump shot from 17 ft,108,120
4,1:12.0,,Offensive rebound by N. Jokić,108,120
4,1:10.0,,N. Jokić makes 2-pt hook shot from 5 ft,108,122
4,1:10.0,,Shooting foul by B. Biyombo (drawn by N. Jokić),108,122
4,1:10.0,M. Bridges enters the game for N. Batum,,108,122
4,1:10.0,W. Hernangómez enters the game for B. Biyombo,,108,122
4,1:10.0,M. Monk enters the game for K. Walker,,108,122
4,1:10.0,,N. Jokić makes free throw 1 of 1,108,123
4,0:55.0,W. Hernangómez makes 2-pt layup from 3 ft (assist by D. Graham),,110,123
4,0:54.0,,Denver full timeout,110,123
4,0:54.0,,M. Beasley enters the game for G. Harris,110,123
4,0:54.0,,B. Goodwin enters the game for N. Jokić,110,123
4,0:54.0,,T. Lydon enters the game for P. Millsap,110,123
4,0:54.0,,T. Lyles enters the game for J. Murray,110,123
4,0:36.0,,M. Beasley misses 3-pt jump shot from 24 ft,110,123
4,0:32.0,Defensive rebound by D. Graham,,110,123
4,0:26.0,D. Graham misses 3-pt jump shot from 25 ft,,110,123
4,0:23.0,,Defensive rebound by M. Beasley,110,123
4,0:00.0,,Turnover by Team (shot clock),110,123
