QUARTER,TIME_REMAINING,MIAMI_ACTION,LA LAKERS_ACTION,MIAMI_SCORE,LA LAKERS_SCORE
4,3:09.0,,K. Kuzma misses 3-pt jump shot from 22 ft,100,103
4,3:03.0,Defensive rebound by D. Wade,,100,103
4,2:53.0,J. Richardson makes 3-pt jump shot from 28 ft (assist by D. Wade),,103,103
4,2:36.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),103,105
4,2:18.0,Turnover by B. Adebayo (traveling),,103,105
4,1:58.0,,Shooting foul by D. Jones (drawn by L. James),103,105
4,1:58.0,,L. James makes free throw 1 of 2,103,106
4,1:58.0,,L. James misses free throw 2 of 2,103,106
4,1:55.0,Defensive rebound by D. Jones,,103,106
4,1:38.0,Shooting foul by L. Ball (drawn by J. Richardson),,103,106
4,1:38.0,J. Richardson makes free throw 1 of 2,,104,106
4,1:38.0,J. Richardson makes free throw 2 of 2,,105,106
4,1:23.0,,L. Ball misses 3-pt jump shot from 27 ft,105,106
4,1:20.0,Defensive rebound by D. Jones,,105,106
4,0:59.0,D. Wade misses 2-pt jump shot from 14 ft,,105,106
4,0:56.0,,Defensive rebound by T. Chandler,105,106
4,0:34.0,,L. James misses 2-pt jump shot from 24 ft,105,106
4,0:29.0,,Offensive rebound by J. Hart,105,106
4,0:28.0,,Turnover by J. Hart (lost ball; steal by J. Winslow),105,106
4,0:22.0,D. Wade misses 3-pt jump shot from 26 ft,,105,106
4,0:22.0,,Defensive rebound by L. James,105,106
4,0:22.0,,Personal take foul by J. Winslow (drawn by L. James),105,106
4,0:22.0,,L. James makes free throw 1 of 2,105,107
4,0:22.0,,L. James makes free throw 2 of 2,105,108
4,0:22.0,Miami full timeout,,105,108
4,0:22.0,R. McGruder enters the game for B. Adebayo,,105,108
4,0:22.0,K. Olynyk enters the game for D. Jones,,105,108
4,0:22.0,,K. Caldwell-Pope enters the game for T. Chandler,105,108
4,0:21.0,R. McGruder misses 2-pt layup from 3 ft (block by L. Ball),,105,108
4,0:21.0,Offensive rebound by Team,,105,108
4,0:21.0,Miami full timeout,,105,108
4,0:07.0,D. Wade misses 3-pt jump shot from 26 ft,,105,108
4,0:05.0,Offensive rebound by R. McGruder,,105,108
4,0:03.0,J. Winslow misses 3-pt jump shot from 27 ft,,105,108
4,0:00.0,,Defensive rebound by L. James,105,108
