QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA CLIPPERS_ACTION,MILWAUKEE_SCORE,LA CLIPPERS_SCORE
4,9:10.0,,D. Gallinari enters the game for M. Scott,94,98
4,9:03.0,,L. Williams misses 3-pt jump shot from 25 ft,94,98
4,9:00.0,Defensive rebound by G. Antetokounmpo,,94,98
4,8:54.0,T. Snell misses 2-pt layup from 1 ft,,94,98
4,8:53.0,Offensive rebound by G. Antetokounmpo,,94,98
4,8:53.0,Personal foul by D. Gallinari (drawn by G. Antetokounmpo),,94,98
4,8:53.0,G. Antetokounmpo makes free throw 1 of 2,,95,98
4,8:53.0,G. Antetokounmpo misses free throw 2 of 2,,95,98
4,8:50.0,,Defensive rebound by M. Harrell,95,98
4,8:37.0,,Shooting foul by G. Antetokounmpo (drawn by M. Harrell),95,98
4,8:37.0,,M. Harrell makes free throw 1 of 2,95,99
4,8:37.0,,M. Harrell misses free throw 2 of 2,95,99
4,8:35.0,Defensive rebound by G. Antetokounmpo,,95,99
4,8:18.0,G. Antetokounmpo misses 2-pt jump shot from 14 ft,,95,99
4,8:16.0,,Defensive rebound by L. Williams,95,99
4,8:11.0,,M. Harrell makes 2-pt hook shot from 11 ft (assist by P. Beverley),95,101
4,7:53.0,P. Connaughton misses 3-pt jump shot from 28 ft,,95,101
4,7:50.0,Offensive rebound by G. Antetokounmpo,,95,101
4,7:45.0,B. Lopez makes 3-pt jump shot from 28 ft (assist by T. Snell),,98,101
4,7:21.0,,Shooting foul by T. Snell (drawn by T. Wallace),98,101
4,7:21.0,,T. Wallace makes free throw 1 of 2,98,102
4,7:21.0,E. Bledsoe enters the game for M. Brogdon,,98,102
4,7:21.0,K. Middleton enters the game for T. Snell,,98,102
4,7:21.0,,S. Gilgeous-Alexander enters the game for P. Beverley,98,102
4,7:21.0,,T. Wallace misses free throw 2 of 2,98,102
4,7:21.0,Defensive rebound by G. Antetokounmpo,,98,102
4,7:05.0,P. Connaughton misses 2-pt layup from 3 ft,,98,102
4,7:05.0,,Defensive rebound by D. Gallinari,98,102
4,7:02.0,,M. Harrell misses 2-pt layup from 4 ft,98,102
4,7:01.0,,Offensive rebound by M. Harrell,98,102
4,6:58.0,,M. Harrell makes 2-pt layup from 2 ft,98,104
4,6:39.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,98,104
4,6:35.0,Offensive rebound by P. Connaughton,,98,104
4,6:33.0,P. Connaughton makes 3-pt jump shot from 23 ft (assist by K. Middleton),,101,104
4,6:28.0,,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),101,106
4,6:28.0,,Shooting foul by K. Middleton (drawn by M. Harrell),101,106
4,6:28.0,,LA Clippers full timeout,101,106
4,6:28.0,E. İlyasova enters the game for B. Lopez,,101,106
4,6:28.0,,T. Harris enters the game for T. Wallace,101,106
4,6:28.0,,M. Harrell misses free throw 1 of 1,101,106
4,6:28.0,,Offensive rebound by D. Gallinari,101,106
4,6:17.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 11 ft,101,106
4,6:15.0,Defensive rebound by G. Antetokounmpo,,101,106
4,5:59.0,K. Middleton misses 3-pt jump shot from 27 ft,,101,106
4,5:55.0,,Defensive rebound by M. Harrell,101,106
4,5:42.0,,Shooting foul by G. Antetokounmpo (drawn by D. Gallinari),101,106
4,5:42.0,,D. Gallinari makes free throw 1 of 2,101,107
4,5:42.0,B. Lopez enters the game for G. Antetokounmpo,,101,107
4,5:42.0,,D. Gallinari makes free throw 2 of 2,101,108
4,5:22.0,K. Middleton makes 2-pt jump shot from 14 ft (assist by P. Connaughton),,103,108
4,4:59.0,,Turnover by T. Harris (out of bounds lost ball),103,108
4,4:45.0,E. Bledsoe makes 3-pt jump shot from 27 ft,,106,108
4,4:30.0,,D. Gallinari misses 3-pt jump shot from 28 ft,106,108
4,4:27.0,Defensive rebound by P. Connaughton,,106,108
4,4:20.0,E. Bledsoe misses 2-pt layup from 2 ft,,106,108
4,4:18.0,,Defensive rebound by T. Harris,106,108
4,4:09.0,,L. Williams makes 3-pt jump shot from 22 ft (assist by S. Gilgeous-Alexander),106,111
4,3:48.0,E. Bledsoe makes 2-pt layup from 4 ft,,108,111
4,3:42.0,,LA Clippers full timeout,108,111
4,3:42.0,G. Antetokounmpo enters the game for E. İlyasova,,108,111
4,3:42.0,M. Brogdon enters the game for K. Middleton,,108,111
4,3:42.0,,Away from play foul by E. Bledsoe (drawn by L. Williams),108,111
4,3:42.0,,L. Williams makes free throw 1 of 1,108,112
4,3:28.0,,T. Harris makes 2-pt jump shot from 7 ft,108,114
4,3:15.0,M. Brogdon misses 2-pt layup from 3 ft (block by M. Harrell),,108,114
4,3:15.0,Offensive rebound by Team,,108,114
4,3:06.0,G. Antetokounmpo makes 2-pt dunk from 2 ft,,110,114
4,2:37.0,,D. Gallinari misses 3-pt jump shot from 25 ft,110,114
4,2:35.0,Defensive rebound by Team,,110,114
4,2:19.0,Personal foul by D. Gallinari (drawn by G. Antetokounmpo),,110,114
4,2:19.0,G. Antetokounmpo makes free throw 1 of 2,,111,114
4,2:19.0,G. Antetokounmpo misses free throw 2 of 2,,111,114
4,2:16.0,Offensive rebound by E. Bledsoe,,111,114
4,2:11.0,Turnover by E. Bledsoe (out of bounds lost ball),,111,114
4,1:56.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by D. Gallinari),111,117
4,1:43.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,111,117
4,1:40.0,,Defensive rebound by T. Harris,111,117
4,1:18.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by G. Antetokounmpo),111,117
4,1:12.0,M. Brogdon makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo),,113,117
4,1:12.0,Away from play foul by S. Gilgeous-Alexander (drawn by G. Antetokounmpo),,113,117
4,1:12.0,K. Middleton enters the game for P. Connaughton,,113,117
4,1:12.0,G. Antetokounmpo makes free throw 1 of 1,,114,117
4,1:00.0,,Personal foul by K. Middleton (drawn by S. Gilgeous-Alexander),114,117
4,1:00.0,P. Connaughton enters the game for K. Middleton,,114,117
4,1:00.0,,S. Gilgeous-Alexander makes free throw 1 of 2,114,118
4,1:00.0,,P. Beverley enters the game for L. Williams,114,118
4,1:00.0,,S. Gilgeous-Alexander makes free throw 2 of 2,114,119
4,0:50.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,116,119
4,0:44.0,,LA Clippers full timeout,116,119
4,0:44.0,,L. Williams enters the game for S. Gilgeous-Alexander,116,119
4,0:29.0,,L. Williams misses 2-pt jump shot from 13 ft,116,119
4,0:27.0,Defensive rebound by G. Antetokounmpo,,116,119
4,0:21.0,Milwaukee full timeout,,116,119
4,0:21.0,,S. Gilgeous-Alexander enters the game for L. Williams,116,119
4,0:08.0,E. Bledsoe makes 3-pt jump shot from 26 ft,,119,119
4,0:06.0,,LA Clippers full timeout,119,119
4,0:06.0,T. Snell enters the game for B. Lopez,,119,119
4,0:06.0,,M. Scott enters the game for S. Gilgeous-Alexander,119,119
4,0:06.0,,L. Williams enters the game for M. Harrell,119,119
4,0:02.0,,D. Gallinari misses 2-pt jump shot from 20 ft,119,119
4,0:01.0,,Offensive rebound by Team,119,119
1OT,4:42.0,Personal foul by S. Gilgeous-Alexander (drawn by E. Bledsoe),,119,119
1OT,4:37.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,121,119
1OT,4:21.0,,T. Harris misses 2-pt jump shot from 20 ft,121,119
1OT,4:18.0,Defensive rebound by G. Antetokounmpo,,121,119
1OT,4:11.0,E. Bledsoe misses 2-pt jump shot from 10 ft,,121,119
1OT,4:09.0,,Defensive rebound by T. Harris,121,119
1OT,3:59.0,,Turnover by L. Williams (bad pass; steal by G. Antetokounmpo),121,119
1OT,3:39.0,M. Brogdon misses 3-pt jump shot from 25 ft,,121,119
1OT,3:36.0,,Defensive rebound by T. Harris,121,119
1OT,3:29.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by D. Gallinari),121,122
1OT,3:08.0,Turnover by E. Bledsoe (bad pass),,121,122
1OT,3:08.0,Loose ball foul by G. Antetokounmpo (drawn by D. Gallinari),,121,122
1OT,2:57.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft (block by P. Connaughton),121,122
1OT,2:57.0,,Offensive rebound by Team,121,122
1OT,2:57.0,E. İlyasova enters the game for B. Lopez,,121,122
1OT,2:45.0,,Shooting foul by P. Connaughton (drawn by M. Harrell),121,122
1OT,2:45.0,,M. Harrell makes free throw 1 of 2,121,123
1OT,2:45.0,,M. Harrell makes free throw 2 of 2,121,124
1OT,2:34.0,P. Connaughton misses 3-pt jump shot from 27 ft,,121,124
1OT,2:29.0,Offensive rebound by E. İlyasova,,121,124
1OT,2:29.0,E. İlyasova misses 2-pt layup at rim,,121,124
1OT,2:28.0,Offensive rebound by E. İlyasova,,121,124
1OT,2:28.0,E. İlyasova misses 2-pt layup at rim,,121,124
1OT,2:28.0,,Defensive rebound by M. Harrell,121,124
1OT,2:15.0,,D. Gallinari misses 2-pt jump shot from 17 ft,121,124
1OT,2:14.0,Defensive rebound by G. Antetokounmpo,,121,124
1OT,2:02.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,121,124
1OT,1:59.0,Offensive rebound by P. Connaughton,,121,124
1OT,1:58.0,M. Brogdon makes 3-pt jump shot from 27 ft (assist by P. Connaughton),,124,124
1OT,1:46.0,,Personal foul by E. İlyasova (drawn by L. Williams),124,124
1OT,1:46.0,B. Lopez enters the game for E. İlyasova,,124,124
1OT,1:39.0,,T. Harris makes 2-pt jump shot from 14 ft,124,126
1OT,1:31.0,Turnover by E. Bledsoe (bad pass),,124,126
1OT,1:06.0,,D. Gallinari misses 2-pt jump shot from 16 ft (block by G. Antetokounmpo),124,126
1OT,1:03.0,Defensive rebound by G. Antetokounmpo,,124,126
1OT,1:00.0,G. Antetokounmpo makes 2-pt dunk from 2 ft,,126,126
1OT,0:40.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 7 ft,126,126
1OT,0:36.0,Defensive rebound by B. Lopez,,126,126
1OT,0:15.0,E. Bledsoe misses 2-pt jump shot from 9 ft (block by S. Gilgeous-Alexander),,126,126
1OT,0:13.0,,Defensive rebound by L. Williams,126,126
1OT,0:01.0,,L. Williams makes 2-pt layup from 6 ft,126,128
1OT,0:00.0,Milwaukee full timeout,,126,128
1OT,0:00.0,,P. Beverley enters the game for S. Gilgeous-Alexander,126,128
1OT,0:00.0,,B. Marjanović enters the game for L. Williams,126,128
1OT,0:00.0,Turnover by G. Antetokounmpo (bad pass; steal by B. Marjanović),,126,128
