QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DETROIT_ACTION,SAN ANTONIO_SCORE,DETROIT_SCORE
4,0:56.0,D. White makes free throw 2 of 2,,115,103
4,0:45.0,,Shooting foul by D. DeRozan (drawn by B. Griffin),115,103
4,0:45.0,,B. Griffin makes free throw 1 of 2,115,104
4,0:45.0,,B. Griffin makes free throw 2 of 2,115,105
4,0:40.0,Personal foul by R. Jackson (drawn by D. White),,115,105
4,0:40.0,D. White makes free throw 1 of 2,,116,105
4,0:40.0,D. White makes free throw 2 of 2,,117,105
4,0:30.0,,B. Griffin makes 2-pt layup from 3 ft,117,107
4,0:26.0,Personal foul by R. Jackson (drawn by B. Forbes),,117,107
4,0:26.0,B. Forbes makes free throw 1 of 2,,118,107
4,0:26.0,B. Forbes makes free throw 2 of 2,,119,107
4,0:05.0,,Turnover by A. Drummond (lost ball; steal by D. DeRozan),119,107
