QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CLEVELAND_ACTION,NEW ORLEANS_SCORE,CLEVELAND_SCORE
4,2:44.0,,Offensive rebound by Team,125,90
4,2:44.0,,J. Jones misses free throw 2 of 2,125,90
4,2:40.0,Defensive rebound by C. Diallo,,125,90
4,2:27.0,Shooting foul by C. Frye (drawn by J. Okafor),,125,90
4,2:27.0,J. Okafor makes free throw 1 of 2,,126,90
4,2:27.0,J. Okafor makes free throw 2 of 2,,127,90
4,2:07.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by A. Burks),127,93
4,1:58.0,I. Clark makes 2-pt jump shot from 23 ft,,129,93
4,1:47.0,,C. Osman misses 2-pt layup from 2 ft,129,93
4,1:44.0,Defensive rebound by F. Jackson,,129,93
4,1:38.0,I. Clark makes 3-pt jump shot from 31 ft (assist by F. Jackson),,132,93
4,1:29.0,,C. Sexton misses 3-pt jump shot from 25 ft,132,93
4,1:25.0,Defensive rebound by I. Clark,,132,93
4,1:16.0,Turnover by C. Diallo (lost ball; steal by J. Jones),,132,93
4,0:59.0,,J. Jones makes 2-pt jump shot from 14 ft (assist by C. Osman),132,95
4,0:47.0,I. Clark misses 3-pt jump shot from 26 ft,,132,95
4,0:47.0,Offensive rebound by C. Diallo,,132,95
4,0:45.0,Shooting foul by C. Frye (drawn by C. Diallo),,132,95
4,0:45.0,C. Diallo misses free throw 1 of 2,,132,95
4,0:45.0,Offensive rebound by Team,,132,95
4,0:45.0,C. Diallo makes free throw 2 of 2,,133,95
4,0:26.0,,Turnover by J. Jones (bad pass; steal by F. Jackson),133,95
4,0:19.0,Turnover by F. Jackson (bad pass; steal by J. Jones),,133,95
4,0:01.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by C. Osman),133,98
4,0:01.0,Turnover by Team (shot clock),,133,98
