QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
4,4:33.0,Defensive rebound by J. Tatum,,85,97
4,4:29.0,M. Smart makes 3-pt jump shot from 24 ft (assist by G. Hayward),,88,97
4,4:20.0,,Detroit full timeout,88,97
4,4:20.0,,L. Galloway enters the game for B. Brown,88,97
4,4:04.0,,L. Galloway misses 3-pt jump shot from 26 ft,88,97
4,4:00.0,Defensive rebound by M. Smart,,88,97
4,3:56.0,G. Hayward makes 2-pt layup from 1 ft (assist by M. Smart),,90,97
4,3:37.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by J. Calderón),90,100
4,3:28.0,G. Hayward misses 3-pt jump shot from 26 ft,,90,100
4,3:22.0,,Defensive rebound by R. Bullock,90,100
4,3:09.0,,Shooting foul by M. Smart (drawn by B. Griffin),90,100
4,3:09.0,,B. Griffin makes free throw 1 of 2,90,101
4,3:09.0,D. Theis enters the game for R. Williams,,90,101
4,3:09.0,,B. Griffin makes free throw 2 of 2,90,102
4,3:03.0,K. Irving misses 3-pt jump shot from 25 ft,,90,102
4,3:00.0,,Defensive rebound by A. Drummond,90,102
4,2:51.0,,Personal foul by J. Tatum (drawn by B. Griffin),90,102
4,2:51.0,,B. Griffin makes free throw 1 of 2,90,103
4,2:51.0,,B. Griffin makes free throw 2 of 2,90,104
4,2:43.0,K. Irving makes 2-pt layup from 2 ft,,92,104
4,2:35.0,,Personal take foul by D. Theis (drawn by A. Drummond),92,104
4,2:35.0,,A. Drummond misses free throw 1 of 2,92,104
4,2:35.0,,Offensive rebound by Team,92,104
4,2:35.0,,A. Drummond makes free throw 2 of 2,92,105
4,2:24.0,M. Smart makes 2-pt layup from 2 ft (assist by K. Irving),,94,105
4,2:21.0,,Personal take foul by D. Theis (drawn by A. Drummond),94,105
4,2:21.0,,A. Drummond makes free throw 1 of 2,94,106
4,2:21.0,,A. Drummond makes free throw 2 of 2,94,107
4,2:15.0,D. Theis misses 3-pt jump shot from 23 ft,,94,107
4,2:13.0,Offensive rebound by M. Smart,,94,107
4,2:13.0,M. Smart misses 2-pt layup from 3 ft,,94,107
4,2:13.0,Offensive rebound by Team,,94,107
4,2:13.0,Shooting foul by J. Calderón (drawn by J. Tatum),,94,107
4,2:13.0,J. Tatum makes free throw 1 of 2,,95,107
4,2:13.0,J. Tatum makes free throw 2 of 2,,96,107
4,2:00.0,,Turnover by B. Griffin (lost ball; steal by K. Irving),96,107
4,1:55.0,K. Irving misses 2-pt layup from 1 ft,,96,107
4,1:54.0,Offensive rebound by J. Tatum,,96,107
4,1:54.0,J. Tatum makes 2-pt layup at rim,,98,107
4,1:34.0,,R. Bullock misses 3-pt jump shot from 24 ft,98,107
4,1:30.0,Defensive rebound by M. Smart,,98,107
4,1:25.0,J. Tatum misses 2-pt dunk from 2 ft (block by A. Drummond),,98,107
4,1:22.0,,Defensive rebound by B. Griffin,98,107
4,1:22.0,,Personal foul by K. Irving (drawn by B. Griffin),98,107
4,1:22.0,,B. Griffin makes free throw 1 of 2,98,108
4,1:22.0,,B. Griffin makes free throw 2 of 2,98,109
4,1:21.0,Personal foul by J. Calderón (drawn by M. Smart),,98,109
4,1:21.0,M. Smart misses free throw 1 of 2,,98,109
4,1:21.0,Offensive rebound by Team,,98,109
4,1:21.0,M. Morris enters the game for D. Theis,,98,109
4,1:21.0,,R. Jackson enters the game for J. Calderón,98,109
4,1:21.0,M. Smart makes free throw 2 of 2,,99,109
4,1:07.0,,Turnover by R. Bullock (lost ball; steal by J. Tatum),99,109
4,1:06.0,J. Tatum makes 2-pt dunk from 1 ft,,101,109
4,0:58.0,,Turnover by B. Griffin (bad pass),101,109
4,0:48.0,M. Morris misses 3-pt jump shot from 28 ft,,101,109
4,0:45.0,,Defensive rebound by A. Drummond,101,109
4,0:42.0,,Personal foul by M. Smart (drawn by R. Jackson),101,109
4,0:42.0,,R. Jackson makes free throw 1 of 2,101,110
4,0:42.0,,R. Jackson makes free throw 2 of 2,101,111
4,0:38.0,K. Irving makes 3-pt jump shot from 26 ft,,104,111
4,0:33.0,,Detroit full timeout,104,111
4,0:33.0,,Detroit full timeout,104,111
4,0:33.0,,L. Kennard enters the game for A. Drummond,104,111
4,0:28.0,,Personal foul by M. Morris (drawn by R. Jackson),104,111
4,0:28.0,T. Rozier enters the game for M. Morris,,104,111
4,0:28.0,,R. Jackson makes free throw 1 of 2,104,112
4,0:28.0,,R. Jackson makes free throw 2 of 2,104,113
4,0:28.0,Boston full timeout,,104,113
4,0:25.0,K. Irving misses 3-pt jump shot from 30 ft,,104,113
4,0:21.0,,Defensive rebound by B. Griffin,104,113
