QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
4,2:55.0,,L. Galloway misses 2-pt jump shot from 6 ft,98,125
4,2:53.0,Defensive rebound by W. Selden,,98,125
4,2:48.0,W. Selden makes 2-pt jump shot from 2 ft,,100,125
4,2:35.0,,Personal foul by T. Luwawu-Cabarrot (drawn by J. Calderón),100,125
4,2:28.0,,T. Maker misses 2-pt jump shot from 9 ft,100,125
4,2:25.0,Defensive rebound by C. Felício,,100,125
4,2:09.0,Shooting foul by J. Leuer (drawn by A. Blakeney),,100,125
4,2:09.0,A. Blakeney makes free throw 1 of 2,,101,125
4,2:09.0,A. Blakeney makes free throw 2 of 2,,102,125
4,1:51.0,,T. Maker misses 3-pt jump shot from 27 ft,102,125
4,1:49.0,,Offensive rebound by J. Calderón,102,125
4,1:49.0,,L. Galloway makes 3-pt jump shot from 28 ft (assist by J. Calderón),102,128
4,1:33.0,S. Harrison makes 2-pt layup from 1 ft,,104,128
4,1:24.0,,K. Thomas makes 2-pt layup from 2 ft (assist by T. Maker),104,130
4,1:24.0,Chicago full timeout,,104,130
4,1:17.0,C. Felício makes 2-pt dunk from 2 ft (assist by S. Harrison),,106,130
4,0:59.0,,K. Thomas misses 3-pt jump shot from 27 ft,106,130
4,0:59.0,,Offensive rebound by J. Calderón,106,130
4,0:54.0,,J. Leuer misses 2-pt jump shot from 8 ft (block by C. Felício),106,130
4,0:54.0,Defensive rebound by C. Felício,,106,130
4,0:45.0,A. Blakeney makes 2-pt jump shot from 11 ft,,108,130
4,0:32.0,,Offensive foul by K. Thomas (drawn by S. Harrison),108,130
4,0:32.0,,Turnover by K. Thomas (offensive foul),108,130
4,0:25.0,Turnover by S. Harrison (bad pass; steal by K. Thomas),,108,130
4,0:21.0,,Shooting foul by S. Harrison (drawn by K. Thomas),108,130
4,0:21.0,,K. Thomas misses free throw 1 of 2,108,130
4,0:21.0,,Offensive rebound by Team,108,130
4,0:21.0,,K. Thomas makes free throw 2 of 2,108,131
4,0:12.0,W. Selden misses 2-pt jump shot from 11 ft,,108,131
4,0:10.0,,Defensive rebound by J. Calderón,108,131
