QUARTER,TIME_REMAINING,UTAH_ACTION,CLEVELAND_ACTION,UTAH_SCORE,CLEVELAND_SCORE
4,1:28.0,,Shooting foul by R. Neto (drawn by C. Frye),116,82
4,1:28.0,,C. Frye makes free throw 1 of 2,116,83
4,1:28.0,,C. Frye makes free throw 2 of 2,116,84
4,1:10.0,Personal foul by C. Sexton (drawn by R. Neto),,116,84
4,1:01.0,T. Sefolosha misses 3-pt jump shot from 23 ft,,116,84
4,0:57.0,,Defensive rebound by C. Sexton,116,84
4,0:44.0,,A. Burks makes 3-pt jump shot from 26 ft,116,87
4,0:44.0,,Shooting foul by E. Udoh (drawn by A. Burks),116,87
4,0:44.0,,A. Burks makes free throw 1 of 1,116,88
4,0:33.0,Personal foul by J. Jones (drawn by E. Udoh),,116,88
4,0:33.0,E. Udoh makes free throw 1 of 2,,117,88
4,0:33.0,E. Udoh misses free throw 2 of 2,,117,88
4,0:30.0,,Defensive rebound by J. Jones,117,88
4,0:09.0,,J. Jones makes 3-pt jump shot from 27 ft (assist by C. Frye),117,91
