QUARTER,TIME_REMAINING,DENVER_ACTION,TORONTO_ACTION,DENVER_SCORE,TORONTO_SCORE
4,4:40.0,M. Beasley enters the game for M. Morris,,94,94
4,4:28.0,Personal foul by S. Ibaka (drawn by J. Murray),,94,94
4,4:22.0,J. Hernangómez makes 3-pt jump shot from 26 ft (assist by J. Murray),,97,94
4,4:01.0,,K. Leonard misses 3-pt jump shot from 25 ft,97,94
4,3:58.0,Defensive rebound by N. Jokić,,97,94
4,3:41.0,Turnover by J. Murray (traveling),,97,94
4,3:20.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Lowry),97,97
4,3:00.0,Turnover by N. Jokić (bad pass),,97,97
4,2:44.0,,Turnover by K. Leonard (out of bounds lost ball),97,97
4,2:40.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by P. Millsap),,100,97
4,2:28.0,,Shooting foul by N. Jokić (drawn by S. Ibaka),100,97
4,2:28.0,,S. Ibaka makes free throw 1 of 2,100,98
4,2:28.0,,S. Ibaka makes free throw 2 of 2,100,99
4,2:28.0,N. Jokić misses 3-pt jump shot from 26 ft,,100,99
4,2:11.0,,Defensive rebound by K. Leonard,100,99
4,2:05.0,,Turnover by K. Leonard (lost ball; steal by N. Jokić),100,99
4,1:52.0,P. Millsap misses 2-pt layup from 3 ft,,100,99
4,1:50.0,,Defensive rebound by D. Green,100,99
4,1:36.0,,K. Leonard misses 3-pt jump shot from 24 ft,100,99
4,1:34.0,Defensive rebound by J. Murray,,100,99
4,1:19.0,J. Murray misses 2-pt jump shot from 7 ft,,100,99
4,1:17.0,Offensive rebound by Team,,100,99
4,1:14.0,N. Jokić misses 2-pt jump shot from 23 ft,,100,99
4,1:12.0,,Defensive rebound by P. Siakam,100,99
4,0:55.0,,K. Leonard makes 2-pt jump shot from 17 ft (assist by P. Siakam),100,101
4,0:54.0,Denver full timeout,,100,101
4,0:47.0,Personal foul by D. Green (drawn by J. Murray),,100,101
4,0:40.0,N. Jokić makes 2-pt jump shot from 12 ft (assist by J. Murray),,102,101
4,0:40.0,,Toronto full timeout,102,101
4,0:21.0,,D. Green misses 2-pt jump shot from 22 ft,102,101
4,0:18.0,,Offensive rebound by K. Lowry,102,101
4,0:16.0,,D. Green misses 3-pt jump shot from 26 ft,102,101
4,0:12.0,Defensive rebound by J. Hernangómez,,102,101
4,0:12.0,Personal foul by K. Leonard (drawn by J. Hernangómez),,102,101
4,0:12.0,J. Hernangómez misses free throw 1 of 2,,102,101
4,0:12.0,Offensive rebound by Team,,102,101
4,0:12.0,,J. Valančiūnas enters the game for D. Green,102,101
4,0:12.0,J. Hernangómez makes free throw 2 of 2,,103,101
4,0:12.0,,Toronto full timeout,103,101
4,0:12.0,T. Craig enters the game for N. Jokić,,103,101
4,0:12.0,M. Plumlee enters the game for J. Murray,,103,101
4,0:12.0,,D. Green enters the game for P. Siakam,103,101
4,0:12.0,,F. VanVleet enters the game for J. Valančiūnas,103,101
4,0:07.0,,K. Leonard makes 2-pt jump shot from 10 ft,103,103
4,0:07.0,Denver full timeout,,103,103
4,0:07.0,N. Jokić enters the game for T. Craig,,103,103
4,0:07.0,J. Murray enters the game for M. Plumlee,,103,103
4,0:07.0,,P. Siakam enters the game for F. VanVleet,103,103
4,0:07.0,Away from play foul by S. Ibaka (drawn by N. Jokić),,103,103
4,0:07.0,N. Jokić makes free throw 1 of 1,,104,103
4,0:05.0,Personal foul by K. Leonard (drawn by N. Jokić),,104,103
4,0:05.0,N. Jokić makes free throw 1 of 2,,105,103
4,0:05.0,T. Craig enters the game for J. Murray,,105,103
4,0:05.0,,J. Valančiūnas enters the game for S. Ibaka,105,103
4,0:05.0,N. Jokić makes free throw 2 of 2,,106,103
4,0:00.0,,K. Lowry misses 3-pt jump shot from 26 ft,106,103
4,0:00.0,,Offensive rebound by Team,106,103
