QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
4,1:33.0,,J. Grant misses 3-pt jump shot from 28 ft,87,116
4,1:31.0,,Offensive rebound by M. Frazier,87,116
4,1:31.0,,T. Caupain makes 3-pt jump shot from 26 ft (assist by M. Frazier),87,119
4,1:21.0,Personal foul by A. Jefferson (drawn by A. Žižić),,87,119
4,1:10.0,A. Žižić misses 2-pt layup from 6 ft (block by A. Jefferson),,87,119
4,1:06.0,Offensive rebound by A. Žižić,,87,119
4,1:05.0,A. Žižić misses 2-pt layup from 5 ft,,87,119
4,1:05.0,,Defensive rebound by A. Jefferson,87,119
4,0:59.0,,J. Grant misses 3-pt jump shot from 27 ft,87,119
4,0:57.0,Defensive rebound by A. Žižić,,87,119
4,0:49.0,A. Žižić makes 2-pt layup from 2 ft,,89,119
4,0:33.0,,M. Frazier misses 2-pt jump shot from 20 ft,89,119
4,0:30.0,Defensive rebound by D. Adel,,89,119
4,0:29.0,Personal foul by J. Martin (drawn by C. Sexton),,89,119
4,0:29.0,C. Sexton makes free throw 1 of 2,,90,119
4,0:29.0,C. Sexton makes free throw 2 of 2,,91,119
4,0:18.0,,Shooting foul by A. Žižić (drawn by M. Frazier),91,119
4,0:18.0,,M. Frazier misses free throw 1 of 2,91,119
4,0:18.0,,Offensive rebound by Team,91,119
4,0:18.0,,M. Frazier makes free throw 2 of 2,91,120
