QUARTER,TIME_REMAINING,INDIANA_ACTION,SACRAMENTO_ACTION,INDIANA_SCORE,SACRAMENTO_SCORE
4,5:13.0,,Offensive rebound by B. Hield,105,103
4,5:13.0,,B. Hield misses 2-pt dunk from 1 ft,105,103
4,5:12.0,Defensive rebound by D. Collison,,105,103
4,5:06.0,D. McDermott makes 2-pt layup from 3 ft (assist by C. Joseph),,107,103
4,4:47.0,,B. Hield misses 3-pt jump shot from 26 ft,107,103
4,4:43.0,,Offensive rebound by J. Jackson,107,103
4,4:43.0,,J. Jackson misses 2-pt layup from 1 ft,107,103
4,4:42.0,Defensive rebound by D. Sabonis,,107,103
4,4:35.0,B. Bogdanović misses 2-pt jump shot from 10 ft,,107,103
4,4:31.0,,Defensive rebound by W. Cauley-Stein,107,103
4,4:28.0,,Turnover by J. Jackson (out of bounds lost ball),107,103
4,4:28.0,Indiana full timeout,,107,103
4,4:28.0,M. Turner enters the game for D. Sabonis,,107,103
4,4:28.0,,K. Koufos enters the game for W. Cauley-Stein,107,103
4,4:28.0,,I. Shumpert enters the game for J. Jackson,107,103
4,4:14.0,D. McDermott misses 2-pt layup from 2 ft,,107,103
4,4:12.0,,Defensive rebound by K. Koufos,107,103
4,4:07.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,107,103
4,4:07.0,,Offensive rebound by I. Shumpert,107,103
4,3:59.0,,K. Koufos misses 2-pt hook shot from 8 ft,107,103
4,3:56.0,Defensive rebound by B. Bogdanović,,107,103
4,3:42.0,C. Joseph misses 3-pt jump shot from 23 ft,,107,103
4,3:38.0,,Defensive rebound by K. Koufos,107,103
4,3:26.0,,K. Koufos misses 2-pt layup from 2 ft,107,103
4,3:24.0,Defensive rebound by B. Bogdanović,,107,103
4,3:02.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,107,103
4,3:00.0,,Defensive rebound by B. Bogdanović,107,103
4,2:50.0,,D. Fox makes 2-pt layup from 2 ft (assist by I. Shumpert),107,105
4,2:29.0,M. Turner misses 2-pt jump shot from 22 ft,,107,105
4,2:24.0,,Defensive rebound by B. Hield,107,105
4,2:11.0,,Turnover by K. Koufos (lost ball; steal by D. Collison),107,105
4,1:59.0,D. Collison misses 2-pt jump shot from 14 ft,,107,105
4,1:56.0,Offensive rebound by D. Collison,,107,105
4,1:53.0,M. Turner misses 2-pt layup from 3 ft,,107,105
4,1:53.0,Offensive rebound by Team,,107,105
4,1:53.0,D. Sabonis enters the game for D. McDermott,,107,105
4,1:53.0,T. Young enters the game for M. Turner,,107,105
4,1:53.0,,W. Cauley-Stein enters the game for K. Koufos,107,105
4,1:44.0,Turnover by D. Sabonis (offensive foul),,107,105
4,1:44.0,Offensive foul by D. Sabonis (drawn by D. Fox),,107,105
4,1:32.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by B. Bogdanović),107,107
4,1:12.0,D. Collison makes 3-pt jump shot from 25 ft (assist by C. Joseph),,110,107
4,0:55.0,,B. Hield misses 3-pt jump shot from 25 ft,110,107
4,0:52.0,Defensive rebound by T. Young,,110,107
4,0:37.0,Turnover by D. Collison (lost ball; steal by D. Fox),,110,107
4,0:35.0,,D. Fox makes 2-pt layup from 1 ft,110,109
4,0:35.0,Indiana full timeout,,110,109
4,0:27.0,Personal foul by I. Shumpert (drawn by D. Sabonis),,110,109
4,0:22.0,Offensive foul by D. Collison (drawn by D. Fox),,110,109
4,0:22.0,Turnover by D. Collison (offensive foul),,110,109
4,0:22.0,,Sacramento full timeout,110,109
4,0:22.0,T. Evans enters the game for D. Collison,,110,109
4,0:22.0,M. Turner enters the game for D. Sabonis,,110,109
4,0:16.0,,D. Fox misses 2-pt layup from 6 ft,110,109
4,0:16.0,,Offensive rebound by W. Cauley-Stein,110,109
4,0:16.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft,110,111
4,0:16.0,Indiana full timeout,,110,111
4,0:16.0,D. Collison enters the game for T. Evans,,110,111
4,0:16.0,D. Sabonis enters the game for M. Turner,,110,111
4,0:04.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,110,111
4,0:04.0,Offensive rebound by Team,,110,111
4,0:01.0,Violation by D. Collison (jump ball),,110,111
