QUARTER,TIME_REMAINING,BOSTON_ACTION,HOUSTON_ACTION,BOSTON_SCORE,HOUSTON_SCORE
4,3:06.0,,E. Gordon misses 3-pt jump shot from 23 ft,106,116
4,3:03.0,Defensive rebound by M. Smart,,106,116
4,2:56.0,Turnover by M. Smart (traveling),,106,116
4,2:56.0,,Houston full timeout,106,116
4,2:35.0,,Turnover by C. Capela (bad pass; steal by K. Irving),106,116
4,2:33.0,Turnover by K. Irving (bad pass; steal by E. Gordon),,106,116
4,2:29.0,,C. Capela makes 2-pt dunk from 1 ft (assist by E. Gordon),106,118
4,2:10.0,K. Irving makes 2-pt jump shot from 4 ft,,108,118
4,1:45.0,,Shooting foul by S. Ojeleye (drawn by J. Harden),108,118
4,1:45.0,,J. Harden makes free throw 1 of 3,108,119
4,1:45.0,,J. Harden makes free throw 2 of 3,108,120
4,1:45.0,J. Brown enters the game for A. Horford,,108,120
4,1:45.0,,J. Harden makes free throw 3 of 3,108,121
4,1:36.0,Shooting foul by P. Tucker (drawn by G. Hayward),,108,121
4,1:36.0,G. Hayward makes free throw 1 of 2,,109,121
4,1:36.0,G. Hayward makes free throw 2 of 2,,110,121
4,1:23.0,,P. Tucker misses 2-pt layup from 2 ft,110,121
4,1:22.0,,Offensive rebound by C. Capela,110,121
4,1:19.0,,C. Capela misses 2-pt layup from 4 ft,110,121
4,1:19.0,Defensive rebound by J. Brown,,110,121
4,1:13.0,Away from play foul by E. Gordon (drawn by G. Hayward),,110,121
4,1:13.0,,D. House enters the game for E. Gordon,110,121
4,1:13.0,G. Hayward makes free throw 1 of 1,,111,121
4,1:07.0,K. Irving misses 3-pt jump shot from 23 ft,,111,121
4,1:04.0,,Defensive rebound by C. Capela,111,121
4,1:03.0,,Turnover by C. Capela (bad pass; steal by G. Hayward),111,121
4,1:01.0,Turnover by G. Hayward (bad pass; steal by A. Rivers),,111,121
4,0:59.0,,Turnover by A. Rivers (bad pass; steal by G. Hayward),111,121
4,0:58.0,J. Brown misses 2-pt layup from 3 ft,,111,121
4,0:57.0,,Defensive rebound by C. Capela,111,121
4,0:38.0,,Shooting foul by M. Smart (drawn by J. Harden),111,121
4,0:38.0,,J. Harden makes free throw 1 of 3,111,122
4,0:38.0,,J. Harden makes free throw 2 of 3,111,123
4,0:38.0,G. Yabusele enters the game for K. Irving,,111,123
4,0:38.0,,J. Harden makes free throw 3 of 3,111,124
4,0:35.0,G. Hayward misses 3-pt jump shot from 28 ft,,111,124
4,0:31.0,,Defensive rebound by C. Capela,111,124
4,0:29.0,,Personal take foul by G. Hayward (drawn by C. Capela),111,124
4,0:29.0,,C. Capela makes free throw 1 of 2,111,125
4,0:29.0,,C. Capela makes free throw 2 of 2,111,126
4,0:24.0,Technical foul by M. Smart,,111,126
4,0:24.0,,J. Harden makes technical free throw,111,127
4,0:18.0,J. Brown makes 2-pt jump shot from 10 ft,,113,127
