QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
4,1:51.0,,Shooting foul by K. O'Quinn (drawn by S. Dekker),84,107
4,1:51.0,,S. Dekker misses free throw 1 of 2,84,107
4,1:51.0,,Offensive rebound by Team,84,107
4,1:51.0,,S. Dekker misses free throw 2 of 2,84,107
4,1:48.0,Defensive rebound by T. Leaf,,84,107
4,1:36.0,T. Leaf makes 2-pt layup from 2 ft,,86,107
4,1:25.0,,T. Brown misses 2-pt layup from 6 ft,86,107
4,1:23.0,Defensive rebound by D. Reed,,86,107
4,1:19.0,Turnover by D. Reed (bad pass; steal by J. McRae),,86,107
4,1:16.0,,Turnover by G. Payton (off goaltending),86,107
4,1:06.0,T. Leaf misses 3-pt jump shot from 24 ft,,86,107
4,1:02.0,,Defensive rebound by J. McRae,86,107
4,0:53.0,,C. Randle misses 2-pt jump shot from 7 ft,86,107
4,0:51.0,Defensive rebound by K. O'Quinn,,86,107
4,0:45.0,A. Holiday misses 3-pt jump shot from 26 ft,,86,107
4,0:41.0,,Defensive rebound by T. Brown,86,107
4,0:31.0,,J. McRae misses 2-pt jump shot from 15 ft,86,107
4,0:28.0,Defensive rebound by K. O'Quinn,,86,107
4,0:18.0,A. Holiday makes 3-pt jump shot from 23 ft (assist by D. Reed),,89,107
