QUARTER,TIME_REMAINING,CHICAGO_ACTION,DALLAS_ACTION,CHICAGO_SCORE,DALLAS_SCORE
4,3:38.0,,L. Dončić misses 3-pt jump shot from 25 ft,95,109
4,3:35.0,,Offensive rebound by D. Jordan,95,109
4,3:24.0,,M. Kleber misses 3-pt jump shot from 25 ft,95,109
4,3:23.0,,Offensive rebound by Team,95,109
4,3:23.0,,Turnover by Team (shot clock),95,109
4,3:12.0,Z. LaVine makes 3-pt jump shot from 26 ft,,98,109
4,2:51.0,,D. Smith misses 3-pt jump shot from 25 ft,98,109
4,2:49.0,Defensive rebound by Team,,98,109
4,2:32.0,B. Portis misses 2-pt jump shot from 14 ft,,98,109
4,2:30.0,Offensive rebound by Team,,98,109
4,2:19.0,Z. LaVine misses 3-pt jump shot from 26 ft,,98,109
4,2:17.0,,Defensive rebound by M. Kleber,98,109
4,2:05.0,,D. Smith misses 3-pt jump shot from 25 ft,98,109
4,2:03.0,,Offensive rebound by D. Jordan,98,109
4,1:51.0,,L. Dončić misses 3-pt jump shot from 25 ft,98,109
4,1:48.0,Defensive rebound by B. Portis,,98,109
4,1:40.0,K. Dunn misses 2-pt jump shot from 12 ft,,98,109
4,1:39.0,,Defensive rebound by D. Jordan,98,109
4,1:28.0,,Personal foul by K. Dunn (drawn by L. Dončić),98,109
4,1:28.0,,L. Dončić makes free throw 1 of 2,98,110
4,1:28.0,A. Blakeney enters the game for K. Dunn,,98,110
4,1:28.0,C. Payne enters the game for Z. LaVine,,98,110
4,1:28.0,,L. Dončić makes free throw 2 of 2,98,111
4,1:18.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by W. Carter),,101,111
4,1:01.0,,Turnover by D. Smith (out of bounds lost ball),101,111
4,0:57.0,C. Payne makes 2-pt jump shot from 6 ft,,103,111
4,0:57.0,,Dallas full timeout,103,111
4,0:50.0,,Turnover by D. Finney-Smith (bad pass; steal by J. Holiday),103,111
4,0:50.0,,W. Matthews enters the game for D. Jordan,103,111
4,0:50.0,,D. Powell enters the game for M. Kleber,103,111
4,0:46.0,A. Blakeney makes 3-pt jump shot from 23 ft (assist by J. Holiday),,106,111
4,0:25.0,,W. Matthews misses 3-pt jump shot from 26 ft,106,111
4,0:22.0,Defensive rebound by W. Carter,,106,111
4,0:20.0,Turnover by W. Carter (bad pass; steal by L. Dončić),,106,111
4,0:19.0,,L. Dončić makes 2-pt layup from 1 ft,106,113
4,0:19.0,Chicago full timeout,,106,113
4,0:14.0,Shooting foul by L. Dončić (drawn by A. Blakeney),,106,113
4,0:14.0,A. Blakeney misses free throw 1 of 2,,106,113
4,0:14.0,Offensive rebound by Team,,106,113
4,0:14.0,C. Hutchison enters the game for W. Carter,,106,113
4,0:14.0,A. Blakeney misses free throw 2 of 2,,106,113
4,0:14.0,,Defensive rebound by Team,106,113
4,0:13.0,,Personal foul by B. Portis (drawn by D. Finney-Smith),106,113
4,0:13.0,,D. Finney-Smith makes free throw 1 of 2,106,114
4,0:13.0,,D. Finney-Smith makes free throw 2 of 2,106,115
4,0:04.0,J. Holiday makes 3-pt jump shot from 26 ft,,109,115
4,0:04.0,Shooting foul by D. Smith (drawn by J. Holiday),,109,115
4,0:04.0,J. Holiday misses free throw 1 of 1,,109,115
4,0:00.0,,Defensive rebound by W. Matthews,109,115
