QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHICAGO_ACTION,GOLDEN STATE_SCORE,CHICAGO_SCORE
4,6:38.0,Offensive rebound by Team,,135,106
4,6:35.0,J. Evans misses 2-pt layup from 2 ft,,135,106
4,6:32.0,,Defensive rebound by C. Felício,135,106
4,6:25.0,,S. Harrison makes 2-pt layup from 2 ft,135,108
4,6:09.0,Turnover by J. Bell (lost ball; steal by S. Harrison),,135,108
4,6:09.0,,Personal foul by Q. Cook (drawn by S. Harrison),135,108
4,6:09.0,,S. Harrison makes free throw 1 of 2,135,109
4,6:09.0,A. McKinnie enters the game for J. Bell,,135,109
4,6:09.0,,C. Hutchison enters the game for J. Parker,135,109
4,6:09.0,,S. Harrison misses free throw 2 of 2,135,109
4,6:07.0,Defensive rebound by K. Looney,,135,109
4,5:59.0,Q. Cook makes 2-pt jump shot from 13 ft,,137,109
4,5:47.0,,S. Harrison makes 2-pt layup from 1 ft,137,111
4,5:26.0,Q. Cook misses 2-pt jump shot from 21 ft,,137,111
4,5:21.0,,Defensive rebound by S. Harrison,137,111
4,5:18.0,,R. Arcidiacono makes 3-pt jump shot from 26 ft (assist by A. Blakeney),137,114
4,4:58.0,K. Looney misses 2-pt jump shot from 22 ft,,137,114
4,4:58.0,,Defensive rebound by S. Harrison,137,114
4,4:41.0,,A. Blakeney misses 3-pt jump shot from 25 ft,137,114
4,4:38.0,Defensive rebound by K. Looney,,137,114
4,4:33.0,J. Evans misses 2-pt jump shot from 22 ft,,137,114
4,4:30.0,Offensive rebound by J. Jerebko,,137,114
4,4:22.0,Q. Cook makes 2-pt layup from 2 ft,,139,114
4,4:22.0,Shooting foul by R. Arcidiacono (drawn by Q. Cook),,139,114
4,4:22.0,Q. Cook makes free throw 1 of 1,,140,114
4,4:06.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,140,114
4,4:02.0,Defensive rebound by Q. Cook,,140,114
4,3:47.0,Turnover by J. Evans (bad pass; steal by R. Arcidiacono),,140,114
4,3:31.0,,A. Blakeney makes 2-pt jump shot from 21 ft,140,116
4,3:08.0,Shooting foul by R. Arcidiacono (drawn by Q. Cook),,140,116
4,3:08.0,Q. Cook makes free throw 1 of 2,,141,116
4,3:08.0,Q. Cook makes free throw 2 of 2,,142,116
4,2:59.0,,Shooting foul by J. Jerebko (drawn by C. Hutchison),142,116
4,2:59.0,,Chicago full timeout,142,116
4,2:59.0,J. Bell enters the game for J. Jerebko,,142,116
4,2:59.0,,C. Hutchison misses free throw 1 of 2,142,116
4,2:59.0,,Offensive rebound by Team,142,116
4,2:59.0,,C. Hutchison makes free throw 2 of 2,142,117
4,2:38.0,A. McKinnie misses 3-pt jump shot from 25 ft,,142,117
4,2:38.0,,Defensive rebound by Team,142,117
4,2:19.0,,R. Arcidiacono misses 3-pt jump shot from 24 ft,142,117
4,2:15.0,Defensive rebound by Q. Cook,,142,117
4,2:10.0,J. Evans misses 2-pt jump shot from 22 ft,,142,117
4,2:03.0,Offensive rebound by A. McKinnie,,142,117
4,2:03.0,A. McKinnie misses 2-pt layup at rim,,142,117
4,2:02.0,,Defensive rebound by C. Felício,142,117
4,1:58.0,,C. Felício makes 2-pt dunk from 2 ft (assist by S. Harrison),142,119
4,1:41.0,J. Bell makes 2-pt layup from 2 ft,,144,119
4,1:41.0,Shooting foul by S. Harrison (drawn by J. Bell),,144,119
4,1:41.0,J. Bell makes free throw 1 of 1,,145,119
4,1:35.0,,Shooting foul by A. McKinnie (drawn by S. Harrison),145,119
4,1:35.0,,S. Harrison misses free throw 1 of 2,145,119
4,1:35.0,,Offensive rebound by Team,145,119
4,1:35.0,,S. Harrison makes free throw 2 of 2,145,120
4,1:20.0,Q. Cook misses 2-pt jump shot from 19 ft,,145,120
4,1:16.0,,Defensive rebound by R. Arcidiacono,145,120
4,1:09.0,,S. Harrison misses 3-pt jump shot from 26 ft,145,120
4,1:07.0,Defensive rebound by A. McKinnie,,145,120
4,0:49.0,K. Looney makes 2-pt jump shot from 21 ft (assist by A. McKinnie),,147,120
4,0:34.0,,A. Blakeney makes 3-pt jump shot from 26 ft,147,123
4,0:13.0,Q. Cook makes 2-pt jump shot from 7 ft,,149,123
4,0:09.0,,Shooting foul by J. Evans (drawn by S. Harrison),149,123
4,0:09.0,,S. Harrison makes free throw 1 of 2,149,124
4,0:09.0,,S. Harrison misses free throw 2 of 2,149,124
4,0:06.0,Defensive rebound by A. McKinnie,,149,124
