QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,OKLAHOMA CITY_ACTION,MILWAUKEE_SCORE,OKLAHOMA CITY_SCORE
4,7:37.0,Offensive rebound by Team,,84,96
4,7:37.0,,D. Schröder enters the game for P. George,84,96
4,7:34.0,Shooting foul by N. Noel (drawn by B. Lopez),,84,96
4,7:34.0,B. Lopez makes free throw 1 of 2,,85,96
4,7:34.0,S. Brown enters the game for G. Antetokounmpo,,85,96
4,7:34.0,,S. Adams enters the game for N. Noel,85,96
4,7:34.0,B. Lopez misses free throw 2 of 2,,85,96
4,7:33.0,,Defensive rebound by R. Westbrook,85,96
4,7:17.0,,Shooting foul by M. Brogdon (drawn by J. Grant),85,96
4,7:17.0,,J. Grant makes free throw 1 of 2,85,97
4,7:17.0,,J. Grant makes free throw 2 of 2,85,98
4,6:52.0,S. Brown misses 2-pt layup from 2 ft,,85,98
4,6:51.0,,Defensive rebound by Team,85,98
4,6:51.0,Loose ball foul by S. Brown (drawn by T. Ferguson),,85,98
4,6:51.0,,Oklahoma City full timeout,85,98
4,6:51.0,G. Antetokounmpo enters the game for S. Brown,,85,98
4,6:51.0,,T. Ferguson misses free throw 1 of 2,85,98
4,6:51.0,,Offensive rebound by Team,85,98
4,6:51.0,,T. Ferguson misses free throw 2 of 2,85,98
4,6:47.0,Defensive rebound by M. Brogdon,,85,98
4,6:31.0,E. Bledsoe misses 2-pt layup from 1 ft,,85,98
4,6:28.0,Offensive rebound by G. Antetokounmpo,,85,98
4,6:28.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,87,98
4,6:11.0,,T. Ferguson makes 3-pt jump shot from 23 ft (assist by J. Grant),87,101
4,5:49.0,K. Middleton misses 3-pt jump shot from 25 ft,,87,101
4,5:47.0,Offensive rebound by G. Antetokounmpo,,87,101
4,5:47.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,89,101
4,5:47.0,Shooting foul by J. Grant (drawn by G. Antetokounmpo),,89,101
4,5:47.0,G. Antetokounmpo makes free throw 1 of 1,,90,101
4,5:34.0,,J. Grant misses 3-pt jump shot from 25 ft,90,101
4,5:30.0,Defensive rebound by M. Brogdon,,90,101
4,5:26.0,M. Brogdon misses 3-pt jump shot from 25 ft,,90,101
4,5:24.0,,Defensive rebound by S. Adams,90,101
4,5:14.0,,R. Westbrook makes 2-pt jump shot from 15 ft,90,103
4,4:59.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),,92,103
4,4:51.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by R. Westbrook),92,105
4,4:38.0,M. Brogdon makes 2-pt layup from 3 ft (assist by K. Middleton),,94,105
4,4:25.0,,R. Westbrook misses 2-pt jump shot from 22 ft,94,105
4,4:21.0,Defensive rebound by K. Middleton,,94,105
4,4:12.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by R. Westbrook),,94,105
4,4:11.0,Offensive rebound by G. Antetokounmpo,,94,105
4,4:11.0,Shooting foul by R. Westbrook (drawn by G. Antetokounmpo),,94,105
4,4:11.0,G. Antetokounmpo makes free throw 1 of 2,,95,105
4,4:11.0,S. Brown enters the game for K. Middleton,,95,105
4,4:11.0,,P. George enters the game for D. Schröder,95,105
4,4:11.0,G. Antetokounmpo misses free throw 2 of 2,,95,105
4,4:10.0,,Defensive rebound by R. Westbrook,95,105
4,3:58.0,,Turnover by T. Ferguson (traveling),95,105
4,3:38.0,,Violation by Team (kicked ball),95,105
4,3:32.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,95,105
4,3:30.0,,Defensive rebound by P. George,95,105
4,3:26.0,,Shooting foul by B. Lopez (drawn by J. Grant),95,105
4,3:26.0,,J. Grant makes free throw 1 of 2,95,106
4,3:26.0,Milwaukee full timeout,,95,106
4,3:26.0,K. Middleton enters the game for B. Lopez,,95,106
4,3:26.0,,J. Grant misses free throw 2 of 2,95,106
4,3:23.0,Defensive rebound by E. Bledsoe,,95,106
4,3:00.0,K. Middleton makes 2-pt jump shot from 11 ft,,97,106
4,2:46.0,,R. Westbrook misses 2-pt layup from 2 ft,97,106
4,2:43.0,,Offensive rebound by S. Adams,97,106
4,2:38.0,,R. Westbrook misses 2-pt jump shot from 16 ft,97,106
4,2:35.0,Defensive rebound by S. Brown,,97,106
4,2:29.0,S. Brown makes 2-pt layup at rim (assist by E. Bledsoe),,99,106
4,2:17.0,,Shooting foul by M. Brogdon (drawn by S. Adams),99,106
4,2:17.0,,S. Adams misses free throw 1 of 2,99,106
4,2:17.0,,Offensive rebound by Team,99,106
4,2:17.0,,S. Adams misses free throw 2 of 2,99,106
4,2:15.0,Defensive rebound by G. Antetokounmpo,,99,106
4,2:02.0,G. Antetokounmpo makes 3-pt jump shot from 25 ft,,102,106
4,1:44.0,,S. Adams makes 2-pt layup from 1 ft (assist by P. George),102,108
4,1:24.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by K. Middleton),,104,108
4,1:15.0,,P. George makes 2-pt dunk at rim (assist by J. Grant),104,110
4,1:09.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by M. Brogdon),,107,110
4,0:48.0,,P. George makes 3-pt jump shot from 25 ft,107,113
4,0:47.0,Milwaukee full timeout,,107,113
4,0:47.0,B. Lopez enters the game for S. Brown,,107,113
4,0:40.0,Turnover by E. Bledsoe (bad pass; steal by P. George),,107,113
4,0:31.0,,Personal take foul by B. Lopez (drawn by R. Westbrook),107,113
4,0:31.0,,R. Westbrook misses free throw 1 of 2,107,113
4,0:31.0,,Offensive rebound by Team,107,113
4,0:31.0,,R. Westbrook makes free throw 2 of 2,107,114
4,0:25.0,G. Antetokounmpo makes 2-pt dunk from 2 ft,,109,114
4,0:25.0,,Oklahoma City full timeout,109,114
4,0:25.0,S. Brown enters the game for B. Lopez,,109,114
4,0:25.0,,A. Nader enters the game for S. Adams,109,114
4,0:25.0,,Personal take foul by M. Brogdon (drawn by P. George),109,114
4,0:25.0,,P. George makes free throw 1 of 2,109,115
4,0:25.0,B. Lopez enters the game for S. Brown,,109,115
4,0:25.0,,S. Adams enters the game for A. Nader,109,115
4,0:25.0,,P. George makes free throw 2 of 2,109,116
4,0:17.0,B. Lopez makes 3-pt jump shot from 25 ft,,112,116
4,0:10.0,,Personal take foul by M. Brogdon (drawn by J. Grant),112,116
4,0:10.0,S. Brown enters the game for M. Brogdon,,112,116
4,0:10.0,,J. Grant makes free throw 1 of 2,112,117
4,0:10.0,,J. Grant makes free throw 2 of 2,112,118
4,0:03.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,112,118
4,0:02.0,,Defensive rebound by P. George,112,118
