QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
4,4:59.0,Offensive rebound by Team,,84,103
4,4:59.0,A. Žižić makes free throw 1 of 2,,85,103
4,4:59.0,J. Clarkson enters the game for A. Harrison,,85,103
4,4:59.0,A. Žižić makes free throw 2 of 2,,86,103
4,4:44.0,,A. Drummond makes 2-pt layup from 1 ft (assist by R. Bullock),86,105
4,4:18.0,C. Osman misses 2-pt layup from 4 ft,,86,105
4,4:16.0,Offensive rebound by A. Žižić,,86,105
4,4:16.0,A. Žižić makes 2-pt layup from 1 ft,,88,105
4,3:56.0,,B. Griffin makes 2-pt layup from 2 ft,88,107
4,3:36.0,A. Žižić makes 2-pt jump shot from 14 ft (assist by R. Hood),,90,107
4,3:21.0,,L. Galloway misses 3-pt jump shot from 25 ft,90,107
4,3:19.0,Defensive rebound by A. Žižić,,90,107
4,3:12.0,D. Nwaba misses 2-pt layup from 3 ft,,90,107
4,3:08.0,Offensive rebound by A. Žižić,,90,107
4,3:08.0,A. Žižić makes 2-pt dunk from 1 ft,,92,107
4,2:58.0,,L. Galloway misses 3-pt jump shot from 24 ft,92,107
4,2:54.0,,Offensive rebound by A. Drummond,92,107
4,2:54.0,,A. Drummond misses 2-pt layup from 2 ft,92,107
4,2:52.0,,Offensive rebound by A. Drummond,92,107
4,2:52.0,,A. Drummond misses 2-pt layup from 4 ft,92,107
4,2:52.0,,Offensive rebound by A. Drummond,92,107
4,2:52.0,,A. Drummond misses 2-pt layup from 1 ft,92,107
4,2:52.0,Defensive rebound by A. Žižić,,92,107
4,2:41.0,Personal foul by A. Drummond (drawn by R. Hood),,92,107
4,2:41.0,R. Hood makes free throw 1 of 2,,93,107
4,2:41.0,,J. Leuer enters the game for B. Griffin,93,107
4,2:41.0,R. Hood makes free throw 2 of 2,,94,107
4,2:27.0,,R. Jackson misses 3-pt jump shot from 28 ft,94,107
4,2:26.0,Defensive rebound by Team,,94,107
4,2:26.0,,J. Calderón enters the game for R. Bullock,94,107
4,2:13.0,A. Žižić makes 2-pt layup from 2 ft (assist by J. Clarkson),,96,107
4,1:57.0,,Personal foul by C. Osman (drawn by R. Jackson),96,107
4,1:45.0,,J. Leuer makes 2-pt layup from 1 ft (assist by R. Jackson),96,109
4,1:35.0,J. Clarkson makes 2-pt jump shot from 16 ft,,98,109
4,1:16.0,,R. Jackson makes 2-pt layup from 2 ft (assist by A. Drummond),98,111
4,1:01.0,A. Žižić makes 2-pt layup from 4 ft (assist by J. Clarkson),,100,111
4,0:40.0,,R. Jackson misses 3-pt jump shot from 25 ft,100,111
4,0:39.0,,Offensive rebound by A. Drummond,100,111
4,0:39.0,,A. Drummond makes 2-pt dunk at rim,100,113
4,0:22.0,R. Hood makes 2-pt layup from 4 ft (assist by J. Clarkson),,102,113
