QUARTER,TIME_REMAINING,UTAH_ACTION,LA LAKERS_ACTION,UTAH_SCORE,LA LAKERS_SCORE
3,0:13.0,,B. Ingram makes free throw 1 of 2,63,62
3,0:13.0,,B. Ingram misses free throw 2 of 2,63,62
3,0:11.0,Defensive rebound by A. Burks,,63,62
3,0:04.0,Offensive foul by A. Burks (drawn by K. Caldwell-Pope),,63,62
3,0:04.0,Turnover by A. Burks (offensive foul),,63,62
3,0:04.0,T. Sefolosha enters the game for D. Favors,,63,62
3,0:04.0,,L. James enters the game for T. Chandler,63,62
3,0:00.0,,Shooting foul by A. Burks (drawn by L. James),63,62
3,0:00.0,,L. James makes free throw 1 of 2,63,63
3,0:00.0,,L. James makes free throw 2 of 2,63,64
4,11:52.0,,L. James misses 2-pt layup from 6 ft,63,64
4,11:49.0,Defensive rebound by D. Exum,,63,64
4,11:48.0,Turnover by D. Exum (out of bounds lost ball),,63,64
4,11:24.0,,L. Stephenson makes 3-pt jump shot from 24 ft (assist by L. James),63,67
4,11:07.0,D. Favors makes 2-pt jump shot from 19 ft (assist by R. O'Neale),,65,67
4,10:46.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,65,67
4,10:43.0,Defensive rebound by R. O'Neale,,65,67
4,10:32.0,Turnover by A. Burks (bad pass; steal by J. McGee),,65,67
4,10:28.0,,Turnover by K. Caldwell-Pope (bad pass),65,67
4,10:28.0,J. Ingles enters the game for A. Burks,,65,67
4,10:18.0,D. Favors misses 2-pt jump shot from 14 ft,,65,67
4,10:14.0,,Defensive rebound by L. Ball,65,67
4,10:01.0,,L. James makes 2-pt layup from 2 ft,65,69
4,9:50.0,D. Favors makes 2-pt jump shot from 9 ft (assist by J. Ingles),,67,69
4,9:30.0,,L. Stephenson misses 2-pt jump shot from 9 ft,67,69
4,9:26.0,Defensive rebound by T. Sefolosha,,67,69
4,9:22.0,Turnover by T. Sefolosha (lost ball; steal by K. Caldwell-Pope),,67,69
4,9:14.0,,K. Caldwell-Pope makes 2-pt dunk from 2 ft,67,71
4,9:04.0,Personal foul by K. Caldwell-Pope (drawn by D. Favors),,67,71
4,8:56.0,J. Ingles misses 3-pt jump shot from 26 ft,,67,71
4,8:54.0,,Defensive rebound by L. Stephenson,67,71
4,8:49.0,,Personal foul by T. Sefolosha (drawn by L. James),67,71
4,8:38.0,,L. James makes 2-pt dunk from 1 ft,67,73
4,8:24.0,Personal foul by K. Caldwell-Pope (drawn by R. O'Neale),,67,73
4,8:24.0,R. Rubio enters the game for D. Exum,,67,73
4,8:17.0,Shooting foul by L. James (drawn by T. Sefolosha),,67,73
4,8:17.0,T. Sefolosha makes free throw 1 of 2,,68,73
4,8:17.0,T. Sefolosha makes free throw 2 of 2,,69,73
4,8:17.0,R. Gobert enters the game for D. Favors,,69,73
4,7:56.0,,L. James makes 2-pt layup from 2 ft,69,75
4,7:42.0,Turnover by R. Gobert (lost ball; steal by L. James),,69,75
4,7:32.0,,K. Caldwell-Pope misses 2-pt dunk from 2 ft,69,75
4,7:26.0,Defensive rebound by R. O'Neale,,69,75
4,7:24.0,Turnover by T. Sefolosha (step out of bounds),,69,75
4,7:24.0,,LA Lakers full timeout,69,75
4,7:24.0,A. Burks enters the game for R. O'Neale,,69,75
4,7:24.0,,K. Kuzma enters the game for L. James,69,75
4,7:09.0,,J. McGee misses 2-pt hook shot from 4 ft,69,75
4,7:07.0,Defensive rebound by J. Ingles,,69,75
4,6:46.0,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),,71,75
4,6:27.0,,J. McGee makes 2-pt hook shot from 5 ft (assist by L. Ball),71,77
4,6:03.0,A. Burks makes 3-pt jump shot from 26 ft,,74,77
4,5:41.0,,L. Stephenson makes 2-pt jump shot from 4 ft,74,79
4,5:41.0,Utah full timeout,,74,79
4,5:41.0,J. Crowder enters the game for J. Ingles,,74,79
4,5:41.0,R. O'Neale enters the game for T. Sefolosha,,74,79
4,5:41.0,,B. Ingram enters the game for K. Caldwell-Pope,74,79
4,5:41.0,,L. James enters the game for L. Stephenson,74,79
4,5:28.0,Shooting foul by J. McGee (drawn by A. Burks),,74,79
4,5:28.0,A. Burks makes free throw 1 of 2,,75,79
4,5:28.0,A. Burks makes free throw 2 of 2,,76,79
4,5:14.0,,J. McGee misses 2-pt dunk from 2 ft,76,79
4,5:09.0,,Offensive rebound by J. McGee,76,79
4,5:09.0,,J. McGee makes 2-pt layup from 1 ft,76,81
