QUARTER,TIME_REMAINING,INDIANA_ACTION,DENVER_ACTION,INDIANA_SCORE,DENVER_SCORE
4,1:33.0,,W. Barton misses free throw 1 of 2,94,99
4,1:33.0,,Offensive rebound by Team,94,99
4,1:33.0,,W. Barton makes free throw 2 of 2,94,100
4,1:15.0,Shooting foul by M. Plumlee (drawn by B. Bogdanović),,94,100
4,1:15.0,,J. Hernangómez enters the game for M. Plumlee,94,100
4,1:15.0,B. Bogdanović makes free throw 1 of 2,,95,100
4,1:15.0,B. Bogdanović makes free throw 2 of 2,,96,100
4,0:59.0,,J. Murray misses 3-pt jump shot from 25 ft,96,100
4,0:55.0,Defensive rebound by T. Young,,96,100
4,0:47.0,M. Turner makes 2-pt layup from 3 ft (assist by B. Bogdanović),,98,100
4,0:47.0,Shooting foul by P. Millsap (drawn by M. Turner),,98,100
4,0:47.0,M. Turner makes free throw 1 of 1,,99,100
4,0:47.0,,Denver full timeout,99,100
4,0:35.0,,P. Millsap misses 3-pt jump shot from 26 ft,99,100
4,0:29.0,,Offensive rebound by G. Harris,99,100
4,0:28.0,,J. Murray misses 3-pt jump shot from 25 ft,99,100
4,0:27.0,Defensive rebound by Team,,99,100
4,0:27.0,,Loose ball foul by J. Hernangómez (drawn by M. Turner),99,100
4,0:27.0,M. Turner misses free throw 1 of 2,,99,100
4,0:27.0,Offensive rebound by Team,,99,100
4,0:27.0,,T. Lyles enters the game for J. Hernangómez,99,100
4,0:27.0,M. Turner makes free throw 2 of 2,,100,100
4,0:27.0,,Denver full timeout,100,100
4,0:27.0,,M. Morris enters the game for T. Lyles,100,100
4,0:27.0,Indiana full timeout,,100,100
4,0:07.0,,P. Millsap makes 2-pt layup from 2 ft (assist by J. Murray),100,102
4,0:07.0,Indiana full timeout,,100,102
4,0:07.0,,T. Craig enters the game for M. Morris,100,102
4,0:02.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,100,102
4,0:01.0,,Defensive rebound by Team,100,102
