QUARTER,TIME_REMAINING,ORLANDO_ACTION,PORTLAND_ACTION,ORLANDO_SCORE,PORTLAND_SCORE
4,0:33.0,,D. Lillard misses 2-pt layup from 2 ft (block by J. Isaac),110,113
4,0:32.0,,Offensive rebound by Team,110,113
4,0:32.0,Loose ball foul by N. Vučević (drawn by D. Lillard),,110,113
4,0:32.0,,D. Lillard misses free throw 1 of 2,110,113
4,0:32.0,,Offensive rebound by Team,110,113
4,0:32.0,,D. Lillard makes free throw 2 of 2,110,114
4,0:28.0,T. Ross misses 3-pt jump shot from 25 ft,,110,114
4,0:25.0,,Defensive rebound by J. Nurkić,110,114
4,0:21.0,,Personal take foul by N. Vučević (drawn by D. Lillard),110,114
4,0:21.0,,D. Lillard misses free throw 1 of 2,110,114
4,0:21.0,,Offensive rebound by Team,110,114
4,0:21.0,,D. Lillard makes free throw 2 of 2,110,115
4,0:21.0,Orlando full timeout,,110,115
4,0:19.0,Turnover by J. Isaac (bad pass; steal by E. Turner),,110,115
4,0:13.0,,Personal take foul by N. Vučević (drawn by E. Turner),110,115
4,0:13.0,J. Simmons enters the game for N. Vučević,,110,115
4,0:13.0,,E. Turner misses free throw 1 of 2,110,115
4,0:13.0,,Offensive rebound by Team,110,115
4,0:13.0,,E. Turner misses free throw 2 of 2,110,115
4,0:10.0,Defensive rebound by T. Ross,,110,115
4,0:06.0,J. Simmons makes 2-pt layup from 1 ft,,112,115
4,0:05.0,,Personal take foul by D. Augustin (drawn by E. Turner),112,115
4,0:05.0,,E. Turner misses free throw 1 of 2,112,115
4,0:05.0,,Offensive rebound by Team,112,115
4,0:05.0,,E. Turner misses free throw 2 of 2,112,115
4,0:05.0,Defensive rebound by T. Ross,,112,115
