QUARTER,TIME_REMAINING,DALLAS_ACTION,SACRAMENTO_ACTION,DALLAS_SCORE,SACRAMENTO_SCORE
4,6:13.0,Offensive rebound by Team,,91,102
4,5:59.0,J. Jackson misses 3-pt jump shot from 32 ft,,91,102
4,5:56.0,,Defensive rebound by H. Barnes,91,102
4,5:51.0,,D. Fox misses 2-pt layup from 2 ft,91,102
4,5:48.0,Defensive rebound by R. Broekhoff,,91,102
4,5:46.0,Personal foul by N. Bjelica (drawn by L. Dončić),,91,102
4,5:38.0,R. Broekhoff misses 3-pt jump shot from 23 ft,,91,102
4,5:36.0,,Defensive rebound by W. Cauley-Stein,91,102
4,5:24.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,91,102
4,5:21.0,Defensive rebound by J. Jackson,,91,102
4,5:19.0,J. Brunson makes 2-pt layup from 2 ft (assist by J. Jackson),,93,102
4,5:19.0,,Sacramento full timeout,93,102
4,5:07.0,,Personal foul by J. Jackson (drawn by H. Barnes),93,102
4,5:07.0,,H. Barnes makes free throw 1 of 2,93,103
4,5:07.0,,H. Barnes misses free throw 2 of 2,93,103
4,5:04.0,Defensive rebound by M. Kleber,,93,103
4,4:42.0,L. Dončić misses 3-pt jump shot from 28 ft,,93,103
4,4:38.0,,Defensive rebound by W. Cauley-Stein,93,103
4,4:35.0,,D. Fox makes 2-pt dunk from 1 ft,93,105
4,4:35.0,Dallas full timeout,,93,105
4,4:35.0,D. Powell enters the game for R. Broekhoff,,93,105
4,4:19.0,Turnover by J. Jackson (lost ball; steal by B. Hield),,93,105
4,4:14.0,,B. Hield misses 2-pt layup from 3 ft,93,105
4,4:14.0,Defensive rebound by Team,,93,105
4,3:55.0,L. Dončić makes 2-pt layup from 2 ft,,95,105
4,3:41.0,,D. Fox misses 3-pt jump shot from 25 ft,95,105
4,3:37.0,Defensive rebound by L. Dončić,,95,105
4,3:31.0,J. Brunson misses 3-pt jump shot from 23 ft,,95,105
4,3:27.0,,Defensive rebound by W. Cauley-Stein,95,105
4,3:21.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by W. Cauley-Stein),95,108
4,3:20.0,Dallas full timeout,,95,108
4,3:20.0,R. Broekhoff enters the game for J. Jackson,,95,108
4,3:20.0,,M. Bagley enters the game for N. Bjelica,95,108
4,3:04.0,L. Dončić misses 2-pt jump shot from 3 ft,,95,108
4,3:01.0,,Defensive rebound by H. Barnes,95,108
4,3:00.0,,Personal foul by D. Powell (drawn by H. Barnes),95,108
4,3:00.0,,H. Barnes makes free throw 1 of 2,95,109
4,3:00.0,T. Burke enters the game for J. Brunson,,95,109
4,3:00.0,C. Lee enters the game for L. Dončić,,95,109
4,3:00.0,,H. Barnes makes free throw 2 of 2,95,110
4,2:52.0,D. Powell makes 2-pt dunk from 1 ft (assist by R. Broekhoff),,97,110
4,2:30.0,,D. Fox misses 2-pt layup from 3 ft (block by D. Powell),97,110
4,2:27.0,,Offensive rebound by W. Cauley-Stein,97,110
4,2:25.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by W. Cauley-Stein),97,113
4,2:12.0,T. Burke misses 3-pt jump shot from 22 ft (block by D. Fox),,97,113
4,2:09.0,,Defensive rebound by M. Bagley,97,113
4,2:04.0,,M. Bagley makes 3-pt jump shot from 25 ft (assist by B. Hield),97,116
4,1:45.0,T. Burke misses 3-pt jump shot from 26 ft,,97,116
4,1:42.0,,Defensive rebound by W. Cauley-Stein,97,116
4,1:31.0,,B. Hield misses 3-pt jump shot from 26 ft,97,116
4,1:29.0,Defensive rebound by Team,,97,116
4,1:29.0,,Loose ball foul by M. Bagley (drawn by R. Broekhoff),97,116
4,1:29.0,R. Broekhoff makes free throw 1 of 2,,98,116
4,1:29.0,J. Jackson enters the game for M. Kleber,,98,116
4,1:29.0,S. Mejri enters the game for D. Powell,,98,116
4,1:29.0,,Y. Ferrell enters the game for D. Fox,98,116
4,1:29.0,R. Broekhoff misses free throw 2 of 2,,98,116
4,1:26.0,,Defensive rebound by M. Bagley,98,116
4,1:07.0,,H. Barnes misses 3-pt jump shot from 23 ft,98,116
4,1:05.0,Defensive rebound by Team,,98,116
4,0:58.0,C. Lee misses 2-pt jump shot from 15 ft,,98,116
4,0:56.0,,Defensive rebound by W. Cauley-Stein,98,116
4,0:38.0,,Turnover by W. Cauley-Stein (lost ball; steal by T. Burke),98,116
4,0:32.0,Turnover by R. Broekhoff (bad pass; steal by B. Hield),,98,116
4,0:24.0,,M. Bagley misses 3-pt jump shot from 23 ft,98,116
4,0:20.0,Defensive rebound by C. Lee,,98,116
4,0:15.0,C. Lee makes 2-pt layup from 2 ft,,100,116
