QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
4,2:18.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by J. Lamb),,98,88
4,2:17.0,,Detroit full timeout,98,88
4,2:09.0,,Personal foul by K. Walker (drawn by L. Kennard),98,88
4,1:59.0,,Turnover by B. Griffin (bad pass; steal by M. Bridges),98,88
4,1:57.0,D. Bacon makes 2-pt dunk from 1 ft (assist by M. Bridges),,100,88
4,1:48.0,,L. Kennard misses 3-pt jump shot from 27 ft,100,88
4,1:44.0,Defensive rebound by F. Kaminsky,,100,88
4,1:39.0,Shooting foul by L. Kennard (drawn by K. Walker),,100,88
4,1:39.0,,Technical foul by B. Griffin,100,88
4,1:39.0,Technical foul by J. Lamb,,100,88
4,1:39.0,K. Walker makes free throw 1 of 2,,101,88
4,1:39.0,K. Walker makes free throw 2 of 2,,102,88
4,1:28.0,,B. Griffin misses 3-pt jump shot from 25 ft,102,88
4,1:23.0,,Offensive rebound by W. Ellington,102,88
4,1:19.0,,I. Smith makes 3-pt jump shot from 23 ft (assist by L. Kennard),102,91
4,0:54.0,Personal foul by B. Griffin (drawn by J. Lamb),,102,91
4,0:54.0,J. Lamb makes free throw 1 of 2,,103,91
4,0:54.0,J. Lamb makes free throw 2 of 2,,104,91
4,0:40.0,,L. Kennard misses 3-pt jump shot from 24 ft,104,91
4,0:38.0,Defensive rebound by K. Walker,,104,91
4,0:15.0,Turnover by Team (shot clock),,104,91
