QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BOSTON_ACTION,LA LAKERS_SCORE,BOSTON_SCORE
4,2:22.0,,Offensive rebound by A. Horford,117,119
4,2:21.0,,M. Smart misses 3-pt jump shot from 26 ft,117,119
4,2:20.0,Defensive rebound by K. Kuzma,,117,119
4,2:07.0,Shooting foul by K. Irving (drawn by B. Ingram),,117,119
4,2:07.0,B. Ingram makes free throw 1 of 2,,118,119
4,2:07.0,,G. Hayward enters the game for J. Brown,118,119
4,2:07.0,B. Ingram misses free throw 2 of 2,,118,119
4,2:04.0,Offensive rebound by L. James,,118,119
4,2:02.0,B. Ingram misses 3-pt jump shot from 23 ft,,118,119
4,2:00.0,,Defensive rebound by J. Tatum,118,119
4,1:52.0,,Personal foul by B. Ingram (drawn by K. Irving),118,119
4,1:52.0,,K. Irving makes free throw 1 of 2,118,120
4,1:52.0,,M. Morris enters the game for G. Hayward,118,120
4,1:52.0,,K. Irving makes free throw 2 of 2,118,121
4,1:36.0,K. Kuzma misses 2-pt layup from 7 ft,,118,121
4,1:34.0,,Defensive rebound by M. Smart,118,121
4,1:24.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),118,124
4,1:24.0,LA Lakers full timeout,,118,124
4,1:24.0,K. Caldwell-Pope enters the game for K. Kuzma,,118,124
4,1:24.0,T. Chandler enters the game for J. McGee,,118,124
4,1:22.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by R. Rondo),,121,124
4,1:09.0,,Turnover by K. Irving (bad pass; steal by B. Ingram),121,124
4,0:50.0,L. James makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),,124,124
4,0:34.0,,Boston full timeout,124,124
4,0:34.0,,G. Hayward enters the game for M. Smart,124,124
4,0:34.0,,Personal foul by K. Caldwell-Pope (drawn by J. Tatum),124,124
4,0:34.0,,J. Tatum makes free throw 1 of 2,124,125
4,0:34.0,,J. Brown enters the game for G. Hayward,124,125
4,0:34.0,,M. Smart enters the game for K. Irving,124,125
4,0:34.0,,J. Tatum makes free throw 2 of 2,124,126
4,0:34.0,LA Lakers full timeout,,124,126
4,0:34.0,K. Kuzma enters the game for T. Chandler,,124,126
4,0:19.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by B. Ingram),,127,126
4,0:18.0,,Boston full timeout,127,126
4,0:18.0,T. Chandler enters the game for K. Caldwell-Pope,,127,126
4,0:18.0,,G. Hayward enters the game for J. Brown,127,126
4,0:18.0,,K. Irving enters the game for M. Smart,127,126
4,0:11.0,,K. Irving makes 2-pt jump shot from 6 ft,127,128
4,0:03.0,B. Ingram misses 2-pt layup from 2 ft (block by A. Horford),,127,128
4,0:02.0,Offensive rebound by R. Rondo,,127,128
4,0:00.0,R. Rondo makes 2-pt jump shot from 19 ft,,129,128
