QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW YORK_ACTION,WASHINGTON_SCORE,NEW YORK_SCORE
4,4:15.0,,E. Mudiay makes 3-pt jump shot from 25 ft (assist by C. Lee),105,92
4,3:52.0,J. Wall misses 2-pt jump shot from 20 ft,,105,92
4,3:50.0,,Defensive rebound by D. Dotson,105,92
4,3:46.0,,Turnover by E. Mudiay (offensive foul),105,92
4,3:46.0,,Offensive foul by E. Mudiay (drawn by B. Beal),105,92
4,3:46.0,Washington full timeout,,105,92
4,3:46.0,M. Morris enters the game for T. Bryant,,105,92
4,3:33.0,M. Morris makes 2-pt hook shot from 7 ft (assist by B. Beal),,107,92
4,3:17.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by E. Mudiay),107,95
4,2:52.0,B. Beal misses 2-pt layup from 1 ft (block by E. Mudiay),,107,95
4,2:50.0,,Defensive rebound by D. Dotson,107,95
4,2:45.0,,N. Vonleh misses 2-pt layup from 5 ft,107,95
4,2:43.0,,Offensive rebound by D. Dotson,107,95
4,2:43.0,,D. Dotson misses 2-pt layup at rim,107,95
4,2:41.0,Defensive rebound by K. Oubre,,107,95
4,2:30.0,Turnover by J. Wall (lost ball; steal by K. Knox),,107,95
4,2:26.0,,E. Mudiay makes 2-pt layup from 1 ft (assist by K. Knox),107,97
4,2:10.0,Turnover by K. Oubre (bad pass; steal by C. Lee),,107,97
4,2:07.0,,C. Lee misses 2-pt layup from 2 ft,107,97
4,2:05.0,Defensive rebound by B. Beal,,107,97
4,1:46.0,J. Wall misses 2-pt layup at rim,,107,97
4,1:44.0,,Defensive rebound by N. Vonleh,107,97
4,1:37.0,,E. Mudiay misses 3-pt jump shot from 25 ft,107,97
4,1:35.0,,Offensive rebound by C. Lee,107,97
4,1:34.0,,D. Dotson makes 3-pt jump shot from 22 ft (assist by C. Lee),107,100
4,1:34.0,Washington full timeout,,107,100
4,1:07.0,J. Wall misses 2-pt jump shot from 14 ft,,107,100
4,1:05.0,,Defensive rebound by E. Mudiay,107,100
4,1:02.0,,Shooting foul by M. Morris (drawn by E. Mudiay),107,100
4,1:02.0,,E. Mudiay makes free throw 1 of 2,107,101
4,1:02.0,,E. Mudiay makes free throw 2 of 2,107,102
4,0:42.0,M. Morris misses 3-pt jump shot from 25 ft,,107,102
4,0:40.0,,Defensive rebound by K. Knox,107,102
4,0:35.0,,N. Vonleh makes 2-pt layup from 2 ft (assist by E. Mudiay),107,104
4,0:12.0,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),,110,104
4,0:07.0,,D. Dotson misses 3-pt jump shot from 30 ft,110,104
4,0:05.0,,Offensive rebound by C. Lee,110,104
4,0:00.0,,C. Lee makes 3-pt jump shot from 23 ft,110,107
