QUARTER,TIME_REMAINING,INDIANA_ACTION,GOLDEN STATE_ACTION,INDIANA_SCORE,GOLDEN STATE_SCORE
4,3:55.0,Shooting foul by A. Bogut (drawn by T. Leaf),,75,107
4,3:55.0,Offensive rebound by Team,,75,107
4,3:55.0,T. Leaf misses free throw 1 of 2,,75,107
4,3:55.0,T. Leaf misses free throw 2 of 2,,75,107
4,3:54.0,,Defensive rebound by A. Bogut,75,107
4,3:43.0,,Turnover by J. Jerebko (bad pass; steal by K. O'Quinn),75,107
4,3:37.0,T. Evans misses 2-pt layup from 3 ft (block by J. Bell),,75,107
4,3:36.0,Offensive rebound by Team,,75,107
4,3:34.0,Turnover by K. O'Quinn (bad pass),,75,107
4,3:20.0,,A. Bogut makes 2-pt jump shot from 10 ft,75,109
4,3:08.0,T. Evans makes 2-pt layup from 3 ft,,77,109
4,3:08.0,Shooting foul by A. McKinnie (drawn by T. Evans),,77,109
4,3:08.0,T. Evans makes free throw 1 of 1,,78,109
4,2:49.0,,A. Bogut misses 2-pt hook shot from 9 ft,78,109
4,2:48.0,Defensive rebound by T. Evans,,78,109
4,2:38.0,D. McDermott makes 2-pt layup from 2 ft (assist by K. O'Quinn),,80,109
4,2:25.0,,Q. Cook misses 2-pt layup from 2 ft,80,109
4,2:24.0,Defensive rebound by T. Evans,,80,109
4,2:18.0,Turnover by T. Evans (bad pass),,80,109
4,2:18.0,,Golden State full timeout,80,109
4,1:55.0,,A. Bogut misses 2-pt hook shot from 17 ft,80,109
4,1:54.0,,Offensive rebound by Team,80,109
4,1:54.0,,Turnover by Team (shot clock),80,109
4,1:29.0,T. Evans misses 2-pt jump shot from 6 ft,,80,109
4,1:25.0,Offensive rebound by T. Leaf,,80,109
4,1:25.0,T. Leaf makes 2-pt layup from 1 ft,,82,109
4,1:20.0,,A. Bogut misses 2-pt jump shot from 11 ft (block by K. O'Quinn),82,109
4,1:18.0,Defensive rebound by K. O'Quinn,,82,109
4,1:10.0,T. Evans makes 2-pt layup from 2 ft,,84,109
4,0:54.0,,Q. Cook misses 3-pt jump shot from 23 ft,84,109
4,0:50.0,Defensive rebound by K. O'Quinn,,84,109
4,0:41.0,A. Holiday makes 2-pt jump shot from 12 ft,,86,109
4,0:33.0,,A. McKinnie makes 3-pt jump shot from 23 ft (assist by J. Jerebko),86,112
4,0:23.0,A. Holiday makes 3-pt jump shot from 28 ft (assist by K. O'Quinn),,89,112
