QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DETROIT_ACTION,OKLAHOMA CITY_SCORE,DETROIT_SCORE
4,4:06.0,,J. Leuer makes 2-pt layup from 1 ft (assist by J. Calderón),106,73
4,3:48.0,Offensive foul by D. Burton (drawn by J. Leuer),,106,73
4,3:48.0,Turnover by D. Burton (offensive foul),,106,73
4,3:37.0,,J. Leuer misses 2-pt jump shot from 19 ft,106,73
4,3:33.0,Defensive rebound by R. Felton,,106,73
4,3:28.0,Shooting foul by L. Kennard (drawn by D. Burton),,106,73
4,3:28.0,D. Burton makes free throw 1 of 2,,107,73
4,3:28.0,D. Burton makes free throw 2 of 2,,108,73
4,3:19.0,,J. Calderón misses 3-pt jump shot from 25 ft,108,73
4,3:15.0,,Offensive rebound by G. Robinson,108,73
4,3:14.0,,L. Kennard misses 3-pt jump shot from 27 ft,108,73
4,3:10.0,Defensive rebound by R. Felton,,108,73
4,3:02.0,R. Felton misses 2-pt layup from 3 ft,,108,73
4,3:01.0,Offensive rebound by N. Noel,,108,73
4,2:59.0,N. Noel misses 2-pt hook shot from 5 ft,,108,73
4,2:57.0,,Defensive rebound by G. Robinson,108,73
4,2:49.0,,Shooting foul by N. Noel (drawn by J. Leuer),108,73
4,2:49.0,,J. Leuer makes free throw 1 of 2,108,74
4,2:49.0,,J. Leuer makes free throw 2 of 2,108,75
4,2:37.0,Turnover by Á. Abrines (lost ball; steal by L. Kennard),,108,75
4,2:25.0,,G. Robinson misses 2-pt jump shot from 10 ft,108,75
4,2:24.0,,Offensive rebound by J. Leuer,108,75
4,2:22.0,,Shooting foul by N. Noel (drawn by B. Brown),108,75
4,2:22.0,,B. Brown makes free throw 1 of 2,108,76
4,2:22.0,,B. Brown makes free throw 2 of 2,108,77
4,2:02.0,R. Felton makes 2-pt jump shot from 23 ft,,110,77
4,1:49.0,,L. Kennard misses 2-pt layup from 5 ft (block by R. Felton),110,77
4,1:49.0,,Offensive rebound by Team,110,77
4,1:43.0,,G. Robinson misses 2-pt jump shot from 20 ft,110,77
4,1:41.0,,Offensive rebound by Team,110,77
4,1:35.0,,J. Leuer makes 2-pt layup from 5 ft,110,79
4,1:20.0,Turnover by A. Nader (bad pass; steal by B. Brown),,110,79
4,1:13.0,,G. Robinson makes 2-pt dunk from 1 ft (assist by J. Calderón),110,81
4,0:58.0,D. Burton misses 2-pt jump shot from 5 ft,,110,81
4,0:57.0,,Defensive rebound by B. Brown,110,81
4,0:53.0,,Personal foul by Á. Abrines (drawn by B. Brown),110,81
4,0:53.0,,B. Brown makes free throw 1 of 2,110,82
4,0:53.0,,B. Brown makes free throw 2 of 2,110,83
4,0:43.0,R. Felton misses 2-pt jump shot from 18 ft,,110,83
4,0:41.0,,Defensive rebound by J. Leuer,110,83
4,0:34.0,,G. Robinson misses 2-pt layup from 1 ft,110,83
4,0:32.0,Defensive rebound by A. Nader,,110,83
4,0:26.0,Turnover by A. Nader (bad pass; steal by B. Brown),,110,83
4,0:09.0,,Turnover by J. Calderón (bad pass; steal by R. Felton),110,83
