QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ATLANTA_ACTION,BROOKLYN_SCORE,ATLANTA_SCORE
4,10:29.0,,J. Collins makes 2-pt jump shot from 5 ft (assist by K. Huerter),88,81
4,10:29.0,,Personal foul by D. Carroll (drawn by J. Collins),88,81
4,10:29.0,Technical foul by D. Carroll,,88,81
4,10:29.0,,J. Collins makes technical free throw,88,82
4,10:29.0,,J. Collins makes free throw 1 of 1,88,83
4,10:16.0,Shooting foul by J. Collins (drawn by E. Davis),,88,83
4,10:16.0,E. Davis misses free throw 1 of 2,,88,83
4,10:16.0,Offensive rebound by Team,,88,83
4,10:16.0,E. Davis misses free throw 2 of 2,,88,83
4,10:13.0,,Defensive rebound by J. Collins,88,83
4,10:05.0,,Personal foul by A. Crabbe (drawn by K. Huerter),88,83
4,10:05.0,R. Kurucs enters the game for D. Carroll,,88,83
4,10:00.0,,A. Len makes 2-pt layup from 2 ft (assist by J. Collins),88,85
4,9:41.0,R. Kurucs makes 3-pt jump shot from 26 ft,,91,85
4,9:31.0,,K. Huerter misses 3-pt jump shot from 25 ft,91,85
4,9:29.0,,Offensive rebound by K. Huerter,91,85
4,9:20.0,,J. Collins misses 2-pt layup from 6 ft,91,85
4,9:16.0,,Offensive rebound by J. Collins,91,85
4,9:16.0,,J. Collins makes 2-pt layup from 1 ft,91,87
4,9:15.0,Turnover by S. Dinwiddie (traveling),,91,87
4,8:58.0,,K. Huerter misses 2-pt jump shot from 11 ft,91,87
4,8:54.0,,Offensive rebound by J. Collins,91,87
4,8:53.0,,J. Collins misses 2-pt layup from 2 ft,91,87
4,8:51.0,Defensive rebound by Team,,91,87
4,8:51.0,,Loose ball foul by J. Collins (drawn by E. Davis),91,87
4,8:51.0,J. Allen enters the game for E. Davis,,91,87
4,8:51.0,D. Russell enters the game for C. LeVert,,91,87
4,8:51.0,,V. Carter enters the game for J. Adams,91,87
4,8:51.0,,T. Prince enters the game for D. Bembry,91,87
4,8:51.0,,T. Young enters the game for J. Collins,91,87
4,8:46.0,Personal foul by T. Prince (drawn by D. Russell),,91,87
4,8:46.0,J. Harris enters the game for S. Dinwiddie,,91,87
4,8:36.0,Shooting foul by K. Huerter (drawn by R. Kurucs),,91,87
4,8:36.0,R. Kurucs makes free throw 1 of 2,,92,87
4,8:36.0,R. Kurucs makes free throw 2 of 2,,93,87
4,8:21.0,,Shooting foul by R. Kurucs (drawn by T. Young),93,87
4,8:21.0,,T. Young misses free throw 1 of 2,93,87
4,8:21.0,,Offensive rebound by Team,93,87
4,8:21.0,,T. Young makes free throw 2 of 2,93,88
4,8:09.0,D. Russell misses 2-pt jump shot from 9 ft,,93,88
4,8:07.0,,Defensive rebound by Team,93,88
4,7:58.0,,V. Carter misses 2-pt layup from 1 ft,93,88
4,7:55.0,Defensive rebound by D. Russell,,93,88
4,7:50.0,Shooting foul by K. Huerter (drawn by J. Allen),,93,88
4,7:50.0,J. Allen makes free throw 1 of 2,,94,88
4,7:50.0,J. Allen misses free throw 2 of 2,,94,88
4,7:47.0,,Defensive rebound by A. Len,94,88
4,7:29.0,,A. Len makes 2-pt layup from 1 ft,94,90
4,7:19.0,J. Allen misses 2-pt layup from 2 ft,,94,90
4,7:15.0,,Defensive rebound by K. Huerter,94,90
4,7:11.0,,Turnover by K. Huerter (bad pass),94,90
4,7:02.0,J. Harris misses 2-pt jump shot from 3 ft,,94,90
4,6:58.0,,Defensive rebound by T. Young,94,90
4,6:57.0,,T. Young misses 2-pt layup from 2 ft (block by A. Crabbe),94,90
4,6:56.0,,Offensive rebound by T. Young,94,90
4,6:55.0,,T. Young makes 2-pt layup from 1 ft,94,92
4,6:54.0,Brooklyn full timeout,,94,92
4,6:54.0,S. Dinwiddie enters the game for A. Crabbe,,94,92
4,6:54.0,,K. Bazemore enters the game for K. Huerter,94,92
4,6:48.0,Personal foul by K. Bazemore (drawn by J. Harris),,94,92
4,6:48.0,J. Harris makes free throw 1 of 2,,95,92
4,6:48.0,J. Harris makes free throw 2 of 2,,96,92
4,6:33.0,,T. Young misses 2-pt jump shot from 13 ft,96,92
4,6:29.0,,Offensive rebound by A. Len,96,92
4,6:29.0,,A. Len makes 2-pt layup from 1 ft,96,94
4,6:23.0,D. Russell misses 2-pt layup from 2 ft,,96,94
4,6:22.0,Offensive rebound by J. Allen,,96,94
4,6:22.0,Shooting foul by A. Len (drawn by J. Allen),,96,94
4,6:22.0,J. Allen misses free throw 1 of 2,,96,94
4,6:22.0,Offensive rebound by Team,,96,94
4,6:22.0,J. Allen makes free throw 2 of 2,,97,94
4,6:13.0,,Personal foul by S. Dinwiddie (drawn by T. Young),97,94
4,6:09.0,,T. Young makes 3-pt jump shot from 30 ft,97,97
4,5:53.0,R. Kurucs makes 2-pt dunk from 1 ft,,99,97
4,5:43.0,,Personal foul by D. Russell (drawn by T. Young),99,97
4,5:43.0,,T. Young makes free throw 1 of 2,99,98
4,5:43.0,,J. Collins enters the game for V. Carter,99,98
4,5:43.0,,T. Young misses free throw 2 of 2,99,98
4,5:41.0,Defensive rebound by R. Kurucs,,99,98
4,5:26.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,99,98
4,5:23.0,Offensive rebound by D. Russell,,99,98
4,5:21.0,D. Russell misses 2-pt layup from 1 ft,,99,98
4,5:21.0,,Defensive rebound by Team,99,98
4,5:11.0,,Personal foul by S. Dinwiddie (drawn by T. Young),99,98
4,5:11.0,,T. Young makes free throw 1 of 2,99,99
4,5:11.0,,V. Carter enters the game for J. Collins,99,99
4,5:11.0,,T. Young makes free throw 2 of 2,99,100
4,4:59.0,D. Russell misses 3-pt jump shot from 25 ft,,99,100
4,4:55.0,,Defensive rebound by T. Prince,99,100
4,4:43.0,,V. Carter makes 2-pt layup from 1 ft (assist by T. Young),99,102
4,4:43.0,,Shooting foul by R. Kurucs (drawn by V. Carter),99,102
4,4:43.0,Brooklyn full timeout,,99,102
4,4:43.0,D. Carroll enters the game for R. Kurucs,,99,102
4,4:43.0,,J. Collins enters the game for A. Len,99,102
4,4:43.0,,V. Carter misses free throw 1 of 1,99,102
4,4:37.0,Defensive rebound by D. Carroll,,99,102
4,4:25.0,Shooting foul by V. Carter (drawn by S. Dinwiddie),,99,102
4,4:25.0,S. Dinwiddie makes free throw 1 of 2,,100,102
4,4:25.0,S. Dinwiddie makes free throw 2 of 2,,101,102
4,4:15.0,,T. Young makes 3-pt jump shot from 25 ft,101,105
4,4:02.0,D. Russell misses 2-pt layup from 2 ft,,101,105
4,3:59.0,Offensive rebound by J. Allen,,101,105
4,3:53.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,101,105
4,3:50.0,,Defensive rebound by J. Collins,101,105
4,3:39.0,,J. Collins misses 3-pt jump shot from 26 ft,101,105
4,3:34.0,Defensive rebound by J. Harris,,101,105
4,3:31.0,S. Dinwiddie misses 2-pt dunk from 1 ft (block by J. Collins),,101,105
4,3:31.0,Offensive rebound by J. Allen,,101,105
4,3:31.0,J. Allen makes 2-pt layup from 1 ft,,103,105
4,3:31.0,Shooting foul by K. Bazemore (drawn by J. Allen),,103,105
4,3:31.0,,A. Len enters the game for V. Carter,103,105
4,3:31.0,J. Allen misses free throw 1 of 1,,103,105
4,3:31.0,,Defensive rebound by J. Collins,103,105
4,3:12.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),103,107
4,2:58.0,J. Allen makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,105,107
4,2:38.0,,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),105,109
4,2:15.0,J. Allen makes 2-pt layup from 3 ft (assist by S. Dinwiddie),,107,109
4,2:15.0,Personal foul by A. Len (drawn by J. Allen),,107,109
4,2:15.0,J. Allen makes free throw 1 of 1,,108,109
4,2:04.0,,T. Young misses 2-pt jump shot from 11 ft,108,109
4,2:00.0,Defensive rebound by J. Harris,,108,109
4,1:44.0,D. Russell misses 3-pt jump shot from 25 ft,,108,109
4,1:42.0,Offensive rebound by J. Harris,,108,109
4,1:40.0,,Atlanta full timeout,108,109
4,1:40.0,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Harris),,111,109
4,1:40.0,,K. Huerter enters the game for K. Bazemore,111,109
4,1:26.0,,K. Huerter misses 2-pt layup from 1 ft,111,109
4,1:25.0,Defensive rebound by D. Carroll,,111,109
4,1:25.0,Personal foul by K. Huerter (drawn by D. Carroll),,111,109
4,1:25.0,D. Carroll makes free throw 1 of 2,,112,109
4,1:25.0,D. Carroll makes free throw 2 of 2,,113,109
4,1:18.0,,Personal foul by S. Dinwiddie (drawn by T. Young),113,109
4,1:18.0,,T. Young makes free throw 1 of 2,113,110
4,1:18.0,,T. Young misses free throw 2 of 2,113,110
4,1:18.0,Defensive rebound by S. Dinwiddie,,113,110
4,1:11.0,S. Dinwiddie misses 2-pt layup from 2 ft,,113,110
4,1:08.0,,Defensive rebound by T. Young,113,110
4,1:03.0,,J. Collins makes 2-pt layup at rim (assist by T. Young),113,112
4,1:03.0,Brooklyn full timeout,,113,112
4,1:03.0,Away from play foul by A. Len (drawn by J. Harris),,113,112
4,1:03.0,D. Russell misses free throw 1 of 1,,113,112
4,1:03.0,Offensive rebound by Team,,113,112
4,0:53.0,D. Russell misses 2-pt layup from 8 ft,,113,112
4,0:52.0,Offensive rebound by Team,,113,112
4,0:45.0,S. Dinwiddie misses 2-pt layup from 3 ft,,113,112
4,0:43.0,,Defensive rebound by T. Young,113,112
4,0:26.0,,T. Prince misses 3-pt jump shot from 25 ft,113,112
4,0:23.0,,Offensive rebound by J. Collins,113,112
4,0:22.0,,Turnover by J. Collins (lost ball; steal by J. Allen),113,112
4,0:16.0,Personal foul by J. Collins (drawn by J. Harris),,113,112
4,0:16.0,J. Harris misses free throw 1 of 2,,113,112
4,0:16.0,Offensive rebound by Team,,113,112
4,0:16.0,J. Harris makes free throw 2 of 2,,114,112
4,0:16.0,,Atlanta full timeout,114,112
4,0:16.0,R. Kurucs enters the game for D. Russell,,114,112
4,0:16.0,,V. Carter enters the game for A. Len,114,112
4,0:01.0,,V. Carter misses 3-pt jump shot from 29 ft,114,112
4,0:01.0,,Offensive rebound by Team,114,112
