QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,NEW YORK_ACTION,NEW ORLEANS_SCORE,NEW YORK_SCORE
4,7:22.0,C. Diallo misses 2-pt layup from 2 ft,,97,91
4,7:20.0,,Defensive rebound by N. Vonleh,97,91
4,7:15.0,,T. Burke misses 3-pt jump shot from 26 ft,97,91
4,7:11.0,,Offensive rebound by N. Vonleh,97,91
4,7:10.0,,Personal foul by C. Diallo (drawn by T. Burke),97,91
4,7:10.0,,E. Mudiay enters the game for T. Burke,97,91
4,7:05.0,,Shooting foul by C. Diallo (drawn by A. Trier),97,91
4,7:05.0,,A. Trier misses free throw 1 of 2,97,91
4,7:05.0,,Offensive rebound by Team,97,91
4,7:05.0,,A. Trier makes free throw 2 of 2,97,92
4,6:55.0,D. Miller misses 2-pt layup from 2 ft,,97,92
4,6:51.0,,Defensive rebound by E. Freedom,97,92
4,6:44.0,,N. Vonleh misses 3-pt jump shot from 25 ft,97,92
4,6:41.0,Defensive rebound by C. Diallo,,97,92
4,6:30.0,J. Holiday makes 2-pt jump shot from 15 ft,,99,92
4,6:17.0,,Turnover by E. Mudiay (traveling),99,92
4,6:17.0,E. Moore enters the game for D. Miller,,99,92
4,6:00.0,J. Randle makes 2-pt layup from 1 ft (assist by J. Holiday),,101,92
4,6:00.0,,New York full timeout,101,92
4,5:44.0,,E. Mudiay makes 2-pt jump shot from 19 ft (assist by N. Vonleh),101,94
4,5:21.0,Turnover by E. Moore (bad pass; steal by E. Mudiay),,101,94
4,5:17.0,,T. Hardaway misses 2-pt layup from 1 ft (block by C. Diallo),101,94
4,5:14.0,Defensive rebound by I. Clark,,101,94
4,5:07.0,C. Diallo misses 2-pt layup at rim,,101,94
4,5:06.0,,Defensive rebound by Team,101,94
4,4:57.0,,E. Mudiay makes 2-pt layup from 1 ft,101,96
4,4:45.0,J. Holiday misses 2-pt jump shot from 10 ft,,101,96
4,4:43.0,,Defensive rebound by N. Vonleh,101,96
4,4:35.0,,E. Mudiay misses 2-pt jump shot from 15 ft,101,96
4,4:34.0,,Offensive rebound by Team,101,96
4,4:34.0,Loose ball foul by C. Diallo (drawn by E. Freedom),,101,96
4,4:34.0,N. Mirotić enters the game for C. Diallo,,101,96
4,4:29.0,Violation by Team (kicked ball),,101,96
4,4:26.0,,Personal foul by I. Clark (drawn by E. Mudiay),101,96
4,4:16.0,,E. Mudiay misses 2-pt jump shot from 13 ft,101,96
4,4:10.0,,Offensive rebound by E. Freedom,101,96
4,4:10.0,,E. Freedom misses 2-pt layup at rim,101,96
4,4:09.0,Defensive rebound by J. Randle,,101,96
4,3:58.0,J. Randle misses 2-pt hook shot from 2 ft,,101,96
4,3:58.0,Offensive rebound by J. Randle,,101,96
4,3:58.0,Shooting foul by E. Mudiay (drawn by J. Randle),,101,96
4,3:58.0,J. Randle makes free throw 1 of 2,,102,96
4,3:58.0,J. Randle makes free throw 2 of 2,,103,96
4,3:46.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by A. Trier),103,99
4,3:27.0,I. Clark misses 3-pt jump shot from 24 ft,,103,99
4,3:25.0,,Defensive rebound by E. Freedom,103,99
4,3:18.0,,Shooting foul by I. Clark (drawn by E. Mudiay),103,99
4,3:18.0,New Orleans full timeout,,103,99
4,3:18.0,A. Davis enters the game for I. Clark,,103,99
4,3:18.0,W. Johnson enters the game for J. Randle,,103,99
4,3:18.0,,E. Mudiay makes free throw 1 of 2,103,100
4,3:18.0,,E. Mudiay misses free throw 2 of 2,103,100
4,3:15.0,,Offensive rebound by T. Hardaway,103,100
4,3:13.0,,E. Mudiay misses 3-pt jump shot from 24 ft,103,100
4,3:10.0,Defensive rebound by J. Holiday,,103,100
4,2:53.0,J. Holiday misses 2-pt jump shot from 12 ft,,103,100
4,2:51.0,,Defensive rebound by A. Trier,103,100
4,2:34.0,,A. Trier makes 2-pt layup from 1 ft,103,102
4,2:14.0,E. Moore misses 3-pt jump shot from 26 ft,,103,102
4,2:12.0,,Defensive rebound by A. Trier,103,102
4,2:07.0,,Personal foul by J. Holiday (drawn by A. Trier),103,102
4,2:07.0,D. Miller enters the game for W. Johnson,,103,102
4,2:07.0,,A. Trier makes free throw 1 of 2,103,103
4,2:07.0,,A. Trier makes free throw 2 of 2,103,104
4,1:53.0,J. Holiday misses 2-pt layup from 1 ft,,103,104
4,1:50.0,,Defensive rebound by N. Vonleh,103,104
4,1:31.0,,E. Mudiay misses 2-pt jump shot from 8 ft,103,104
4,1:30.0,,Offensive rebound by E. Freedom,103,104
4,1:29.0,,Turnover by Team (shot clock),103,104
4,1:29.0,New Orleans full timeout,,103,104
4,1:09.0,Turnover by J. Holiday (bad pass; steal by E. Mudiay),,103,104
4,1:09.0,,Personal foul by D. Miller (drawn by E. Mudiay),103,104
4,1:09.0,,E. Mudiay makes free throw 1 of 2,103,105
4,1:09.0,,E. Mudiay makes free throw 2 of 2,103,106
4,0:54.0,N. Mirotić misses 3-pt jump shot from 30 ft,,103,106
4,0:51.0,,Defensive rebound by A. Trier,103,106
4,0:34.0,,E. Mudiay makes 2-pt layup at rim,103,108
4,0:23.0,E. Moore makes 3-pt jump shot from 26 ft (assist by J. Holiday),,106,108
4,0:16.0,,Personal foul by A. Davis (drawn by E. Mudiay),106,108
4,0:16.0,,E. Mudiay makes free throw 1 of 2,106,109
4,0:16.0,,E. Mudiay makes free throw 2 of 2,106,110
4,0:11.0,Shooting foul by A. Trier (drawn by J. Holiday),,106,110
4,0:11.0,J. Holiday makes free throw 1 of 2,,107,110
4,0:11.0,J. Holiday misses free throw 2 of 2,,107,110
4,0:10.0,,Defensive rebound by A. Trier,107,110
4,0:10.0,,Personal take foul by E. Moore (drawn by A. Trier),107,110
4,0:10.0,,F. Ntilikina enters the game for E. Freedom,107,110
4,0:10.0,,A. Trier misses free throw 1 of 2,107,110
4,0:10.0,,Offensive rebound by Team,107,110
4,0:10.0,,A. Trier makes free throw 2 of 2,107,111
4,0:10.0,New Orleans full timeout,,107,111
4,0:08.0,A. Davis makes 2-pt dunk from 1 ft (assist by D. Miller),,109,111
4,0:08.0,,New York full timeout,109,111
4,0:08.0,W. Johnson enters the game for N. Mirotić,,109,111
4,0:08.0,,Away from play foul by E. Moore (drawn by T. Hardaway),109,111
4,0:08.0,,E. Mudiay makes free throw 1 of 1,109,112
4,0:07.0,,Personal take foul by E. Moore (drawn by T. Hardaway),109,112
4,0:07.0,,T. Hardaway makes free throw 1 of 2,109,113
4,0:07.0,,T. Hardaway makes free throw 2 of 2,109,114
4,0:00.0,J. Holiday misses 3-pt jump shot from 32 ft,,109,114
4,0:00.0,Offensive rebound by Team,,109,114
