QUARTER,TIME_REMAINING,DENVER_ACTION,INDIANA_ACTION,DENVER_SCORE,INDIANA_SCORE
4,2:18.0,,Defensive rebound by E. Sumner,78,117
4,2:12.0,,A. Holiday misses 3-pt jump shot from 26 ft,78,117
4,2:08.0,Defensive rebound by T. Lyles,,78,117
4,2:04.0,M. Morris makes 2-pt layup from 1 ft (assist by T. Lyles),,80,117
4,1:47.0,,K. O'Quinn makes 2-pt jump shot from 15 ft (assist by E. Sumner),80,119
4,1:38.0,M. Morris misses 2-pt jump shot from 17 ft,,80,119
4,1:35.0,,Defensive rebound by A. Holiday,80,119
4,1:30.0,,K. O'Quinn makes 2-pt dunk at rim (assist by A. Holiday),80,121
4,1:30.0,Denver full timeout,,80,121
4,1:20.0,Personal foul by A. Johnson (drawn by J. Hernangómez),,80,121
4,1:12.0,M. Morris makes 2-pt jump shot from 15 ft,,82,121
4,0:59.0,,Shooting foul by T. Lyles (drawn by T. Leaf),82,121
4,0:59.0,,T. Leaf misses free throw 1 of 2,82,121
4,0:59.0,,Offensive rebound by Team,82,121
4,0:59.0,,T. Leaf makes free throw 2 of 2,82,122
4,0:47.0,Shooting foul by K. O'Quinn (drawn by T. Lyles),,82,122
4,0:47.0,T. Lyles makes free throw 1 of 2,,83,122
4,0:47.0,T. Lyles makes free throw 2 of 2,,84,122
4,0:32.0,,T. Leaf makes 2-pt hook shot from 9 ft (assist by K. O'Quinn),84,124
4,0:16.0,T. Lyles misses 2-pt jump shot from 6 ft,,84,124
4,0:13.0,Offensive rebound by Team,,84,124
4,0:11.0,M. Morris misses 3-pt jump shot from 23 ft,,84,124
4,0:08.0,Offensive rebound by M. Morris,,84,124
4,0:07.0,M. Morris makes 2-pt layup from 1 ft,,86,124
4,0:07.0,,Turnover by K. O'Quinn (bad pass; steal by J. Vanderbilt),86,124
4,0:03.0,Shooting foul by K. O'Quinn (drawn by J. Hernangómez),,86,124
4,0:03.0,J. Hernangómez makes free throw 1 of 2,,87,124
4,0:03.0,J. Hernangómez makes free throw 2 of 2,,88,124
