QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
4,4:05.0,,J. Valančiūnas enters the game for J. Noah,101,100
4,3:59.0,M. Belinelli misses 3-pt jump shot from 25 ft,,101,100
4,3:57.0,,Defensive rebound by J. Valančiūnas,101,100
4,3:50.0,,A. Bradley makes 2-pt jump shot from 15 ft,101,102
4,3:35.0,D. DeRozan misses 2-pt jump shot from 14 ft,,101,102
4,3:31.0,Offensive rebound by L. Aldridge,,101,102
4,3:31.0,L. Aldridge makes 2-pt layup from 1 ft,,103,102
4,3:21.0,,J. Valančiūnas makes 2-pt layup from 7 ft (assist by C. Miles),103,104
4,3:19.0,San Antonio full timeout,,103,104
4,3:19.0,D. Bertāns enters the game for M. Belinelli,,103,104
4,3:19.0,,D. Wright enters the game for C. Miles,103,104
4,3:02.0,L. Aldridge makes 2-pt jump shot from 7 ft (assist by R. Gay),,105,104
4,2:44.0,,J. Jackson misses 2-pt hook shot from 7 ft (block by R. Gay),105,104
4,2:40.0,Defensive rebound by R. Gay,,105,104
4,2:26.0,L. Aldridge makes 2-pt hook shot from 1 ft (assist by R. Gay),,107,104
4,2:01.0,,J. Valančiūnas misses 2-pt hook shot from 6 ft,107,104
4,1:59.0,Defensive rebound by R. Gay,,107,104
4,1:45.0,D. Bertāns misses 2-pt jump shot from 18 ft,,107,104
4,1:40.0,,Defensive rebound by D. Wright,107,104
4,1:33.0,,D. Wright misses 2-pt jump shot from 14 ft,107,104
4,1:31.0,Defensive rebound by R. Gay,,107,104
4,1:19.0,D. DeRozan misses 2-pt jump shot from 22 ft,,107,104
4,1:16.0,,Defensive rebound by D. Wright,107,104
4,1:07.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by A. Bradley),107,106
4,0:51.0,Shooting foul by J. Valančiūnas (drawn by L. Aldridge),,107,106
4,0:51.0,,C. Miles enters the game for J. Valančiūnas,107,106
4,0:51.0,L. Aldridge makes free throw 1 of 2,,108,106
4,0:51.0,L. Aldridge misses free throw 2 of 2,,108,106
4,0:49.0,,Defensive rebound by J. Holiday,108,106
4,0:39.0,,J. Jackson misses 3-pt jump shot from 27 ft,108,106
4,0:36.0,Defensive rebound by D. Bertāns,,108,106
4,0:16.0,D. DeRozan misses 2-pt jump shot from 12 ft,,108,106
4,0:12.0,,Defensive rebound by A. Bradley,108,106
4,0:01.0,,Shooting foul by L. Aldridge (drawn by J. Jackson),108,106
4,0:01.0,,J. Jackson misses free throw 1 of 2,108,106
4,0:01.0,,Offensive rebound by Team,108,106
4,0:01.0,J. Poeltl enters the game for D. Bertāns,,108,106
4,0:01.0,,J. Noah enters the game for J. Holiday,108,106
4,0:01.0,,J. Valančiūnas enters the game for D. Wright,108,106
4,0:01.0,,J. Jackson makes free throw 2 of 2,108,107
4,0:01.0,San Antonio full timeout,,108,107
