QUARTER,TIME_REMAINING,TORONTO_ACTION,LA CLIPPERS_ACTION,TORONTO_SCORE,LA CLIPPERS_SCORE
4,3:01.0,,Offensive rebound by M. Teodosić,115,92
4,2:50.0,,Turnover by M. Teodosić (bad pass),115,92
4,2:50.0,Toronto full timeout,,115,92
4,2:43.0,Personal foul by M. Scott (drawn by C. Miles),,115,92
4,2:43.0,C. Miles makes free throw 1 of 2,,116,92
4,2:43.0,C. Miles makes free throw 2 of 2,,117,92
4,2:27.0,,Turnover by B. Marjanović (lost ball; steal by G. Monroe),117,92
4,2:25.0,Turnover by M. Richardson (out of bounds lost ball),,117,92
4,2:18.0,,Shooting foul by L. Brown (drawn by T. Wallace),117,92
4,2:18.0,,T. Wallace makes free throw 1 of 2,117,93
4,2:18.0,,T. Wallace misses free throw 2 of 2,117,93
4,2:13.0,,Offensive rebound by M. Scott,117,93
4,2:07.0,,B. Marjanović makes 2-pt dunk from 3 ft (assist by T. Wallace),117,95
4,1:47.0,M. Richardson makes 3-pt jump shot from 25 ft (assist by D. Wright),,120,95
4,1:33.0,,M. Scott misses 2-pt jump shot from 9 ft,120,95
4,1:31.0,Defensive rebound by C. Miles,,120,95
4,1:27.0,L. Brown misses 2-pt layup from 3 ft,,120,95
4,1:24.0,,Defensive rebound by S. Thornwell,120,95
4,1:20.0,,Shooting foul by G. Monroe (drawn by B. Marjanović),120,95
4,1:20.0,,B. Marjanović makes free throw 1 of 2,120,96
4,1:20.0,,B. Marjanović makes free throw 2 of 2,120,97
4,1:06.0,C. Miles makes 3-pt jump shot from 29 ft (assist by L. Brown),,123,97
4,0:57.0,,Personal foul by D. Wright (drawn by M. Scott),123,97
4,0:57.0,,M. Scott makes free throw 1 of 2,123,98
4,0:57.0,,M. Scott makes free throw 2 of 2,123,99
4,0:36.0,G. Monroe misses 2-pt hook shot from 4 ft,,123,99
4,0:34.0,,Defensive rebound by B. Marjanović,123,99
4,0:27.0,,M. Scott misses 2-pt jump shot from 6 ft,123,99
4,0:19.0,Defensive rebound by G. Monroe,,123,99
4,0:03.0,Turnover by Team (shot clock),,123,99
