QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
4,3:52.0,,A. Holiday enters the game for T. Evans,81,113
4,3:52.0,,T. Leaf enters the game for T. Young,81,113
4,3:52.0,,D. McDermott misses free throw 1 of 1,81,113
4,3:51.0,Defensive rebound by S. Johnson,,81,113
4,3:33.0,J. Leuer makes 2-pt layup at rim (assist by J. Calderón),,83,113
4,3:21.0,,K. O'Quinn makes 2-pt jump shot from 14 ft (assist by A. Holiday),83,115
4,3:11.0,Personal foul by T. Leaf (drawn by J. Leuer),,83,115
4,3:11.0,J. Leuer misses free throw 1 of 2,,83,115
4,3:11.0,Offensive rebound by Team,,83,115
4,3:11.0,,D. Reed enters the game for C. Joseph,83,115
4,3:11.0,J. Leuer makes free throw 2 of 2,,84,115
4,3:02.0,,K. O'Quinn misses 3-pt jump shot from 27 ft,84,115
4,2:59.0,Defensive rebound by S. Johnson,,84,115
4,2:45.0,B. Brown misses 2-pt layup at rim,,84,115
4,2:41.0,Offensive rebound by Team,,84,115
4,2:37.0,K. Thomas misses 3-pt jump shot from 26 ft,,84,115
4,2:35.0,,Defensive rebound by T. Leaf,84,115
4,2:26.0,,A. Holiday makes 2-pt jump shot from 16 ft,84,117
4,2:14.0,B. Brown misses 2-pt layup at rim,,84,117
4,2:12.0,,Defensive rebound by K. O'Quinn,84,117
4,2:04.0,,A. Holiday makes 3-pt jump shot from 28 ft (assist by K. O'Quinn),84,120
4,1:46.0,J. Leuer misses 2-pt jump shot from 18 ft,,84,120
4,1:45.0,,Defensive rebound by D. McDermott,84,120
4,1:38.0,,Turnover by A. Holiday (bad pass; steal by J. Leuer),84,120
4,1:33.0,B. Brown makes 2-pt layup from 1 ft (assist by J. Calderón),,86,120
4,1:19.0,,T. Leaf makes 3-pt jump shot from 27 ft (assist by A. Holiday),86,123
4,1:02.0,B. Brown misses 2-pt layup from 3 ft (block by K. O'Quinn),,86,123
4,1:02.0,Offensive rebound by Team,,86,123
4,1:00.0,B. Brown makes 2-pt jump shot from 7 ft (assist by J. Calderón),,88,123
4,0:49.0,,D. Reed misses 2-pt jump shot from 19 ft,88,123
4,0:46.0,Defensive rebound by K. Thomas,,88,123
4,0:41.0,B. Brown misses 3-pt jump shot from 28 ft,,88,123
4,0:38.0,,Defensive rebound by K. O'Quinn,88,123
4,0:23.0,,K. O'Quinn misses 2-pt layup from 1 ft,88,123
4,0:21.0,Defensive rebound by J. Calderón,,88,123
4,0:15.0,S. Johnson misses 3-pt jump shot from 24 ft,,88,123
4,0:12.0,Offensive rebound by B. Brown,,88,123
4,0:11.0,B. Brown misses 2-pt layup at rim,,88,123
4,0:11.0,,Defensive rebound by T. Leaf,88,123
4,0:01.0,,K. O'Quinn makes 2-pt jump shot from 9 ft (assist by A. Holiday),88,125
