QUARTER,TIME_REMAINING,DENVER_ACTION,NEW YORK_ACTION,DENVER_SCORE,NEW YORK_SCORE
4,4:23.0,J. Murray makes 2-pt layup from 3 ft,,103,85
4,4:02.0,,K. Knox misses 3-pt jump shot from 25 ft,103,85
4,4:00.0,Defensive rebound by W. Barton,,103,85
4,3:36.0,J. Murray makes 2-pt jump shot from 11 ft,,105,85
4,3:11.0,,Personal foul by M. Beasley (drawn by D. Dotson),105,85
4,3:11.0,J. Hernangómez enters the game for W. Barton,,105,85
4,3:11.0,M. Morris enters the game for J. Murray,,105,85
4,3:11.0,J. Vanderbilt enters the game for M. Plumlee,,105,85
4,3:11.0,,K. Allen enters the game for K. Knox,105,85
4,3:11.0,,H. Ellenson enters the game for E. Mudiay,105,85
4,3:11.0,,J. Jenkins enters the game for F. Ntilikina,105,85
4,3:11.0,,L. Kornet enters the game for M. Robinson,105,85
4,2:59.0,,L. Kornet misses 2-pt hook shot from 4 ft,105,85
4,2:57.0,Defensive rebound by M. Beasley,,105,85
4,2:39.0,M. Beasley misses 3-pt jump shot from 26 ft,,105,85
4,2:37.0,,Defensive rebound by J. Jenkins,105,85
4,2:18.0,,H. Ellenson misses 3-pt jump shot from 27 ft,105,85
4,2:16.0,Defensive rebound by M. Beasley,,105,85
4,2:13.0,Turnover by M. Beasley (out of bounds lost ball),,105,85
4,2:13.0,T. Lyles enters the game for M. Morris,,105,85
4,1:59.0,,J. Jenkins misses 3-pt jump shot from 25 ft,105,85
4,1:57.0,Defensive rebound by T. Craig,,105,85
4,1:41.0,Turnover by J. Hernangómez (lost ball; steal by K. Allen),,105,85
4,1:28.0,,D. Dotson makes 2-pt jump shot from 19 ft,105,87
4,1:15.0,M. Beasley misses 3-pt jump shot from 25 ft,,105,87
4,1:13.0,Offensive rebound by M. Beasley,,105,87
4,1:09.0,T. Craig makes 3-pt jump shot from 26 ft (assist by T. Lyles),,108,87
4,0:54.0,,H. Ellenson misses 2-pt hook shot from 6 ft,108,87
4,0:52.0,Defensive rebound by T. Craig,,108,87
4,0:41.0,T. Craig makes 3-pt jump shot from 26 ft,,111,87
4,0:31.0,,H. Ellenson makes 2-pt layup from 1 ft (assist by K. Allen),111,89
4,0:31.0,,Shooting foul by J. Vanderbilt (drawn by H. Ellenson),111,89
4,0:31.0,,H. Ellenson makes free throw 1 of 1,111,90
4,0:07.0,Turnover by Team (shot clock),,111,90
4,0:01.0,,J. Jenkins makes 3-pt jump shot from 24 ft (assist by K. Allen),111,93
