QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,OKLAHOMA CITY_ACTION,GOLDEN STATE_SCORE,OKLAHOMA CITY_SCORE
4,5:42.0,Personal foul by P. George (drawn by A. McKinnie),,95,78
4,5:24.0,D. Green makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,98,78
4,5:09.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),98,80
4,5:09.0,,Shooting foul by K. Looney (drawn by P. George),98,80
4,5:09.0,,P. George makes free throw 1 of 1,98,81
4,4:47.0,Shooting foul by S. Adams (drawn by K. Looney),,98,81
4,4:47.0,K. Looney misses free throw 1 of 2,,98,81
4,4:47.0,Offensive rebound by Team,,98,81
4,4:47.0,K. Looney misses free throw 2 of 2,,98,81
4,4:44.0,Offensive rebound by K. Looney,,98,81
4,4:43.0,K. Looney misses 2-pt layup from 2 ft,,98,81
4,4:40.0,,Defensive rebound by R. Westbrook,98,81
4,4:37.0,,P. George misses 3-pt jump shot from 25 ft,98,81
4,4:31.0,Defensive rebound by A. McKinnie,,98,81
4,4:27.0,S. Curry makes 2-pt layup from 2 ft,,100,81
4,4:27.0,Shooting foul by R. Westbrook (drawn by S. Curry),,100,81
4,4:27.0,S. Curry makes free throw 1 of 1,,101,81
4,4:21.0,,R. Westbrook makes 2-pt jump shot from 8 ft,101,83
4,4:12.0,Turnover by K. Looney (offensive foul),,101,83
4,4:12.0,Offensive foul by K. Looney (drawn by R. Westbrook),,101,83
4,4:07.0,,P. George makes 3-pt jump shot from 23 ft (assist by R. Westbrook),101,86
4,3:40.0,S. Curry misses 3-pt jump shot from 23 ft,,101,86
4,3:38.0,,Defensive rebound by Team,101,86
4,3:38.0,K. Thompson enters the game for A. McKinnie,,101,86
4,3:25.0,,D. Schröder misses 3-pt jump shot from 26 ft,101,86
4,3:20.0,,Offensive rebound by P. George,101,86
4,3:20.0,,P. George misses 3-pt jump shot from 26 ft,101,86
4,3:17.0,Defensive rebound by S. Curry,,101,86
4,3:02.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by A. Iguodala),,104,86
4,3:00.0,,Oklahoma City full timeout,104,86
4,3:00.0,J. Bell enters the game for S. Curry,,104,86
4,3:00.0,Q. Cook enters the game for D. Green,,104,86
4,3:00.0,A. McKinnie enters the game for A. Iguodala,,104,86
4,3:00.0,,D. Burton enters the game for S. Adams,104,86
4,3:00.0,,H. Diallo enters the game for P. George,104,86
4,3:00.0,,A. Nader enters the game for D. Schröder,104,86
4,3:00.0,,N. Noel enters the game for R. Westbrook,104,86
4,2:51.0,,D. Burton misses 2-pt layup from 2 ft,104,86
4,2:48.0,Defensive rebound by Q. Cook,,104,86
4,2:35.0,Turnover by Q. Cook (out of bounds lost ball),,104,86
4,2:21.0,,Turnover by T. Ferguson (out of bounds lost ball),104,86
4,2:21.0,J. Evans enters the game for K. Looney,,104,86
4,2:21.0,J. Jerebko enters the game for A. McKinnie,,104,86
4,2:21.0,D. Lee enters the game for K. Thompson,,104,86
4,1:57.0,J. Jerebko misses 2-pt jump shot from 8 ft,,104,86
4,1:53.0,,Defensive rebound by A. Nader,104,86
4,1:43.0,,A. Nader misses 3-pt jump shot from 27 ft,104,86
4,1:39.0,Defensive rebound by D. Lee,,104,86
4,1:28.0,J. Evans makes 2-pt jump shot from 16 ft,,106,86
4,1:17.0,,A. Nader misses 2-pt layup from 5 ft,106,86
4,1:13.0,Defensive rebound by J. Jerebko,,106,86
4,1:09.0,Turnover by D. Lee (traveling),,106,86
4,1:09.0,,P. Patterson enters the game for T. Ferguson,106,86
4,0:59.0,,Shooting foul by J. Evans (drawn by D. Burton),106,86
4,0:59.0,,D. Burton misses free throw 1 of 2,106,86
4,0:59.0,,Offensive rebound by Team,106,86
4,0:59.0,,D. Burton makes free throw 2 of 2,106,87
4,0:50.0,Q. Cook makes 2-pt jump shot from 6 ft,,108,87
4,0:41.0,,H. Diallo misses 2-pt jump shot from 19 ft,108,87
4,0:40.0,,Offensive rebound by Team,108,87
4,0:36.0,,Shooting foul by J. Bell (drawn by N. Noel),108,87
4,0:36.0,,N. Noel misses free throw 1 of 2,108,87
4,0:36.0,,Offensive rebound by Team,108,87
4,0:36.0,,N. Noel makes free throw 2 of 2,108,88
4,0:21.0,Shooting foul by H. Diallo (drawn by J. Jerebko),,108,88
4,0:21.0,J. Jerebko makes free throw 1 of 2,,109,88
4,0:21.0,J. Jerebko makes free throw 2 of 2,,110,88
4,0:08.0,,H. Diallo misses 2-pt layup from 3 ft (block by J. Bell),110,88
4,0:05.0,Defensive rebound by Q. Cook,,110,88
