QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
2,6:15.0,San Antonio full timeout,,35,39
2,6:15.0,,D. Lillard enters the game for S. Curry,35,39
2,6:15.0,,C. McCollum enters the game for N. Stauskas,35,39
2,6:01.0,D. Bertāns misses 3-pt jump shot from 25 ft,,35,39
2,5:58.0,,Defensive rebound by E. Turner,35,39
2,5:54.0,,Personal foul by D. Bertāns (drawn by E. Turner),35,39
2,5:54.0,P. Mills enters the game for B. Forbes,,35,39
2,5:46.0,,D. Lillard misses 2-pt jump shot from 9 ft,35,39
2,5:44.0,,Offensive rebound by M. Leonard,35,39
2,5:38.0,,C. McCollum misses 3-pt jump shot from 25 ft,35,39
2,5:35.0,Defensive rebound by R. Gay,,35,39
2,5:22.0,R. Gay makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,38,39
2,5:02.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by D. Lillard),38,42
2,4:38.0,Turnover by R. Gay (bad pass; steal by E. Turner),,38,42
2,4:24.0,,D. Lillard makes 2-pt jump shot from 4 ft,38,44
2,4:02.0,D. Bertāns misses 3-pt jump shot from 25 ft,,38,44
2,4:01.0,,Defensive rebound by E. Turner,38,44
2,3:54.0,,A. Aminu makes 3-pt jump shot from 25 ft (assist by E. Turner),38,47
2,3:54.0,,Loose ball foul by M. Leonard (drawn by L. Aldridge),38,47
2,3:54.0,P. Gasol enters the game for R. Gay,,38,47
2,3:54.0,,M. Harkless enters the game for M. Leonard,38,47
2,3:54.0,,J. Nurkić enters the game for E. Turner,38,47
2,3:36.0,P. Mills makes 3-pt jump shot from 24 ft,,41,47
2,3:17.0,,Turnover by M. Harkless (bad pass; steal by P. Mills),41,47
2,3:02.0,P. Mills misses 3-pt jump shot from 26 ft,,41,47
2,3:00.0,,Defensive rebound by J. Nurkić,41,47
2,2:55.0,,Shooting foul by D. DeRozan (drawn by D. Lillard),41,47
2,2:55.0,,Portland full timeout,41,47
2,2:55.0,M. Belinelli enters the game for D. Bertāns,,41,47
2,2:55.0,,D. Lillard makes free throw 1 of 3,41,48
2,2:55.0,,N. Stauskas enters the game for M. Harkless,41,48
2,2:55.0,,D. Lillard makes free throw 2 of 3,41,49
2,2:55.0,,D. Lillard makes free throw 3 of 3,41,50
2,2:45.0,D. DeRozan makes 2-pt jump shot from 6 ft (assist by P. Mills),,43,50
2,2:21.0,,J. Nurkić misses 2-pt jump shot from 18 ft,43,50
2,2:19.0,Defensive rebound by P. Gasol,,43,50
2,2:04.0,M. Belinelli misses 2-pt layup from 2 ft,,43,50
2,2:02.0,,Defensive rebound by A. Aminu,43,50
2,1:53.0,,D. Lillard makes 2-pt jump shot from 23 ft,43,52
2,1:42.0,D. DeRozan makes 2-pt layup from 2 ft,,45,52
2,1:33.0,,C. McCollum makes 2-pt layup from 1 ft,45,54
2,1:16.0,P. Gasol makes 2-pt dunk from 2 ft (assist by D. DeRozan),,47,54
2,1:04.0,,C. McCollum makes 3-pt jump shot from 25 ft,47,57
2,0:50.0,P. Gasol makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,50,57
2,0:34.0,,J. Nurkić makes 2-pt jump shot from 5 ft (assist by D. Lillard),50,59
2,0:25.0,P. Mills misses 3-pt jump shot from 25 ft,,50,59
2,0:23.0,,Defensive rebound by A. Aminu,50,59
2,0:23.0,D. Cunningham enters the game for P. Gasol,,50,59
2,0:23.0,B. Forbes enters the game for P. Mills,,50,59
