QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,UTAH_ACTION,PHILADELPHIA_SCORE,UTAH_SCORE
4,4:40.0,,Offensive rebound by R. Gobert,107,89
4,4:40.0,,R. Gobert makes 2-pt layup at rim,107,91
4,4:40.0,Philadelphia full timeout,,107,91
4,4:23.0,J. Embiid misses 3-pt jump shot from 26 ft,,107,91
4,4:21.0,,Defensive rebound by R. Rubio,107,91
4,4:21.0,,Personal foul by J. Embiid (drawn by R. Rubio),107,91
4,4:21.0,,R. Rubio makes free throw 1 of 2,107,92
4,4:21.0,W. Chandler enters the game for J. Embiid,,107,92
4,4:21.0,,R. Rubio makes free throw 2 of 2,107,93
4,4:02.0,B. Simmons makes 2-pt jump shot from 6 ft,,109,93
4,3:54.0,,R. Rubio misses 2-pt layup from 3 ft,109,93
4,3:52.0,,Offensive rebound by R. Gobert,109,93
4,3:48.0,,Turnover by R. Gobert (lost ball; steal by J. Butler),109,93
4,3:38.0,J. Redick misses 3-pt jump shot from 24 ft,,109,93
4,3:35.0,Offensive rebound by B. Simmons,,109,93
4,3:32.0,J. Butler makes 2-pt dunk from 2 ft (assist by B. Simmons),,111,93
4,3:13.0,,D. Mitchell misses 3-pt jump shot from 28 ft,111,93
4,3:10.0,Defensive rebound by B. Simmons,,111,93
4,2:58.0,J. Butler misses 2-pt jump shot from 15 ft,,111,93
4,2:56.0,,Defensive rebound by R. Gobert,111,93
4,2:51.0,,Personal foul by J. Butler (drawn by J. Ingles),111,93
4,2:51.0,,J. Ingles misses free throw 1 of 2,111,93
4,2:51.0,,Offensive rebound by Team,111,93
4,2:51.0,L. Shamet enters the game for J. Redick,,111,93
4,2:51.0,,E. Udoh enters the game for R. Gobert,111,93
4,2:51.0,,J. Ingles misses free throw 2 of 2,111,93
4,2:49.0,Defensive rebound by W. Chandler,,111,93
4,2:32.0,J. Butler misses 2-pt jump shot from 12 ft,,111,93
4,2:27.0,Offensive rebound by B. Simmons,,111,93
4,2:27.0,B. Simmons misses 2-pt layup from 1 ft,,111,93
4,2:26.0,,Defensive rebound by J. Ingles,111,93
4,2:23.0,,Turnover by E. Udoh (lost ball; steal by J. Butler),111,93
4,2:18.0,J. Butler makes 2-pt dunk from 1 ft,,113,93
4,1:58.0,,D. Mitchell makes 2-pt jump shot from 11 ft,113,95
4,1:58.0,Philadelphia full timeout,,113,95
4,1:58.0,J. Bolden enters the game for J. Butler,,113,95
4,1:58.0,D. Jackson enters the game for W. Chandler,,113,95
4,1:58.0,A. Johnson enters the game for M. Muscala,,113,95
4,1:58.0,F. Korkmaz enters the game for B. Simmons,,113,95
4,1:58.0,,D. Exum enters the game for J. Ingles,113,95
4,1:58.0,,R. Neto enters the game for D. Mitchell,113,95
4,1:58.0,,G. Niang enters the game for R. Rubio,113,95
4,1:58.0,,R. O'Neale enters the game for T. Sefolosha,113,95
4,1:42.0,Shooting foul by G. Niang (drawn by F. Korkmaz),,113,95
4,1:42.0,F. Korkmaz misses free throw 1 of 2,,113,95
4,1:42.0,Offensive rebound by Team,,113,95
4,1:42.0,F. Korkmaz makes free throw 2 of 2,,114,95
4,1:31.0,,D. Exum misses 2-pt jump shot from 8 ft,114,95
4,1:28.0,,Offensive rebound by G. Niang,114,95
4,1:16.0,,G. Niang misses 3-pt jump shot from 32 ft,114,95
4,1:16.0,Defensive rebound by L. Shamet,,114,95
4,0:56.0,L. Shamet misses 3-pt jump shot from 25 ft,,114,95
4,0:52.0,,Defensive rebound by E. Udoh,114,95
4,0:45.0,,E. Udoh makes 2-pt dunk from 2 ft (assist by D. Exum),114,97
4,0:34.0,F. Korkmaz misses 2-pt jump shot from 10 ft,,114,97
4,0:30.0,,Defensive rebound by R. Neto,114,97
4,0:25.0,,Turnover by R. O'Neale (bad pass),114,97
4,0:05.0,D. Jackson misses 3-pt jump shot from 25 ft,,114,97
4,0:01.0,,Defensive rebound by R. O'Neale,114,97
