QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
4,7:11.0,Shooting foul by D. DiVincenzo (drawn by K. Walker),,99,109
4,7:11.0,K. Walker misses free throw 1 of 2,,99,109
4,7:11.0,Offensive rebound by Team,,99,109
4,7:11.0,K. Walker misses free throw 2 of 2,,99,109
4,7:07.0,,Defensive rebound by N. Mirotić,99,109
4,6:55.0,,D. DiVincenzo makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),99,112
4,6:55.0,,Shooting foul by K. Walker (drawn by D. DiVincenzo),99,112
4,6:55.0,,D. DiVincenzo misses free throw 1 of 1,99,112
4,6:51.0,Defensive rebound by M. Williams,,99,112
4,6:44.0,Personal foul by B. Lopez (drawn by C. Zeller),,99,112
4,6:36.0,Turnover by M. Williams (bad pass; steal by B. Lopez),,99,112
4,6:32.0,,E. Bledsoe misses 2-pt jump shot from 6 ft,99,112
4,6:29.0,,Offensive rebound by E. Bledsoe,99,112
4,6:26.0,,N. Mirotić makes 3-pt jump shot from 27 ft (assist by K. Middleton),99,115
4,6:13.0,K. Walker misses 3-pt jump shot from 27 ft,,99,115
4,6:10.0,,Defensive rebound by K. Middleton,99,115
4,6:06.0,,K. Middleton misses 3-pt jump shot from 28 ft,99,115
4,6:05.0,Defensive rebound by Team,,99,115
4,6:05.0,M. Bridges enters the game for M. Williams,,99,115
4,5:53.0,K. Walker makes 2-pt layup from 2 ft,,101,115
4,5:41.0,,N. Mirotić makes 2-pt layup from 2 ft (assist by B. Lopez),101,117
4,5:28.0,N. Batum makes 3-pt jump shot from 27 ft,,104,117
4,5:10.0,,K. Middleton makes 2-pt layup from 1 ft,104,119
4,4:54.0,N. Batum misses 3-pt jump shot from 31 ft,,104,119
4,4:51.0,,Defensive rebound by K. Middleton,104,119
4,4:41.0,,D. DiVincenzo misses 3-pt jump shot from 22 ft,104,119
4,4:38.0,Defensive rebound by N. Batum,,104,119
4,4:34.0,M. Bridges misses 3-pt jump shot from 24 ft,,104,119
4,4:31.0,,Defensive rebound by K. Middleton,104,119
4,4:12.0,,K. Middleton makes 2-pt jump shot from 15 ft,104,121
4,4:00.0,K. Walker misses 3-pt jump shot from 28 ft,,104,121
4,3:53.0,Offensive rebound by N. Batum,,104,121
4,3:52.0,M. Bridges makes 2-pt layup from 1 ft (assist by N. Batum),,106,121
4,3:52.0,,Milwaukee full timeout,106,121
4,3:52.0,D. Graham enters the game for K. Walker,,106,121
4,3:52.0,W. Hernangómez enters the game for C. Zeller,,106,121
4,3:52.0,,G. Antetokounmpo enters the game for D. DiVincenzo,106,121
4,3:37.0,,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by N. Mirotić),106,124
4,3:25.0,D. Bacon misses 3-pt jump shot from 27 ft,,106,124
4,3:22.0,,Defensive rebound by G. Antetokounmpo,106,124
4,3:08.0,,Personal foul by D. Bacon (drawn by B. Lopez),106,124
4,3:08.0,M. Monk enters the game for N. Batum,,106,124
4,3:08.0,,E. İlyasova enters the game for B. Lopez,106,124
4,3:02.0,,G. Antetokounmpo misses 3-pt jump shot from 24 ft,106,124
4,2:54.0,Defensive rebound by D. Graham,,106,124
4,2:39.0,M. Monk makes 3-pt jump shot from 27 ft (assist by D. Graham),,109,124
4,2:30.0,,N. Mirotić makes 3-pt jump shot from 28 ft (assist by E. Bledsoe),109,127
4,2:09.0,M. Monk misses 3-pt jump shot from 27 ft,,109,127
4,2:09.0,Offensive rebound by Team,,109,127
4,2:09.0,,P. Connaughton enters the game for G. Antetokounmpo,109,127
4,2:09.0,,D. DiVincenzo enters the game for E. Bledsoe,109,127
4,2:09.0,,T. Snell enters the game for K. Middleton,109,127
4,2:09.0,,D. Wilson enters the game for N. Mirotić,109,127
4,2:04.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by M. Monk),,111,127
4,2:04.0,Shooting foul by D. DiVincenzo (drawn by W. Hernangómez),,111,127
4,2:04.0,W. Hernangómez makes free throw 1 of 1,,112,127
4,1:46.0,,E. İlyasova misses 3-pt jump shot from 28 ft,112,127
4,1:42.0,Defensive rebound by M. Bridges,,112,127
4,1:37.0,D. Bacon misses 2-pt jump shot from 6 ft,,112,127
4,1:37.0,,Defensive rebound by P. Connaughton,112,127
4,1:23.0,,E. İlyasova makes 2-pt jump shot from 17 ft (assist by T. Snell),112,129
4,1:14.0,D. Graham misses 3-pt jump shot from 30 ft,,112,129
4,1:10.0,,Defensive rebound by D. DiVincenzo,112,129
4,1:03.0,,Turnover by T. Snell (lost ball; steal by M. Monk),112,129
4,1:00.0,M. Bridges makes 2-pt dunk from 2 ft (assist by M. Monk),,114,129
4,0:45.0,,E. İlyasova makes 2-pt jump shot from 19 ft,114,131
4,0:31.0,M. Bridges misses 2-pt hook shot from 10 ft,,114,131
4,0:28.0,,Defensive rebound by D. Wilson,114,131
4,0:13.0,,D. DiVincenzo misses 3-pt jump shot from 28 ft,114,131
4,0:10.0,Defensive rebound by D. Graham,,114,131
4,0:03.0,D. Bacon misses 3-pt jump shot from 28 ft,,114,131
4,0:02.0,,Defensive rebound by Team,114,131
