QUARTER,TIME_REMAINING,BOSTON_ACTION,PHILADELPHIA_ACTION,BOSTON_SCORE,PHILADELPHIA_SCORE
4,6:23.0,Boston full timeout,,103,99
4,6:10.0,T. Rozier misses 3-pt jump shot from 26 ft,,103,99
4,6:06.0,Offensive rebound by M. Morris,,103,99
4,5:59.0,Shooting foul by J. Embiid (drawn by K. Irving),,103,99
4,5:59.0,K. Irving makes free throw 1 of 2,,104,99
4,5:59.0,K. Irving makes free throw 2 of 2,,105,99
4,5:38.0,,J. Ennis misses 2-pt jump shot from 17 ft,105,99
4,5:34.0,,Offensive rebound by J. Embiid,105,99
4,5:34.0,,J. Embiid misses 2-pt layup from 1 ft,105,99
4,5:34.0,,Offensive rebound by J. Embiid,105,99
4,5:31.0,,J. Butler makes 3-pt jump shot from 27 ft (assist by J. Ennis),105,102
4,5:18.0,D. Theis misses 2-pt jump shot from 21 ft,,105,102
4,5:15.0,,Defensive rebound by T. Harris,105,102
4,5:05.0,,J. Butler makes 3-pt jump shot from 25 ft,105,105
4,5:03.0,Boston full timeout,,105,105
4,5:03.0,J. Brown enters the game for T. Rozier,,105,105
4,5:03.0,A. Horford enters the game for D. Theis,,105,105
4,5:03.0,,M. Scott enters the game for J. Embiid,105,105
4,4:49.0,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Tatum),,108,105
4,4:27.0,,M. Scott misses 3-pt jump shot from 27 ft,108,105
4,4:23.0,Defensive rebound by A. Horford,,108,105
4,4:11.0,K. Irving misses 2-pt layup from 3 ft,,108,105
4,4:08.0,,Defensive rebound by M. Scott,108,105
4,4:04.0,,J. Butler misses 2-pt jump shot from 23 ft,108,105
4,4:04.0,,Offensive rebound by Team,108,105
4,4:04.0,,J. Embiid enters the game for J. Ennis,108,105
4,4:04.0,,J. Redick enters the game for M. Scott,108,105
4,3:59.0,,Shooting foul by A. Horford (drawn by J. Butler),108,105
4,3:59.0,,J. Butler makes free throw 1 of 2,108,106
4,3:59.0,,J. Butler makes free throw 2 of 2,108,107
4,3:45.0,Shooting foul by J. Redick (drawn by J. Brown),,108,107
4,3:45.0,J. Brown misses free throw 1 of 2,,108,107
4,3:45.0,Offensive rebound by Team,,108,107
4,3:45.0,Turnover by M. Morris (lane violation),,108,107
4,3:29.0,,Turnover by J. Embiid (dbl dribble),108,107
4,3:13.0,K. Irving misses 2-pt layup from 4 ft,,108,107
4,3:11.0,,Defensive rebound by J. Embiid,108,107
4,3:00.0,,J. Embiid makes 2-pt layup from 2 ft (assist by T. Harris),108,109
4,2:46.0,J. Tatum misses 3-pt jump shot from 23 ft,,108,109
4,2:46.0,,Defensive rebound by T. Harris,108,109
4,2:24.0,,J. Butler makes 2-pt layup from 1 ft,108,111
4,2:11.0,A. Horford makes 3-pt jump shot from 27 ft (assist by K. Irving),,111,111
4,1:54.0,,T. Harris makes 2-pt dunk from 1 ft (assist by J. Butler),111,113
4,1:40.0,K. Irving misses 3-pt jump shot from 25 ft,,111,113
4,1:36.0,,Defensive rebound by B. Simmons,111,113
4,1:24.0,,J. Butler misses 3-pt jump shot from 27 ft,111,113
4,1:20.0,,Offensive rebound by J. Butler,111,113
4,1:17.0,,J. Butler misses 3-pt jump shot from 27 ft,111,113
4,1:13.0,Defensive rebound by M. Morris,,111,113
4,1:07.0,J. Tatum makes 2-pt layup at rim (assist by M. Morris),,113,113
4,0:47.0,,Personal foul by A. Horford (drawn by J. Embiid),113,113
4,0:40.0,,B. Simmons makes 2-pt jump shot from 2 ft,113,115
4,0:40.0,,Shooting foul by M. Morris (drawn by B. Simmons),113,115
4,0:40.0,D. Theis enters the game for J. Brown,,113,115
4,0:40.0,,J. Ennis enters the game for J. Redick,113,115
4,0:40.0,,B. Simmons makes free throw 1 of 1,113,116
4,0:40.0,Boston full timeout,,113,116
4,0:40.0,J. Brown enters the game for D. Theis,,113,116
4,0:30.0,K. Irving misses 2-pt jump shot from 9 ft (block by J. Embiid),,113,116
4,0:26.0,Offensive rebound by M. Morris,,113,116
4,0:26.0,M. Morris misses 2-pt jump shot from 9 ft,,113,116
4,0:23.0,,Defensive rebound by J. Embiid,113,116
4,0:05.0,,J. Butler makes 2-pt jump shot from 18 ft,113,118
4,0:04.0,Boston full timeout,,113,118
4,0:04.0,Personal foul by B. Simmons (drawn by M. Morris),,113,118
4,0:01.0,K. Irving misses 3-pt jump shot from 27 ft,,113,118
4,0:01.0,Offensive rebound by J. Tatum,,113,118
4,0:00.0,J. Tatum makes 2-pt jump shot from 16 ft,,115,118
