QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MINNESOTA_ACTION,PHILADELPHIA_SCORE,MINNESOTA_SCORE
4,3:28.0,J. Butler misses 2-pt jump shot from 17 ft,,109,105
4,3:24.0,,Defensive rebound by J. Bayless,109,105
4,3:13.0,,K. Towns misses 2-pt hook shot from 7 ft,109,105
4,3:11.0,Defensive rebound by J. Butler,,109,105
4,2:52.0,T. Harris makes 2-pt jump shot from 8 ft,,111,105
4,2:32.0,,K. Towns misses 2-pt hook shot from 7 ft (block by J. Bolden),111,105
4,2:32.0,,A. Tolliver enters the game for D. Šarić,111,105
4,2:32.0,,Offensive rebound by Team,111,105
4,2:25.0,,A. Wiggins misses 3-pt jump shot from 25 ft,111,105
4,2:21.0,Defensive rebound by B. Simmons,,111,105
4,2:06.0,J. Bolden makes 3-pt jump shot from 24 ft (assist by J. Redick),,114,105
4,2:05.0,,Minnesota full timeout,114,105
4,1:56.0,,C. Reynolds makes 3-pt jump shot from 25 ft (assist by J. Bayless),114,108
4,1:34.0,Offensive foul by B. Simmons (drawn by K. Towns),,114,108
4,1:34.0,Turnover by B. Simmons (offensive foul),,114,108
4,1:23.0,,Shooting foul by J. Butler (drawn by K. Towns),114,108
4,1:23.0,,K. Towns makes free throw 1 of 2,114,109
4,1:23.0,,K. Towns misses free throw 2 of 2,114,109
4,1:21.0,Defensive rebound by T. Harris,,114,109
4,1:03.0,T. Harris misses 2-pt jump shot from 19 ft,,114,109
4,1:00.0,,Defensive rebound by C. Reynolds,114,109
4,0:52.0,,J. Bayless misses 2-pt layup from 2 ft,114,109
4,0:50.0,Defensive rebound by T. Harris,,114,109
4,0:44.0,Turnover by (8 sec),,114,109
4,0:37.0,,A. Wiggins misses 2-pt jump shot from 19 ft,114,109
4,0:37.0,Defensive rebound by T. Harris,,114,109
4,0:27.0,Personal take foul by J. Bayless (drawn by J. Butler),,114,109
4,0:27.0,J. Butler makes free throw 1 of 2,,115,109
4,0:27.0,J. Butler makes free throw 2 of 2,,116,109
4,0:27.0,J. Ennis enters the game for J. Redick,,116,109
4,0:20.0,,J. Bayless misses 2-pt layup from 1 ft,116,109
4,0:19.0,Defensive rebound by J. Ennis,,116,109
4,0:16.0,Personal take foul by A. Tolliver (drawn by T. Harris),,116,109
4,0:16.0,T. Harris makes free throw 1 of 2,,117,109
4,0:16.0,T. Harris makes free throw 2 of 2,,118,109
4,0:05.0,,A. Wiggins misses 3-pt jump shot from 25 ft,118,109
4,0:02.0,Defensive rebound by B. Simmons,,118,109
