QUARTER,TIME_REMAINING,BROOKLYN_ACTION,UTAH_ACTION,BROOKLYN_SCORE,UTAH_SCORE
4,8:08.0,,Offensive foul by R. Gobert (drawn by C. LeVert),78,94
4,8:08.0,,Turnover by R. Gobert (offensive foul),78,94
4,8:08.0,,R. Neto enters the game for J. Crowder,78,94
4,8:08.0,,G. Niang enters the game for J. Ingles,78,94
4,8:08.0,,R. O'Neale enters the game for K. Korver,78,94
4,7:52.0,R. Hollis-Jefferson makes 2-pt layup from 3 ft (assist by C. LeVert),,80,94
4,7:51.0,,G. Niang makes 3-pt jump shot from 23 ft (assist by R. Neto),80,97
4,7:27.0,C. LeVert misses 3-pt jump shot from 25 ft,,80,97
4,7:23.0,,Defensive rebound by G. Niang,80,97
4,7:17.0,,R. Neto misses 3-pt jump shot from 25 ft,80,97
4,7:13.0,Defensive rebound by R. Hollis-Jefferson,,80,97
4,7:09.0,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,,80,97
4,7:06.0,,Defensive rebound by R. Gobert,80,97
4,6:52.0,,D. Mitchell misses 2-pt layup from 3 ft,80,97
4,6:50.0,,Offensive rebound by R. Gobert,80,97
4,6:50.0,,R. Gobert misses 2-pt layup from 2 ft,80,97
4,6:50.0,,Offensive rebound by R. Gobert,80,97
4,6:47.0,,Turnover by G. Niang (bad pass; steal by C. LeVert),80,97
4,6:41.0,T. Pinson makes 3-pt jump shot from 25 ft (assist by C. LeVert),,83,97
4,6:38.0,,Utah full timeout,83,97
4,6:38.0,,R. Rubio enters the game for R. Neto,83,97
4,6:25.0,,D. Mitchell makes 3-pt jump shot from 27 ft (assist by R. O'Neale),83,100
4,6:12.0,T. Pinson misses 3-pt jump shot from 26 ft,,83,100
4,6:08.0,,Defensive rebound by R. Gobert,83,100
4,5:59.0,,D. Mitchell misses 2-pt jump shot from 14 ft,83,100
4,5:55.0,Defensive rebound by C. LeVert,,83,100
4,5:48.0,T. Graham misses 3-pt jump shot from 23 ft,,83,100
4,5:45.0,,Defensive rebound by R. Gobert,83,100
4,5:30.0,,G. Niang misses 3-pt jump shot from 25 ft,83,100
4,5:27.0,,Offensive rebound by R. Rubio,83,100
4,5:13.0,,D. Mitchell misses 2-pt jump shot from 14 ft,83,100
4,5:10.0,Defensive rebound by T. Pinson,,83,100
4,5:04.0,Shooting foul by R. O'Neale (drawn by T. Pinson),,83,100
4,5:04.0,T. Pinson makes free throw 1 of 2,,84,100
4,5:04.0,A. Williams enters the game for C. LeVert,,84,100
4,5:04.0,T. Pinson makes free throw 2 of 2,,85,100
4,4:54.0,,R. Rubio makes 2-pt layup from 2 ft,85,102
4,4:48.0,T. Graham misses 3-pt jump shot from 24 ft,,85,102
4,4:45.0,,Defensive rebound by G. Niang,85,102
4,4:35.0,,R. Rubio misses 2-pt jump shot from 6 ft,85,102
4,4:32.0,Defensive rebound by A. Williams,,85,102
4,4:26.0,A. Williams makes 2-pt jump shot from 9 ft (assist by T. Pinson),,87,102
4,4:08.0,,Shooting foul by R. Hollis-Jefferson (drawn by D. Mitchell),87,102
4,4:08.0,,D. Mitchell makes free throw 1 of 2,87,103
4,4:08.0,,J. Crowder enters the game for G. Niang,87,103
4,4:08.0,,J. Ingles enters the game for R. O'Neale,87,103
4,4:08.0,,D. Mitchell makes free throw 2 of 2,87,104
4,3:53.0,Shooting foul by J. Crowder (drawn by T. Pinson),,87,104
4,3:53.0,T. Pinson misses free throw 1 of 2,,87,104
4,3:53.0,Offensive rebound by Team,,87,104
4,3:53.0,T. Pinson makes free throw 2 of 2,,88,104
4,3:36.0,,R. Rubio misses 2-pt jump shot from 15 ft,88,104
4,3:34.0,,Offensive rebound by R. Rubio,88,104
4,3:26.0,,Turnover by R. Rubio (lost ball; steal by A. Williams),88,104
4,3:22.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,88,104
4,3:19.0,,Defensive rebound by J. Ingles,88,104
4,3:16.0,,Personal foul by T. Pinson (drawn by R. Rubio),88,104
4,3:16.0,,R. Rubio makes free throw 1 of 2,88,105
4,3:16.0,,R. Rubio makes free throw 2 of 2,88,106
4,3:08.0,T. Pinson makes 3-pt jump shot from 27 ft,,91,106
4,2:48.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by R. Rubio),91,109
4,2:34.0,Turnover by T. Pinson (bad pass; steal by J. Ingles),,91,109
4,2:27.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by R. Rubio),91,112
4,2:03.0,R. Hollis-Jefferson misses 2-pt layup from 5 ft,,91,112
4,2:00.0,Offensive rebound by A. Williams,,91,112
4,2:00.0,A. Williams makes 2-pt layup from 3 ft,,93,112
4,1:45.0,,R. Rubio misses 2-pt jump shot from 17 ft,93,112
4,1:45.0,Defensive rebound by T. Graham,,93,112
4,1:45.0,Personal take foul by J. Crowder (drawn by T. Pinson),,93,112
4,1:45.0,T. Pinson makes free throw 1 of 2,,94,112
4,1:45.0,,R. Neto enters the game for R. Gobert,94,112
4,1:45.0,,G. Niang enters the game for J. Ingles,94,112
4,1:45.0,,R. O'Neale enters the game for D. Mitchell,94,112
4,1:45.0,,E. Udoh enters the game for R. Rubio,94,112
4,1:45.0,T. Pinson misses free throw 2 of 2,,94,112
4,1:41.0,Offensive rebound by J. Dudley,,94,112
4,1:35.0,R. Hollis-Jefferson misses 2-pt jump shot from 10 ft,,94,112
4,1:32.0,,Defensive rebound by R. Neto,94,112
4,1:21.0,,G. Niang makes 2-pt dunk from 2 ft (assist by R. O'Neale),94,114
4,1:02.0,T. Pinson misses 3-pt jump shot from 24 ft,,94,114
4,0:58.0,,Defensive rebound by J. Crowder,94,114
4,0:46.0,,R. O'Neale misses 3-pt jump shot from 25 ft,94,114
4,0:43.0,Defensive rebound by T. Graham,,94,114
4,0:33.0,Shooting foul by R. O'Neale (drawn by R. Hollis-Jefferson),,94,114
4,0:33.0,R. Hollis-Jefferson makes free throw 1 of 2,,95,114
4,0:33.0,R. Hollis-Jefferson makes free throw 2 of 2,,96,114
4,0:18.0,,R. Neto misses 3-pt jump shot from 25 ft,96,114
4,0:14.0,Defensive rebound by A. Williams,,96,114
4,0:08.0,R. Hollis-Jefferson makes 2-pt layup from 3 ft (assist by A. Williams),,98,114
