QUARTER,TIME_REMAINING,PORTLAND_ACTION,INDIANA_ACTION,PORTLAND_SCORE,INDIANA_SCORE
4,3:12.0,,V. Oladipo misses 2-pt jump shot from 16 ft,93,86
4,3:09.0,Defensive rebound by A. Aminu,,93,86
4,2:59.0,C. McCollum makes 2-pt layup from 2 ft,,95,86
4,2:42.0,,V. Oladipo makes 2-pt jump shot from 14 ft (assist by B. Bogdanović),95,88
4,2:23.0,C. McCollum makes 3-pt jump shot from 29 ft (assist by Z. Collins),,98,88
4,2:07.0,,V. Oladipo makes 2-pt jump shot from 16 ft,98,90
4,1:42.0,A. Aminu misses 2-pt jump shot from 18 ft,,98,90
4,1:39.0,,Defensive rebound by D. Collison,98,90
4,1:32.0,,V. Oladipo makes 3-pt jump shot from 28 ft,98,93
4,1:15.0,Shooting foul by T. Young (drawn by A. Aminu),,98,93
4,1:15.0,A. Aminu makes free throw 1 of 2,,99,93
4,1:15.0,A. Aminu makes free throw 2 of 2,,100,93
4,1:07.0,,V. Oladipo misses 2-pt jump shot from 18 ft,100,93
4,1:04.0,Defensive rebound by C. McCollum,,100,93
4,0:51.0,D. Lillard makes 3-pt jump shot from 27 ft (assist by Z. Collins),,103,93
4,0:51.0,,Indiana full timeout,103,93
4,0:51.0,,D. McDermott enters the game for M. Turner,103,93
4,0:51.0,,D. Sabonis enters the game for T. Young,103,93
4,0:51.0,,Violation by Team (delay of game),103,93
4,0:48.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,103,93
4,0:45.0,Defensive rebound by A. Aminu,,103,93
4,0:27.0,D. Lillard misses 3-pt jump shot from 31 ft,,103,93
4,0:24.0,,Defensive rebound by D. Sabonis,103,93
4,0:19.0,,V. Oladipo misses 3-pt jump shot from 27 ft,103,93
4,0:17.0,Defensive rebound by A. Aminu,,103,93
